Seed,PSO,DE,PulseGreedy
Seed 1,2220.538330078125,2228.975830078125,2222.68017578125
Seed 2,2222.875,2227.825927734375,2221.851318359375
Seed 3,2222.48486328125,2229.197998046875,2221.068359375
Seed 4,2221.63037109375,2226.969482421875,2221.6455078125
Seed 5,2221.41552734375,2228.50439453125,2222.506591796875
Seed 6,2220.8857421875,2229.3359375,2223.521484375
Seed 7,2221.96630859375,2228.56787109375,2222.12646484375
Seed 8,2221.851318359375,2228.344482421875,2221.663330078125
Seed 9,2222.8837890625,2228.233642578125,2222.385986328125
Seed 10,2221.136474609375,2227.781982421875,2222.45849609375
Seed 11,2222.058349609375,2227.827392578125,2223.85791015625
Seed 12,2222.234619140625,2226.413818359375,2204.56005859375
Seed 13,2222.141357421875,2228.769287109375,2221.504638671875
Seed 14,2227.028564453125,2227.968994140625,2224.042236328125
Seed 15,2221.0185546875,2228.985595703125,2222.522216796875
