func,seed,variant,final,dup_frac
1,0,P14_fixed,301.449951171875,0.0675
1,0,P14_buggy,300.4053039550781,0.37
1,0,NoRay_fixed,14372.48046875,0.995
1,0,NoRay_buggy,14779.25390625,0.9975
1,1,P14_fixed,444.54931640625,0.07250000000000001
1,1,P14_buggy,300.87420654296875,0.33499999999999996
1,1,NoRay_fixed,16682.880859375,0.9925
1,1,NoRay_buggy,17898.13671875,0.995
1,2,P14_fixed,334.0328063964844,0.10250000000000004
1,2,P14_buggy,300.9714660644531,0.3225
1,2,NoRay_fixed,14324.98046875,0.995
1,2,NoRay_buggy,17997.33984375,0.995
1,3,P14_fixed,328.6456298828125,0.06000000000000005
1,3,P14_buggy,300.0475158691406,0.29000000000000004
1,3,NoRay_fixed,19155.78515625,0.9975
1,3,NoRay_buggy,30572.71875,0.98
1,4,P14_fixed,359.5295104980469,0.06000000000000005
1,4,P14_buggy,306.914306640625,0.28500000000000003
1,4,NoRay_fixed,19186.48828125,0.985
1,4,NoRay_buggy,18570.384765625,0.9975
1,5,P14_fixed,489.88458251953125,0.06499999999999995
1,5,P14_buggy,300.0526428222656,0.28
1,5,NoRay_fixed,15015.0947265625,0.9925
1,5,NoRay_buggy,16329.3603515625,0.9975
1,6,P14_fixed,436.8023986816406,0.06999999999999995
1,6,P14_buggy,306.686767578125,0.34750000000000003
1,6,NoRay_fixed,23006.3359375,0.995
1,6,NoRay_buggy,24026.431640625,0.9975
1,7,P14_fixed,456.80322265625,0.08250000000000002
1,7,P14_buggy,300.03125,0.26
1,7,NoRay_fixed,13565.0869140625,0.99
1,7,NoRay_buggy,15168.6240234375,0.9975
1,8,P14_fixed,340.7449951171875,0.08250000000000002
1,8,P14_buggy,300.0315246582031,0.2825
1,8,NoRay_fixed,17983.41015625,0.9975
1,8,NoRay_buggy,18423.62109375,0.9925
1,9,P14_fixed,439.9488525390625,0.07999999999999996
1,9,P14_buggy,300.51513671875,0.37
1,9,NoRay_fixed,18425.126953125,0.9975
1,9,NoRay_buggy,22336.03515625,0.9975
1,10,P14_fixed,311.6916198730469,0.07250000000000001
1,10,P14_buggy,302.4129333496094,0.3125
1,10,NoRay_fixed,13632.8037109375,0.9975
1,10,NoRay_buggy,12445.3388671875,0.9375
1,11,P14_fixed,525.8560791015625,0.06999999999999995
1,11,P14_buggy,303.0700988769531,0.36750000000000005
1,11,NoRay_fixed,21608.826171875,0.995
1,11,NoRay_buggy,22337.46484375,0.9975
1,12,P14_fixed,347.0224609375,0.0625
1,12,P14_buggy,309.572998046875,0.38749999999999996
1,12,NoRay_fixed,16690.212890625,0.9925
1,12,NoRay_buggy,19395.26953125,0.96
1,13,P14_fixed,467.2756652832031,0.09750000000000003
