generation,elite_fitness,algorithm,function,seed
0,3372882688.0,DE,f6,11
1,2255453696.0,DE,f6,11
2,1937211008.0,DE,f6,11
3,1937211008.0,DE,f6,11
4,1937211008.0,DE,f6,11
5,1578678144.0,DE,f6,11
6,1578678144.0,DE,f6,11
7,682571264.0,DE,f6,11
8,682571264.0,DE,f6,11
9,682571264.0,DE,f6,11
10,468156384.0,DE,f6,11
11,468156384.0,DE,f6,11
12,468156384.0,DE,f6,11
13,458509568.0,DE,f6,11
14,197439232.0,DE,f6,11
15,197439232.0,DE,f6,11
16,158159296.0,DE,f6,11
17,158159296.0,DE,f6,11
18,158159296.0,DE,f6,11
19,158159296.0,DE,f6,11
20,158159296.0,DE,f6,11
21,158159296.0,DE,f6,11
22,154426656.0,DE,f6,11
23,105517544.0,DE,f6,11
24,105517544.0,DE,f6,11
25,105517544.0,DE,f6,11
26,105517544.0,DE,f6,11
27,105517544.0,DE,f6,11
28,105517544.0,DE,f6,11
29,67251704.0,DE,f6,11
30,51316968.0,DE,f6,11
31,51316968.0,DE,f6,11
32,51316968.0,DE,f6,11
33,51316968.0,DE,f6,11
34,51316968.0,DE,f6,11
35,51316968.0,DE,f6,11
36,48200872.0,DE,f6,11
37,19190004.0,DE,f6,11
38,19190004.0,DE,f6,11
39,19190004.0,DE,f6,11
40,19190004.0,DE,f6,11
41,19190004.0,DE,f6,11
42,19190004.0,DE,f6,11
43,19190004.0,DE,f6,11
44,19190004.0,DE,f6,11
45,19190004.0,DE,f6,11
46,19190004.0,DE,f6,11
47,19190004.0,DE,f6,11
48,19190004.0,DE,f6,11
49,19190004.0,DE,f6,11
50,19190004.0,DE,f6,11
51,7411660.0,DE,f6,11
52,7411660.0,DE,f6,11
53,7411660.0,DE,f6,11
54,7411660.0,DE,f6,11
55,7411660.0,DE,f6,11
56,7411660.0,DE,f6,11
57,7411660.0,DE,f6,11
58,7411660.0,DE,f6,11
59,7411660.0,DE,f6,11
60,7411660.0,DE,f6,11
61,7411660.0,DE,f6,11
62,7411660.0,DE,f6,11
63,7411660.0,DE,f6,11
64,7411660.0,DE,f6,11
65,7411660.0,DE,f6,11
66,3887893.25,DE,f6,11
67,3887893.25,DE,f6,11
68,3887893.25,DE,f6,11
69,3887893.25,DE,f6,11
70,3887893.25,DE,f6,11
71,3887893.25,DE,f6,11
72,3887893.25,DE,f6,11
73,3887893.25,DE,f6,11
74,2974092.5,DE,f6,11
75,2974092.5,DE,f6,11
76,2974092.5,DE,f6,11
77,2974092.5,DE,f6,11
78,2974092.5,DE,f6,11
79,2974092.5,DE,f6,11
80,2974092.5,DE,f6,11
81,2974092.5,DE,f6,11
82,2974092.5,DE,f6,11
83,2974092.5,DE,f6,11
84,2974092.5,DE,f6,11
85,2974092.5,DE,f6,11
86,2974092.5,DE,f6,11
87,2974092.5,DE,f6,11
88,2974092.5,DE,f6,11
89,2974092.5,DE,f6,11
90,2974092.5,DE,f6,11
91,2974092.5,DE,f6,11
92,2974092.5,DE,f6,11
93,2974092.5,DE,f6,11
94,2974092.5,DE,f6,11
95,2974092.5,DE,f6,11
96,2932329.75,DE,f6,11
97,2932329.75,DE,f6,11
98,2932329.75,DE,f6,11
99,1686594.875,DE,f6,11
100,1686594.875,DE,f6,11
101,1686594.875,DE,f6,11
102,1686594.875,DE,f6,11
103,1686594.875,DE,f6,11
104,1686594.875,DE,f6,11
105,1686594.875,DE,f6,11
106,1497164.125,DE,f6,11
107,1497164.125,DE,f6,11
108,1497164.125,DE,f6,11
109,1497164.125,DE,f6,11
