generation,elite_fitness,algorithm,function,seed
0,730.01904296875,P7Fixed,f3,3
1,710.3915405273438,P7Fixed,f3,3
2,710.3915405273438,P7Fixed,f3,3
3,702.043701171875,P7Fixed,f3,3
4,699.1635131835938,P7Fixed,f3,3
5,695.6707763671875,P7Fixed,f3,3
6,693.9881591796875,P7Fixed,f3,3
7,693.9881591796875,P7Fixed,f3,3
8,668.8364868164062,P7Fixed,f3,3
9,668.8364868164062,P7Fixed,f3,3
10,668.8364868164062,P7Fixed,f3,3
11,668.8364868164062,P7Fixed,f3,3
12,668.8364868164062,P7Fixed,f3,3
13,668.8364868164062,P7Fixed,f3,3
14,668.8364868164062,P7Fixed,f3,3
15,668.8364868164062,P7Fixed,f3,3
16,668.8364868164062,P7Fixed,f3,3
17,661.8998413085938,P7Fixed,f3,3
18,661.8998413085938,P7Fixed,f3,3
19,661.8998413085938,P7Fixed,f3,3
20,661.8998413085938,P7Fixed,f3,3
21,661.8998413085938,P7Fixed,f3,3
22,661.8998413085938,P7Fixed,f3,3
23,661.8998413085938,P7Fixed,f3,3
24,661.8998413085938,P7Fixed,f3,3
25,661.8998413085938,P7Fixed,f3,3
26,661.8998413085938,P7Fixed,f3,3
27,661.8998413085938,P7Fixed,f3,3
28,661.8998413085938,P7Fixed,f3,3
29,661.8998413085938,P7Fixed,f3,3
30,661.8998413085938,P7Fixed,f3,3
31,661.8998413085938,P7Fixed,f3,3
32,660.696044921875,P7Fixed,f3,3
33,659.7850341796875,P7Fixed,f3,3
34,659.7850341796875,P7Fixed,f3,3
35,656.7251586914062,P7Fixed,f3,3
36,655.5899658203125,P7Fixed,f3,3
37,655.5899658203125,P7Fixed,f3,3
38,655.5899658203125,P7Fixed,f3,3
39,655.5899658203125,P7Fixed,f3,3
40,647.9088134765625,P7Fixed,f3,3
41,647.9088134765625,P7Fixed,f3,3
42,647.9088134765625,P7Fixed,f3,3
43,647.9088134765625,P7Fixed,f3,3
44,647.9088134765625,P7Fixed,f3,3
45,647.9088134765625,P7Fixed,f3,3
46,647.9088134765625,P7Fixed,f3,3
47,647.9088134765625,P7Fixed,f3,3
48,647.9088134765625,P7Fixed,f3,3
49,647.9088134765625,P7Fixed,f3,3
50,647.9088134765625,P7Fixed,f3,3
51,647.9088134765625,P7Fixed,f3,3
52,647.9088134765625,P7Fixed,f3,3
53,647.9088134765625,P7Fixed,f3,3
54,647.9088134765625,P7Fixed,f3,3
55,647.9088134765625,P7Fixed,f3,3
56,647.9088134765625,P7Fixed,f3,3
57,647.9088134765625,P7Fixed,f3,3
58,647.9088134765625,P7Fixed,f3,3
