generation,elite_fitness,algorithm,function,seed
0,2366.6689453125,PSO,f7,30
1,2366.6689453125,PSO,f7,30
2,2366.6689453125,PSO,f7,30
3,2366.6689453125,PSO,f7,30
4,2366.6689453125,PSO,f7,30
5,2231.73291015625,PSO,f7,30
6,2231.73291015625,PSO,f7,30
7,2231.73291015625,PSO,f7,30
8,2231.73291015625,PSO,f7,30
9,2231.73291015625,PSO,f7,30
10,2231.73291015625,PSO,f7,30
11,2231.73291015625,PSO,f7,30
12,2231.73291015625,PSO,f7,30
13,2231.73291015625,PSO,f7,30
14,2217.855712890625,PSO,f7,30
15,2217.855712890625,PSO,f7,30
16,2205.995849609375,PSO,f7,30
17,2185.57080078125,PSO,f7,30
18,2127.169921875,PSO,f7,30
19,2127.169921875,PSO,f7,30
20,2127.169921875,PSO,f7,30
21,2127.169921875,PSO,f7,30
22,2127.169921875,PSO,f7,30
23,2127.169921875,PSO,f7,30
24,2117.86572265625,PSO,f7,30
25,2117.86572265625,PSO,f7,30
26,2117.86572265625,PSO,f7,30
27,2117.86572265625,PSO,f7,30
28,2117.86572265625,PSO,f7,30
29,2117.86572265625,PSO,f7,30
30,2117.86572265625,PSO,f7,30
31,2117.86572265625,PSO,f7,30
32,2106.614990234375,PSO,f7,30
33,2106.614990234375,PSO,f7,30
34,2096.278564453125,PSO,f7,30
35,2096.278564453125,PSO,f7,30
36,2096.278564453125,PSO,f7,30
37,2096.278564453125,PSO,f7,30
38,2082.581298828125,PSO,f7,30
39,2082.581298828125,PSO,f7,30
40,2082.581298828125,PSO,f7,30
41,2082.581298828125,PSO,f7,30
42,2082.581298828125,PSO,f7,30
43,2082.581298828125,PSO,f7,30
44,2082.581298828125,PSO,f7,30
45,2082.581298828125,PSO,f7,30
46,2082.581298828125,PSO,f7,30
47,2082.581298828125,PSO,f7,30
48,2082.581298828125,PSO,f7,30
49,2082.581298828125,PSO,f7,30
50,2080.90966796875,PSO,f7,30
51,2080.90966796875,PSO,f7,30
52,2080.90966796875,PSO,f7,30
53,2080.90966796875,PSO,f7,30
54,2079.802001953125,PSO,f7,30
55,2079.802001953125,PSO,f7,30
56,2079.802001953125,PSO,f7,30
57,2079.802001953125,PSO,f7,30
58,2074.128662109375,PSO,f7,30
59,2074.128662109375,PSO,f7,30
60,2070.743896484375,PSO,f7,30
61,2070.743896484375,PSO,f7,30
62,2070.743896484375,PSO,f7,30
63,2070.743896484375,PSO,f7,30
64,2070.743896484375,PSO,f7,30
65,2070.743896484375,PSO,f7,30
66,2070.743896484375,PSO,f7,30
67,2070.743896484375,PSO,f7,30
68,2070.743896484375,PSO,f7,30
69,2070.743896484375,PSO,f7,30
70,2070.743896484375,PSO,f7,30
71,2066.688232421875,PSO,f7,30
72,2059.1044921875,PSO,f7,30
73,2059.1044921875,PSO,f7,30
74,2053.9951171875,PSO,f7,30
75,2053.9951171875,PSO,f7,30
76,2053.9951171875,PSO,f7,30
77,2053.9951171875,PSO,f7,30
78,2053.9951171875,PSO,f7,30
79,2053.9951171875,PSO,f7,30
80,2053.9951171875,PSO,f7,30
81,2053.9951171875,PSO,f7,30
82,2053.9951171875,PSO,f7,30
83,2053.9951171875,PSO,f7,30
84,2053.9951171875,PSO,f7,30
85,2053.9951171875,PSO,f7,30
86,2053.43994140625,PSO,f7,30
87,2053.050048828125,PSO,f7,30
88,2053.050048828125,PSO,f7,30
89,2052.736572265625,PSO,f7,30
90,2052.736572265625,PSO,f7,30
91,2052.736572265625,PSO,f7,30
92,2052.736572265625,PSO,f7,30
93,2052.009521484375,PSO,f7,30
94,2051.9833984375,PSO,f7,30
95,2051.960693359375,PSO,f7,30
96,2051.960693359375,PSO,f7,30
97,2051.960693359375,PSO,f7,30
98,2051.960693359375,PSO,f7,30
99,2051.820068359375,PSO,f7,30
100,2051.820068359375,PSO,f7,30
101,2051.69970703125,PSO,f7,30
102,2051.69970703125,PSO,f7,30
103,2051.69970703125,PSO,f7,30
104,2051.69970703125,PSO,f7,30
105,2051.61474609375,PSO,f7,30
106,2051.48095703125,PSO,f7,30
107,2051.48095703125,PSO,f7,30
108,2051.48095703125,PSO,f7,30
109,2051.13818359375,PSO,f7,30
110,2050.602294921875,PSO,f7,30
111,2050.44677734375,PSO,f7,30
112,2050.44677734375,PSO,f7,30
113,2050.44677734375,PSO,f7,30
114,2050.28955078125,PSO,f7,30
115,2050.28955078125,PSO,f7,30
116,2050.28955078125,PSO,f7,30
117,2050.28955078125,PSO,f7,30
118,2050.2646484375,PSO,f7,30
119,2050.2646484375,PSO,f7,30
120,2050.2646484375,PSO,f7,30
121,2050.2646484375,PSO,f7,30
122,2050.2646484375,PSO,f7,30
123,2050.0380859375,PSO,f7,30
124,2049.637939453125,PSO,f7,30
125,2049.637939453125,PSO,f7,30
126,2049.431884765625,PSO,f7,30
127,2049.431884765625,PSO,f7,30
128,2049.13671875,PSO,f7,30
129,2049.03515625,PSO,f7,30
130,2049.03515625,PSO,f7,30
131,2048.704345703125,PSO,f7,30
132,2048.704345703125,PSO,f7,30
133,2048.65087890625,PSO,f7,30
134,2048.348388671875,PSO,f7,30
135,2048.339111328125,PSO,f7,30
136,2048.336669921875,PSO,f7,30
137,2048.24365234375,PSO,f7,30
138,2048.177734375,PSO,f7,30
139,2048.134765625,PSO,f7,30
140,2048.126953125,PSO,f7,30
141,2047.9732666015625,PSO,f7,30
142,2047.910400390625,PSO,f7,30
143,2047.910400390625,PSO,f7,30
144,2047.910400390625,PSO,f7,30
145,2047.910400390625,PSO,f7,30
146,2047.86474609375,PSO,f7,30
147,2047.8516845703125,PSO,f7,30
148,2047.7493896484375,PSO,f7,30
149,2047.6802978515625,PSO,f7,30
150,2047.62646484375,PSO,f7,30
151,2047.568115234375,PSO,f7,30
152,2047.5186767578125,PSO,f7,30
153,2047.4749755859375,PSO,f7,30
154,2046.693115234375,PSO,f7,30
155,2046.693115234375,PSO,f7,30
156,2046.2041015625,PSO,f7,30
157,2045.8646240234375,PSO,f7,30
158,2045.8646240234375,PSO,f7,30
159,2045.1136474609375,PSO,f7,30
160,2045.1136474609375,PSO,f7,30
161,2045.042236328125,PSO,f7,30
162,2045.0003662109375,PSO,f7,30
163,2045.0003662109375,PSO,f7,30
164,2045.0003662109375,PSO,f7,30
165,2044.6923828125,PSO,f7,30
166,2044.0318603515625,PSO,f7,30
167,2043.9527587890625,PSO,f7,30
168,2043.9527587890625,PSO,f7,30
169,2043.6334228515625,PSO,f7,30
170,2043.490966796875,PSO,f7,30
171,2043.490966796875,PSO,f7,30
172,2043.490966796875,PSO,f7,30
173,2043.4906005859375,PSO,f7,30
174,2043.4906005859375,PSO,f7,30
175,2043.470703125,PSO,f7,30
176,2043.4686279296875,PSO,f7,30
177,2043.4686279296875,PSO,f7,30
178,2043.4298095703125,PSO,f7,30
179,2043.4097900390625,PSO,f7,30
180,2043.4000244140625,PSO,f7,30
181,2043.317138671875,PSO,f7,30
182,2043.317138671875,PSO,f7,30
183,2043.317138671875,PSO,f7,30
184,2043.317138671875,PSO,f7,30
185,2043.285400390625,PSO,f7,30
186,2043.2120361328125,PSO,f7,30
187,2043.1776123046875,PSO,f7,30
188,2043.142333984375,PSO,f7,30
189,2043.135498046875,PSO,f7,30
190,2043.0975341796875,PSO,f7,30
191,2043.0845947265625,PSO,f7,30
192,2043.0545654296875,PSO,f7,30
193,2043.040283203125,PSO,f7,30
194,2043.0311279296875,PSO,f7,30
195,2042.9417724609375,PSO,f7,30
196,2042.85693359375,PSO,f7,30
197,2042.331298828125,PSO,f7,30
198,2042.165771484375,PSO,f7,30
199,2042.08251953125,PSO,f7,30
200,2041.9578857421875,PSO,f7,30
201,2041.7684326171875,PSO,f7,30
202,2041.763671875,PSO,f7,30
203,2041.763671875,PSO,f7,30
204,2041.7249755859375,PSO,f7,30
205,2041.7022705078125,PSO,f7,30
206,2041.6954345703125,PSO,f7,30
207,2041.686279296875,PSO,f7,30
208,2041.6241455078125,PSO,f7,30
209,2041.6241455078125,PSO,f7,30
210,2041.5194091796875,PSO,f7,30
211,2041.5194091796875,PSO,f7,30
212,2041.5194091796875,PSO,f7,30
213,2041.4541015625,PSO,f7,30
214,2041.4541015625,PSO,f7,30
215,2041.4541015625,PSO,f7,30
216,2041.4541015625,PSO,f7,30
217,2041.2296142578125,PSO,f7,30
218,2041.2296142578125,PSO,f7,30
219,2041.2296142578125,PSO,f7,30
220,2041.2296142578125,PSO,f7,30
221,2041.2296142578125,PSO,f7,30
222,2041.2296142578125,PSO,f7,30
223,2041.2296142578125,PSO,f7,30
224,2041.1751708984375,PSO,f7,30
225,2041.03271484375,PSO,f7,30
226,2041.0018310546875,PSO,f7,30
227,2040.9129638671875,PSO,f7,30
228,2040.874755859375,PSO,f7,30
229,2040.7701416015625,PSO,f7,30
230,2040.7093505859375,PSO,f7,30
231,2040.6734619140625,PSO,f7,30
232,2040.6312255859375,PSO,f7,30
233,2040.5968017578125,PSO,f7,30
234,2040.581787109375,PSO,f7,30
235,2038.9000244140625,PSO,f7,30
236,2038.9000244140625,PSO,f7,30
237,2038.9000244140625,PSO,f7,30
238,2038.9000244140625,PSO,f7,30
239,2038.9000244140625,PSO,f7,30
240,2038.9000244140625,PSO,f7,30
241,2038.9000244140625,PSO,f7,30
242,2038.9000244140625,PSO,f7,30
243,2038.60693359375,PSO,f7,30
244,2038.5130615234375,PSO,f7,30
245,2038.5130615234375,PSO,f7,30
246,2038.2464599609375,PSO,f7,30
247,2038.0723876953125,PSO,f7,30
248,2038.0723876953125,PSO,f7,30
249,2038.0723876953125,PSO,f7,30
250,2038.0723876953125,PSO,f7,30
251,2038.0723876953125,PSO,f7,30
252,2038.0723876953125,PSO,f7,30
253,2038.0723876953125,PSO,f7,30
254,2037.823486328125,PSO,f7,30
255,2037.823486328125,PSO,f7,30
256,2037.823486328125,PSO,f7,30
257,2037.823486328125,PSO,f7,30
258,2037.823486328125,PSO,f7,30
259,2037.823486328125,PSO,f7,30
260,2037.8055419921875,PSO,f7,30
261,2037.802978515625,PSO,f7,30
262,2037.7568359375,PSO,f7,30
263,2037.7568359375,PSO,f7,30
264,2037.121826171875,PSO,f7,30
265,2037.11328125,PSO,f7,30
266,2037.008056640625,PSO,f7,30
267,2037.008056640625,PSO,f7,30
268,2037.008056640625,PSO,f7,30
269,2036.949951171875,PSO,f7,30
270,2036.949951171875,PSO,f7,30
271,2036.949951171875,PSO,f7,30
272,2036.9073486328125,PSO,f7,30
273,2036.81298828125,PSO,f7,30
274,2036.7781982421875,PSO,f7,30
275,2036.761962890625,PSO,f7,30
276,2036.761962890625,PSO,f7,30
277,2036.693359375,PSO,f7,30
278,2036.693359375,PSO,f7,30
279,2036.693359375,PSO,f7,30
280,2036.64453125,PSO,f7,30
281,2036.6409912109375,PSO,f7,30
282,2036.5889892578125,PSO,f7,30
283,2036.5718994140625,PSO,f7,30
284,2036.5589599609375,PSO,f7,30
285,2036.55712890625,PSO,f7,30
286,2036.530517578125,PSO,f7,30
287,2036.5103759765625,PSO,f7,30
288,2036.5103759765625,PSO,f7,30
289,2036.494873046875,PSO,f7,30
290,2036.4637451171875,PSO,f7,30
291,2036.4637451171875,PSO,f7,30
292,2036.44921875,PSO,f7,30
293,2036.44921875,PSO,f7,30
294,2036.44921875,PSO,f7,30
295,2036.436767578125,PSO,f7,30
296,2036.4161376953125,PSO,f7,30
