generation,elite_fitness,algorithm,function,seed
0,2259.140869140625,PulseConvexRayGA,f7,1
1,2259.140869140625,PulseConvexRayGA,f7,1
2,2259.140869140625,PulseConvexRayGA,f7,1
3,2255.60302734375,PulseConvexRayGA,f7,1
4,2207.85546875,PulseConvexRayGA,f7,1
5,2197.95458984375,PulseConvexRayGA,f7,1
6,2191.12060546875,PulseConvexRayGA,f7,1
7,2176.6396484375,PulseConvexRayGA,f7,1
8,2161.646484375,PulseConvexRayGA,f7,1
9,2161.646484375,PulseConvexRayGA,f7,1
10,2161.646484375,PulseConvexRayGA,f7,1
11,2133.242431640625,PulseConvexRayGA,f7,1
12,2133.242431640625,PulseConvexRayGA,f7,1
13,2133.242431640625,PulseConvexRayGA,f7,1
14,2133.242431640625,PulseConvexRayGA,f7,1
15,2133.242431640625,PulseConvexRayGA,f7,1
16,2133.242431640625,PulseConvexRayGA,f7,1
17,2122.479736328125,PulseConvexRayGA,f7,1
18,2121.76513671875,PulseConvexRayGA,f7,1
19,2118.828857421875,PulseConvexRayGA,f7,1
20,2114.829833984375,PulseConvexRayGA,f7,1
21,2114.829833984375,PulseConvexRayGA,f7,1
22,2114.829833984375,PulseConvexRayGA,f7,1
23,2105.376220703125,PulseConvexRayGA,f7,1
24,2105.376220703125,PulseConvexRayGA,f7,1
25,2105.376220703125,PulseConvexRayGA,f7,1
26,2105.376220703125,PulseConvexRayGA,f7,1
27,2105.376220703125,PulseConvexRayGA,f7,1
28,2102.7001953125,PulseConvexRayGA,f7,1
29,2102.7001953125,PulseConvexRayGA,f7,1
30,2102.7001953125,PulseConvexRayGA,f7,1
31,2102.7001953125,PulseConvexRayGA,f7,1
32,2102.7001953125,PulseConvexRayGA,f7,1
33,2102.7001953125,PulseConvexRayGA,f7,1
34,2101.205322265625,PulseConvexRayGA,f7,1
35,2101.205322265625,PulseConvexRayGA,f7,1
36,2101.205322265625,PulseConvexRayGA,f7,1
37,2101.205322265625,PulseConvexRayGA,f7,1
38,2101.205322265625,PulseConvexRayGA,f7,1
39,2101.205322265625,PulseConvexRayGA,f7,1
40,2101.177734375,PulseConvexRayGA,f7,1
41,2100.79345703125,PulseConvexRayGA,f7,1
42,2100.07373046875,PulseConvexRayGA,f7,1
43,2099.91357421875,PulseConvexRayGA,f7,1
44,2097.688720703125,PulseConvexRayGA,f7,1
45,2096.632080078125,PulseConvexRayGA,f7,1
46,2096.292236328125,PulseConvexRayGA,f7,1
47,2095.3349609375,PulseConvexRayGA,f7,1
48,2093.91650390625,PulseConvexRayGA,f7,1
49,2093.836181640625,PulseConvexRayGA,f7,1
50,2093.836181640625,PulseConvexRayGA,f7,1
51,2093.400390625,PulseConvexRayGA,f7,1
52,2093.400390625,PulseConvexRayGA,f7,1
53,2093.218994140625,PulseConvexRayGA,f7,1
54,2093.218994140625,PulseConvexRayGA,f7,1
55,2092.875732421875,PulseConvexRayGA,f7,1
56,2092.87548828125,PulseConvexRayGA,f7,1
57,2092.80712890625,PulseConvexRayGA,f7,1
58,2092.641845703125,PulseConvexRayGA,f7,1
59,2092.347900390625,PulseConvexRayGA,f7,1
60,2092.31591796875,PulseConvexRayGA,f7,1
61,2091.9365234375,PulseConvexRayGA,f7,1
62,2091.9365234375,PulseConvexRayGA,f7,1
63,2091.9365234375,PulseConvexRayGA,f7,1
64,2091.77392578125,PulseConvexRayGA,f7,1
65,2091.772216796875,PulseConvexRayGA,f7,1
66,2091.742431640625,PulseConvexRayGA,f7,1
67,2091.717041015625,PulseConvexRayGA,f7,1
68,2091.68115234375,PulseConvexRayGA,f7,1
69,2091.599853515625,PulseConvexRayGA,f7,1
70,2091.5673828125,PulseConvexRayGA,f7,1
71,2091.52685546875,PulseConvexRayGA,f7,1
72,2091.38818359375,PulseConvexRayGA,f7,1
73,2091.38818359375,PulseConvexRayGA,f7,1
74,2091.362548828125,PulseConvexRayGA,f7,1
75,2091.33544921875,PulseConvexRayGA,f7,1
76,2091.30419921875,PulseConvexRayGA,f7,1
77,2091.30224609375,PulseConvexRayGA,f7,1
78,2091.242919921875,PulseConvexRayGA,f7,1
79,2091.236083984375,PulseConvexRayGA,f7,1
80,2091.23291015625,PulseConvexRayGA,f7,1
81,2091.217041015625,PulseConvexRayGA,f7,1
82,2091.217041015625,PulseConvexRayGA,f7,1
83,2091.217041015625,PulseConvexRayGA,f7,1
84,2091.21484375,PulseConvexRayGA,f7,1
85,2091.21484375,PulseConvexRayGA,f7,1
86,2091.213134765625,PulseConvexRayGA,f7,1
87,2091.212158203125,PulseConvexRayGA,f7,1
88,2091.211181640625,PulseConvexRayGA,f7,1
89,2091.2109375,PulseConvexRayGA,f7,1
90,2091.21044921875,PulseConvexRayGA,f7,1
91,2091.209228515625,PulseConvexRayGA,f7,1
92,2091.209228515625,PulseConvexRayGA,f7,1
93,2091.208984375,PulseConvexRayGA,f7,1
94,2091.208984375,PulseConvexRayGA,f7,1
95,2091.208251953125,PulseConvexRayGA,f7,1
96,2091.208251953125,PulseConvexRayGA,f7,1
97,2091.2080078125,PulseConvexRayGA,f7,1
98,2091.2060546875,PulseConvexRayGA,f7,1
99,2091.2060546875,PulseConvexRayGA,f7,1
100,2091.2060546875,PulseConvexRayGA,f7,1
101,2091.2060546875,PulseConvexRayGA,f7,1
102,2091.2060546875,PulseConvexRayGA,f7,1
103,2091.205078125,PulseConvexRayGA,f7,1
104,2091.205078125,PulseConvexRayGA,f7,1
105,2091.205078125,PulseConvexRayGA,f7,1
106,2091.205078125,PulseConvexRayGA,f7,1
107,2091.204833984375,PulseConvexRayGA,f7,1
108,2091.204833984375,PulseConvexRayGA,f7,1
109,2091.20458984375,PulseConvexRayGA,f7,1
110,2091.20458984375,PulseConvexRayGA,f7,1
111,2091.20458984375,PulseConvexRayGA,f7,1
112,2091.204345703125,PulseConvexRayGA,f7,1
113,2091.204345703125,PulseConvexRayGA,f7,1
114,2091.2041015625,PulseConvexRayGA,f7,1
115,2091.2041015625,PulseConvexRayGA,f7,1
116,2091.203857421875,PulseConvexRayGA,f7,1
117,2091.20361328125,PulseConvexRayGA,f7,1
118,2091.20361328125,PulseConvexRayGA,f7,1
119,2091.203125,PulseConvexRayGA,f7,1
120,2091.202392578125,PulseConvexRayGA,f7,1
121,2091.20068359375,PulseConvexRayGA,f7,1
122,2091.19873046875,PulseConvexRayGA,f7,1
123,2091.19677734375,PulseConvexRayGA,f7,1
124,2091.188232421875,PulseConvexRayGA,f7,1
125,2091.18408203125,PulseConvexRayGA,f7,1
126,2091.17724609375,PulseConvexRayGA,f7,1
127,2091.173095703125,PulseConvexRayGA,f7,1
128,2091.159912109375,PulseConvexRayGA,f7,1
129,2091.158447265625,PulseConvexRayGA,f7,1
130,2091.145263671875,PulseConvexRayGA,f7,1
131,2091.109375,PulseConvexRayGA,f7,1
132,2091.043212890625,PulseConvexRayGA,f7,1
133,2090.867431640625,PulseConvexRayGA,f7,1
134,2090.720458984375,PulseConvexRayGA,f7,1
135,2090.715576171875,PulseConvexRayGA,f7,1
136,2090.624267578125,PulseConvexRayGA,f7,1
137,2090.4697265625,PulseConvexRayGA,f7,1
138,2090.468994140625,PulseConvexRayGA,f7,1
139,2090.37548828125,PulseConvexRayGA,f7,1
140,2090.37548828125,PulseConvexRayGA,f7,1
141,2090.312744140625,PulseConvexRayGA,f7,1
142,2090.306884765625,PulseConvexRayGA,f7,1
143,2090.22705078125,PulseConvexRayGA,f7,1
144,2090.22705078125,PulseConvexRayGA,f7,1
145,2090.134521484375,PulseConvexRayGA,f7,1
146,2090.111328125,PulseConvexRayGA,f7,1
147,2090.111328125,PulseConvexRayGA,f7,1
148,2090.056396484375,PulseConvexRayGA,f7,1
149,2090.02294921875,PulseConvexRayGA,f7,1
150,2090.001953125,PulseConvexRayGA,f7,1
151,2089.911865234375,PulseConvexRayGA,f7,1
152,2089.911865234375,PulseConvexRayGA,f7,1
153,2089.90478515625,PulseConvexRayGA,f7,1
154,2089.854736328125,PulseConvexRayGA,f7,1
155,2089.830810546875,PulseConvexRayGA,f7,1
156,2089.830810546875,PulseConvexRayGA,f7,1
157,2089.816162109375,PulseConvexRayGA,f7,1
158,2089.78271484375,PulseConvexRayGA,f7,1
159,2089.750732421875,PulseConvexRayGA,f7,1
160,2089.735595703125,PulseConvexRayGA,f7,1
161,2089.72607421875,PulseConvexRayGA,f7,1
162,2089.691650390625,PulseConvexRayGA,f7,1
163,2089.671875,PulseConvexRayGA,f7,1
164,2089.635986328125,PulseConvexRayGA,f7,1
165,2089.627197265625,PulseConvexRayGA,f7,1
166,2089.548583984375,PulseConvexRayGA,f7,1
167,2089.50927734375,PulseConvexRayGA,f7,1
168,2089.443115234375,PulseConvexRayGA,f7,1
169,2089.43408203125,PulseConvexRayGA,f7,1
170,2089.35986328125,PulseConvexRayGA,f7,1
171,2089.28466796875,PulseConvexRayGA,f7,1
172,2089.28466796875,PulseConvexRayGA,f7,1
173,2089.208251953125,PulseConvexRayGA,f7,1
174,2089.189208984375,PulseConvexRayGA,f7,1
175,2089.15087890625,PulseConvexRayGA,f7,1
176,2089.08642578125,PulseConvexRayGA,f7,1
177,2089.01611328125,PulseConvexRayGA,f7,1
178,2088.802490234375,PulseConvexRayGA,f7,1
179,2088.612548828125,PulseConvexRayGA,f7,1
180,2088.610107421875,PulseConvexRayGA,f7,1
181,2088.60888671875,PulseConvexRayGA,f7,1
182,2088.5537109375,PulseConvexRayGA,f7,1
183,2088.4541015625,PulseConvexRayGA,f7,1
184,2088.4541015625,PulseConvexRayGA,f7,1
185,2088.44677734375,PulseConvexRayGA,f7,1
186,2088.387939453125,PulseConvexRayGA,f7,1
187,2088.37890625,PulseConvexRayGA,f7,1
188,2088.378173828125,PulseConvexRayGA,f7,1
189,2088.378173828125,PulseConvexRayGA,f7,1
190,2088.308837890625,PulseConvexRayGA,f7,1
191,2088.199462890625,PulseConvexRayGA,f7,1
192,2088.12646484375,PulseConvexRayGA,f7,1
193,2088.0966796875,PulseConvexRayGA,f7,1
194,2088.086181640625,PulseConvexRayGA,f7,1
195,2088.041015625,PulseConvexRayGA,f7,1
196,2088.041015625,PulseConvexRayGA,f7,1
197,2088.041015625,PulseConvexRayGA,f7,1
198,2088.000244140625,PulseConvexRayGA,f7,1
199,2087.996337890625,PulseConvexRayGA,f7,1
200,2087.996337890625,PulseConvexRayGA,f7,1
201,2087.97412109375,PulseConvexRayGA,f7,1
202,2087.972900390625,PulseConvexRayGA,f7,1
203,2087.961669921875,PulseConvexRayGA,f7,1
204,2087.961669921875,PulseConvexRayGA,f7,1
205,2087.95263671875,PulseConvexRayGA,f7,1
206,2087.95263671875,PulseConvexRayGA,f7,1
207,2087.93310546875,PulseConvexRayGA,f7,1
208,2087.926025390625,PulseConvexRayGA,f7,1
209,2087.926025390625,PulseConvexRayGA,f7,1
210,2087.92578125,PulseConvexRayGA,f7,1
211,2087.92578125,PulseConvexRayGA,f7,1
212,2087.91162109375,PulseConvexRayGA,f7,1
213,2087.906005859375,PulseConvexRayGA,f7,1
214,2087.906005859375,PulseConvexRayGA,f7,1
215,2087.906005859375,PulseConvexRayGA,f7,1
216,2087.906005859375,PulseConvexRayGA,f7,1
217,2087.9013671875,PulseConvexRayGA,f7,1
218,2087.896240234375,PulseConvexRayGA,f7,1
