generation,elite_fitness,algorithm,function,seed
0,2374268672.0,PulseCovarianceGA,f6,4
1,1026579840.0,PulseCovarianceGA,f6,4
2,598068544.0,PulseCovarianceGA,f6,4
3,338758688.0,PulseCovarianceGA,f6,4
4,287146368.0,PulseCovarianceGA,f6,4
5,163458208.0,PulseCovarianceGA,f6,4
6,143189472.0,PulseCovarianceGA,f6,4
7,130585840.0,PulseCovarianceGA,f6,4
8,130585840.0,PulseCovarianceGA,f6,4
9,128091552.0,PulseCovarianceGA,f6,4
10,127319480.0,PulseCovarianceGA,f6,4
11,126580216.0,PulseCovarianceGA,f6,4
12,125906224.0,PulseCovarianceGA,f6,4
13,125900472.0,PulseCovarianceGA,f6,4
14,125492104.0,PulseCovarianceGA,f6,4
15,125492104.0,PulseCovarianceGA,f6,4
16,125492104.0,PulseCovarianceGA,f6,4
17,125492104.0,PulseCovarianceGA,f6,4
18,125492104.0,PulseCovarianceGA,f6,4
19,125492104.0,PulseCovarianceGA,f6,4
20,125456824.0,PulseCovarianceGA,f6,4
21,125444168.0,PulseCovarianceGA,f6,4
22,125419472.0,PulseCovarianceGA,f6,4
23,125419472.0,PulseCovarianceGA,f6,4
24,125419472.0,PulseCovarianceGA,f6,4
25,125419472.0,PulseCovarianceGA,f6,4
26,125414712.0,PulseCovarianceGA,f6,4
27,125409784.0,PulseCovarianceGA,f6,4
28,125406376.0,PulseCovarianceGA,f6,4
29,125403576.0,PulseCovarianceGA,f6,4
30,125400472.0,PulseCovarianceGA,f6,4
31,125400248.0,PulseCovarianceGA,f6,4
32,125397808.0,PulseCovarianceGA,f6,4
33,125397488.0,PulseCovarianceGA,f6,4
34,125396944.0,PulseCovarianceGA,f6,4
35,125395584.0,PulseCovarianceGA,f6,4
36,125394816.0,PulseCovarianceGA,f6,4
37,125394152.0,PulseCovarianceGA,f6,4
38,125393256.0,PulseCovarianceGA,f6,4
39,125393256.0,PulseCovarianceGA,f6,4
40,125392944.0,PulseCovarianceGA,f6,4
41,125392456.0,PulseCovarianceGA,f6,4
42,125392328.0,PulseCovarianceGA,f6,4
43,125392208.0,PulseCovarianceGA,f6,4
44,125392176.0,PulseCovarianceGA,f6,4
45,125391944.0,PulseCovarianceGA,f6,4
46,125391656.0,PulseCovarianceGA,f6,4
47,125391600.0,PulseCovarianceGA,f6,4
48,125391440.0,PulseCovarianceGA,f6,4
49,125391384.0,PulseCovarianceGA,f6,4
50,125391232.0,PulseCovarianceGA,f6,4
51,125391224.0,PulseCovarianceGA,f6,4
52,125391120.0,PulseCovarianceGA,f6,4
53,125391048.0,PulseCovarianceGA,f6,4
54,125390968.0,PulseCovarianceGA,f6,4
55,125390896.0,PulseCovarianceGA,f6,4
56,125390808.0,PulseCovarianceGA,f6,4
57,125390664.0,PulseCovarianceGA,f6,4
58,125390648.0,PulseCovarianceGA,f6,4
59,125390600.0,PulseCovarianceGA,f6,4
