generation,elite_fitness,algorithm,function,seed
0,3207.042236328125,PulseFailureRepair,f9,25
1,3207.042236328125,PulseFailureRepair,f9,25
2,3207.042236328125,PulseFailureRepair,f9,25
3,3207.042236328125,PulseFailureRepair,f9,25
4,3207.042236328125,PulseFailureRepair,f9,25
5,3207.042236328125,PulseFailureRepair,f9,25
6,3207.042236328125,PulseFailureRepair,f9,25
7,3207.042236328125,PulseFailureRepair,f9,25
8,3207.042236328125,PulseFailureRepair,f9,25
9,3181.626708984375,PulseFailureRepair,f9,25
10,3104.80029296875,PulseFailureRepair,f9,25
11,3094.32421875,PulseFailureRepair,f9,25
12,3094.32421875,PulseFailureRepair,f9,25
13,3094.32421875,PulseFailureRepair,f9,25
14,3094.32421875,PulseFailureRepair,f9,25
15,3094.32421875,PulseFailureRepair,f9,25
16,3094.32421875,PulseFailureRepair,f9,25
17,3094.32421875,PulseFailureRepair,f9,25
18,3094.32421875,PulseFailureRepair,f9,25
19,3094.32421875,PulseFailureRepair,f9,25
20,3094.32421875,PulseFailureRepair,f9,25
21,3094.32421875,PulseFailureRepair,f9,25
22,3094.32421875,PulseFailureRepair,f9,25
23,3094.32421875,PulseFailureRepair,f9,25
24,3094.32421875,PulseFailureRepair,f9,25
25,2978.25,PulseFailureRepair,f9,25
26,2978.25,PulseFailureRepair,f9,25
27,2978.25,PulseFailureRepair,f9,25
28,2978.25,PulseFailureRepair,f9,25
29,2978.25,PulseFailureRepair,f9,25
30,2978.25,PulseFailureRepair,f9,25
31,2978.25,PulseFailureRepair,f9,25
32,2978.25,PulseFailureRepair,f9,25
33,2978.25,PulseFailureRepair,f9,25
34,2978.25,PulseFailureRepair,f9,25
35,2978.25,PulseFailureRepair,f9,25
36,2923.9072265625,PulseFailureRepair,f9,25
37,2807.929443359375,PulseFailureRepair,f9,25
38,2807.929443359375,PulseFailureRepair,f9,25
39,2807.929443359375,PulseFailureRepair,f9,25
40,2807.929443359375,PulseFailureRepair,f9,25
41,2807.929443359375,PulseFailureRepair,f9,25
42,2807.929443359375,PulseFailureRepair,f9,25
43,2807.929443359375,PulseFailureRepair,f9,25
44,2807.929443359375,PulseFailureRepair,f9,25
45,2807.929443359375,PulseFailureRepair,f9,25
46,2807.929443359375,PulseFailureRepair,f9,25
47,2807.929443359375,PulseFailureRepair,f9,25
48,2807.929443359375,PulseFailureRepair,f9,25
49,2807.929443359375,PulseFailureRepair,f9,25
50,2807.929443359375,PulseFailureRepair,f9,25
51,2807.929443359375,PulseFailureRepair,f9,25
52,2807.929443359375,PulseFailureRepair,f9,25
53,2807.929443359375,PulseFailureRepair,f9,25
54,2807.929443359375,PulseFailureRepair,f9,25
55,2807.929443359375,PulseFailureRepair,f9,25
56,2807.929443359375,PulseFailureRepair,f9,25
57,2807.929443359375,PulseFailureRepair,f9,25
58,2807.929443359375,PulseFailureRepair,f9,25
59,2807.929443359375,PulseFailureRepair,f9,25
60,2807.929443359375,PulseFailureRepair,f9,25
61,2807.929443359375,PulseFailureRepair,f9,25
62,2807.929443359375,PulseFailureRepair,f9,25
63,2807.929443359375,PulseFailureRepair,f9,25
64,2807.929443359375,PulseFailureRepair,f9,25
65,2807.929443359375,PulseFailureRepair,f9,25
66,2807.929443359375,PulseFailureRepair,f9,25
67,2807.929443359375,PulseFailureRepair,f9,25
68,2807.929443359375,PulseFailureRepair,f9,25
69,2807.929443359375,PulseFailureRepair,f9,25
70,2807.929443359375,PulseFailureRepair,f9,25
71,2807.929443359375,PulseFailureRepair,f9,25
72,2807.929443359375,PulseFailureRepair,f9,25
73,2807.929443359375,PulseFailureRepair,f9,25
74,2807.929443359375,PulseFailureRepair,f9,25
75,2807.929443359375,PulseFailureRepair,f9,25
76,2807.929443359375,PulseFailureRepair,f9,25
77,2807.929443359375,PulseFailureRepair,f9,25
78,2807.929443359375,PulseFailureRepair,f9,25
79,2807.929443359375,PulseFailureRepair,f9,25
80,2807.929443359375,PulseFailureRepair,f9,25
81,2807.929443359375,PulseFailureRepair,f9,25
82,2807.929443359375,PulseFailureRepair,f9,25
83,2807.929443359375,PulseFailureRepair,f9,25
84,2807.929443359375,PulseFailureRepair,f9,25
85,2807.929443359375,PulseFailureRepair,f9,25
86,2807.929443359375,PulseFailureRepair,f9,25
87,2807.929443359375,PulseFailureRepair,f9,25
88,2807.929443359375,PulseFailureRepair,f9,25
89,2807.929443359375,PulseFailureRepair,f9,25
90,2807.929443359375,PulseFailureRepair,f9,25
91,2807.929443359375,PulseFailureRepair,f9,25
92,2807.929443359375,PulseFailureRepair,f9,25
93,2807.929443359375,PulseFailureRepair,f9,25
94,2807.929443359375,PulseFailureRepair,f9,25
95,2807.929443359375,PulseFailureRepair,f9,25
96,2807.929443359375,PulseFailureRepair,f9,25
97,2807.929443359375,PulseFailureRepair,f9,25
98,2807.929443359375,PulseFailureRepair,f9,25
99,2807.929443359375,PulseFailureRepair,f9,25
100,2807.929443359375,PulseFailureRepair,f9,25
101,2807.929443359375,PulseFailureRepair,f9,25
102,2807.929443359375,PulseFailureRepair,f9,25
103,2807.929443359375,PulseFailureRepair,f9,25
104,2807.929443359375,PulseFailureRepair,f9,25
105,2807.929443359375,PulseFailureRepair,f9,25
106,2807.929443359375,PulseFailureRepair,f9,25
107,2807.929443359375,PulseFailureRepair,f9,25
108,2807.929443359375,PulseFailureRepair,f9,25
109,2807.929443359375,PulseFailureRepair,f9,25
110,2807.929443359375,PulseFailureRepair,f9,25
111,2807.929443359375,PulseFailureRepair,f9,25
112,2807.929443359375,PulseFailureRepair,f9,25
113,2807.929443359375,PulseFailureRepair,f9,25
114,2807.929443359375,PulseFailureRepair,f9,25
115,2807.929443359375,PulseFailureRepair,f9,25
116,2807.929443359375,PulseFailureRepair,f9,25
117,2807.929443359375,PulseFailureRepair,f9,25
118,2807.929443359375,PulseFailureRepair,f9,25
119,2807.929443359375,PulseFailureRepair,f9,25
120,2807.929443359375,PulseFailureRepair,f9,25
121,2807.929443359375,PulseFailureRepair,f9,25
122,2807.929443359375,PulseFailureRepair,f9,25
123,2807.929443359375,PulseFailureRepair,f9,25
124,2807.929443359375,PulseFailureRepair,f9,25
125,2807.929443359375,PulseFailureRepair,f9,25
126,2807.929443359375,PulseFailureRepair,f9,25
127,2807.929443359375,PulseFailureRepair,f9,25
128,2807.929443359375,PulseFailureRepair,f9,25
129,2807.929443359375,PulseFailureRepair,f9,25
130,2807.929443359375,PulseFailureRepair,f9,25
131,2807.929443359375,PulseFailureRepair,f9,25
132,2807.929443359375,PulseFailureRepair,f9,25
133,2807.929443359375,PulseFailureRepair,f9,25
134,2807.929443359375,PulseFailureRepair,f9,25
135,2807.929443359375,PulseFailureRepair,f9,25
136,2807.929443359375,PulseFailureRepair,f9,25
137,2807.929443359375,PulseFailureRepair,f9,25
138,2807.929443359375,PulseFailureRepair,f9,25
139,2807.929443359375,PulseFailureRepair,f9,25
