generation,elite_fitness,algorithm,function,seed
0,2366.79736328125,PulseGreedy,f7,3
1,2366.79736328125,PulseGreedy,f7,3
2,2346.69775390625,PulseGreedy,f7,3
3,2215.208984375,PulseGreedy,f7,3
4,2202.477294921875,PulseGreedy,f7,3
5,2202.477294921875,PulseGreedy,f7,3
6,2202.477294921875,PulseGreedy,f7,3
7,2202.477294921875,PulseGreedy,f7,3
8,2202.477294921875,PulseGreedy,f7,3
9,2202.477294921875,PulseGreedy,f7,3
10,2202.477294921875,PulseGreedy,f7,3
11,2202.477294921875,PulseGreedy,f7,3
12,2202.47705078125,PulseGreedy,f7,3
13,2202.47705078125,PulseGreedy,f7,3
14,2202.47705078125,PulseGreedy,f7,3
15,2202.47705078125,PulseGreedy,f7,3
16,2202.47705078125,PulseGreedy,f7,3
17,2200.941650390625,PulseGreedy,f7,3
18,2200.941650390625,PulseGreedy,f7,3
19,2200.941650390625,PulseGreedy,f7,3
20,2195.579345703125,PulseGreedy,f7,3
21,2191.87060546875,PulseGreedy,f7,3
22,2187.00048828125,PulseGreedy,f7,3
23,2185.3369140625,PulseGreedy,f7,3
24,2180.4638671875,PulseGreedy,f7,3
25,2164.315185546875,PulseGreedy,f7,3
26,2164.315185546875,PulseGreedy,f7,3
27,2164.315185546875,PulseGreedy,f7,3
28,2164.315185546875,PulseGreedy,f7,3
29,2164.315185546875,PulseGreedy,f7,3
30,2164.315185546875,PulseGreedy,f7,3
31,2164.315185546875,PulseGreedy,f7,3
32,2164.315185546875,PulseGreedy,f7,3
33,2150.687255859375,PulseGreedy,f7,3
34,2131.42333984375,PulseGreedy,f7,3
35,2126.81591796875,PulseGreedy,f7,3
36,2124.091552734375,PulseGreedy,f7,3
37,2124.091552734375,PulseGreedy,f7,3
38,2124.091552734375,PulseGreedy,f7,3
39,2124.091552734375,PulseGreedy,f7,3
40,2124.091552734375,PulseGreedy,f7,3
41,2124.091552734375,PulseGreedy,f7,3
42,2124.091552734375,PulseGreedy,f7,3
43,2124.091552734375,PulseGreedy,f7,3
44,2124.091552734375,PulseGreedy,f7,3
45,2124.091552734375,PulseGreedy,f7,3
46,2124.091552734375,PulseGreedy,f7,3
47,2124.091552734375,PulseGreedy,f7,3
48,2124.091552734375,PulseGreedy,f7,3
49,2124.091552734375,PulseGreedy,f7,3
50,2124.091552734375,PulseGreedy,f7,3
51,2124.091552734375,PulseGreedy,f7,3
52,2124.091552734375,PulseGreedy,f7,3
53,2124.091552734375,PulseGreedy,f7,3
54,2124.091552734375,PulseGreedy,f7,3
55,2124.091552734375,PulseGreedy,f7,3
56,2124.091552734375,PulseGreedy,f7,3
57,2124.091552734375,PulseGreedy,f7,3
58,2124.091552734375,PulseGreedy,f7,3
59,2123.758056640625,PulseGreedy,f7,3
60,2123.474365234375,PulseGreedy,f7,3
61,2123.474365234375,PulseGreedy,f7,3
62,2123.474365234375,PulseGreedy,f7,3
63,2123.474365234375,PulseGreedy,f7,3
64,2123.47412109375,PulseGreedy,f7,3
65,2123.47412109375,PulseGreedy,f7,3
66,2123.47412109375,PulseGreedy,f7,3
67,2123.47412109375,PulseGreedy,f7,3
68,2118.1923828125,PulseGreedy,f7,3
69,2118.1923828125,PulseGreedy,f7,3
70,2118.1923828125,PulseGreedy,f7,3
71,2118.1923828125,PulseGreedy,f7,3
72,2118.1923828125,PulseGreedy,f7,3
73,2118.1923828125,PulseGreedy,f7,3
74,2118.1923828125,PulseGreedy,f7,3
75,2118.1923828125,PulseGreedy,f7,3
76,2118.1923828125,PulseGreedy,f7,3
77,2118.1923828125,PulseGreedy,f7,3
78,2118.1923828125,PulseGreedy,f7,3
79,2118.1923828125,PulseGreedy,f7,3
80,2118.1923828125,PulseGreedy,f7,3
81,2110.89013671875,PulseGreedy,f7,3
82,2110.89013671875,PulseGreedy,f7,3
83,2110.89013671875,PulseGreedy,f7,3
84,2110.89013671875,PulseGreedy,f7,3
85,2110.89013671875,PulseGreedy,f7,3
86,2110.89013671875,PulseGreedy,f7,3
87,2110.89013671875,PulseGreedy,f7,3
88,2110.814697265625,PulseGreedy,f7,3
89,2109.649169921875,PulseGreedy,f7,3
90,2090.36376953125,PulseGreedy,f7,3
91,2090.36376953125,PulseGreedy,f7,3
92,2090.36376953125,PulseGreedy,f7,3
93,2090.36376953125,PulseGreedy,f7,3
94,2090.36376953125,PulseGreedy,f7,3
95,2090.36376953125,PulseGreedy,f7,3
96,2090.36376953125,PulseGreedy,f7,3
97,2090.36376953125,PulseGreedy,f7,3
98,2090.36376953125,PulseGreedy,f7,3
99,2090.36376953125,PulseGreedy,f7,3
100,2090.36376953125,PulseGreedy,f7,3
101,2090.36376953125,PulseGreedy,f7,3
102,2085.58154296875,PulseGreedy,f7,3
103,2085.58154296875,PulseGreedy,f7,3
104,2085.58154296875,PulseGreedy,f7,3
105,2085.58154296875,PulseGreedy,f7,3
106,2085.58154296875,PulseGreedy,f7,3
107,2085.58154296875,PulseGreedy,f7,3
108,2085.58154296875,PulseGreedy,f7,3
109,2085.58154296875,PulseGreedy,f7,3
110,2085.58154296875,PulseGreedy,f7,3
111,2085.58154296875,PulseGreedy,f7,3
112,2085.58154296875,PulseGreedy,f7,3
113,2085.54443359375,PulseGreedy,f7,3
114,2085.54443359375,PulseGreedy,f7,3
115,2079.8505859375,PulseGreedy,f7,3
116,2079.12353515625,PulseGreedy,f7,3
117,2076.628662109375,PulseGreedy,f7,3
118,2076.628662109375,PulseGreedy,f7,3
119,2076.628662109375,PulseGreedy,f7,3
120,2076.579345703125,PulseGreedy,f7,3
121,2076.579345703125,PulseGreedy,f7,3
122,2076.579345703125,PulseGreedy,f7,3
123,2076.579345703125,PulseGreedy,f7,3
124,2076.579345703125,PulseGreedy,f7,3
125,2076.579345703125,PulseGreedy,f7,3
126,2076.579345703125,PulseGreedy,f7,3
127,2076.08349609375,PulseGreedy,f7,3
128,2074.266357421875,PulseGreedy,f7,3
129,2074.266357421875,PulseGreedy,f7,3
130,2074.266357421875,PulseGreedy,f7,3
131,2074.266357421875,PulseGreedy,f7,3
132,2074.266357421875,PulseGreedy,f7,3
133,2074.266357421875,PulseGreedy,f7,3
134,2074.266357421875,PulseGreedy,f7,3
135,2074.266357421875,PulseGreedy,f7,3
136,2074.266357421875,PulseGreedy,f7,3
137,2074.262451171875,PulseGreedy,f7,3
138,2074.262451171875,PulseGreedy,f7,3
139,2074.262451171875,PulseGreedy,f7,3
140,2074.262451171875,PulseGreedy,f7,3
141,2074.262451171875,PulseGreedy,f7,3
142,2074.262451171875,PulseGreedy,f7,3
143,2074.262451171875,PulseGreedy,f7,3
144,2072.866943359375,PulseGreedy,f7,3
145,2072.866943359375,PulseGreedy,f7,3
146,2072.866943359375,PulseGreedy,f7,3
147,2072.866943359375,PulseGreedy,f7,3
148,2072.866943359375,PulseGreedy,f7,3
149,2072.866943359375,PulseGreedy,f7,3
150,2072.866943359375,PulseGreedy,f7,3
151,2072.866943359375,PulseGreedy,f7,3
152,2072.866943359375,PulseGreedy,f7,3
153,2072.866943359375,PulseGreedy,f7,3
154,2067.10595703125,PulseGreedy,f7,3
155,2067.10595703125,PulseGreedy,f7,3
156,2067.10595703125,PulseGreedy,f7,3
157,2067.10595703125,PulseGreedy,f7,3
158,2067.10595703125,PulseGreedy,f7,3
159,2067.10595703125,PulseGreedy,f7,3
160,2067.10595703125,PulseGreedy,f7,3
161,2067.10595703125,PulseGreedy,f7,3
162,2067.10595703125,PulseGreedy,f7,3
163,2067.10595703125,PulseGreedy,f7,3
164,2067.10595703125,PulseGreedy,f7,3
165,2067.10595703125,PulseGreedy,f7,3
166,2067.10400390625,PulseGreedy,f7,3
167,2067.10400390625,PulseGreedy,f7,3
168,2067.10400390625,PulseGreedy,f7,3
169,2067.10400390625,PulseGreedy,f7,3
170,2067.10400390625,PulseGreedy,f7,3
171,2067.10400390625,PulseGreedy,f7,3
172,2067.10400390625,PulseGreedy,f7,3
173,2067.10400390625,PulseGreedy,f7,3
174,2067.10400390625,PulseGreedy,f7,3
175,2066.674072265625,PulseGreedy,f7,3
