generation,elite_fitness,algorithm,function,seed
0,3076.39208984375,PulseProgressGA,f8,8
1,2651.815673828125,PulseProgressGA,f8,8
2,2554.29296875,PulseProgressGA,f8,8
3,2407.40673828125,PulseProgressGA,f8,8
4,2398.701171875,PulseProgressGA,f8,8
5,2280.849365234375,PulseProgressGA,f8,8
6,2280.849365234375,PulseProgressGA,f8,8
7,2267.39208984375,PulseProgressGA,f8,8
8,2252.818359375,PulseProgressGA,f8,8
9,2243.870361328125,PulseProgressGA,f8,8
10,2239.063232421875,PulseProgressGA,f8,8
11,2239.043212890625,PulseProgressGA,f8,8
12,2237.38330078125,PulseProgressGA,f8,8
13,2234.65087890625,PulseProgressGA,f8,8
14,2234.65087890625,PulseProgressGA,f8,8
15,2232.338623046875,PulseProgressGA,f8,8
16,2232.338623046875,PulseProgressGA,f8,8
17,2232.2451171875,PulseProgressGA,f8,8
18,2232.2451171875,PulseProgressGA,f8,8
19,2232.2451171875,PulseProgressGA,f8,8
20,2231.96044921875,PulseProgressGA,f8,8
21,2230.91357421875,PulseProgressGA,f8,8
22,2230.91357421875,PulseProgressGA,f8,8
23,2230.91357421875,PulseProgressGA,f8,8
24,2230.27880859375,PulseProgressGA,f8,8
25,2230.1171875,PulseProgressGA,f8,8
26,2229.89306640625,PulseProgressGA,f8,8
27,2229.89306640625,PulseProgressGA,f8,8
28,2229.89306640625,PulseProgressGA,f8,8
29,2229.89306640625,PulseProgressGA,f8,8
30,2229.888671875,PulseProgressGA,f8,8
31,2229.8583984375,PulseProgressGA,f8,8
32,2229.720947265625,PulseProgressGA,f8,8
33,2229.720947265625,PulseProgressGA,f8,8
34,2229.720947265625,PulseProgressGA,f8,8
35,2229.720947265625,PulseProgressGA,f8,8
36,2229.6455078125,PulseProgressGA,f8,8
37,2229.634033203125,PulseProgressGA,f8,8
38,2229.572509765625,PulseProgressGA,f8,8
39,2229.526611328125,PulseProgressGA,f8,8
40,2229.376220703125,PulseProgressGA,f8,8
41,2229.376220703125,PulseProgressGA,f8,8
42,2229.0546875,PulseProgressGA,f8,8
43,2229.031494140625,PulseProgressGA,f8,8
44,2229.031494140625,PulseProgressGA,f8,8
45,2228.97412109375,PulseProgressGA,f8,8
46,2228.97119140625,PulseProgressGA,f8,8
47,2228.916748046875,PulseProgressGA,f8,8
48,2228.916748046875,PulseProgressGA,f8,8
49,2228.912353515625,PulseProgressGA,f8,8
50,2228.89990234375,PulseProgressGA,f8,8
51,2228.896240234375,PulseProgressGA,f8,8
52,2228.8955078125,PulseProgressGA,f8,8
53,2228.55126953125,PulseProgressGA,f8,8
54,2228.12841796875,PulseProgressGA,f8,8
