generation,elite_fitness,algorithm,function,seed
0,12085.5751953125,Pulse,f11,8
1,10408.720703125,Pulse,f11,8
2,10398.728515625,Pulse,f11,8
3,10387.5703125,Pulse,f11,8
4,10373.224609375,Pulse,f11,8
5,10344.4599609375,Pulse,f11,8
6,10325.98828125,Pulse,f11,8
7,10296.103515625,Pulse,f11,8
8,10261.982421875,Pulse,f11,8
9,10239.435546875,Pulse,f11,8
10,10206.091796875,Pulse,f11,8
11,10175.4248046875,Pulse,f11,8
12,10151.27734375,Pulse,f11,8
13,10129.5078125,Pulse,f11,8
14,10083.265625,Pulse,f11,8
15,10046.708984375,Pulse,f11,8
16,10018.5791015625,Pulse,f11,8
17,9962.2265625,Pulse,f11,8
18,9959.091796875,Pulse,f11,8
19,9902.6005859375,Pulse,f11,8
20,9822.26171875,Pulse,f11,8
21,9786.4013671875,Pulse,f11,8
22,9757.2060546875,Pulse,f11,8
23,9738.19921875,Pulse,f11,8
24,9702.2138671875,Pulse,f11,8
25,9653.61328125,Pulse,f11,8
26,9648.146484375,Pulse,f11,8
27,9590.716796875,Pulse,f11,8
28,9521.2802734375,Pulse,f11,8
29,9454.345703125,Pulse,f11,8
30,9398.470703125,Pulse,f11,8
31,9321.873046875,Pulse,f11,8
32,9277.6865234375,Pulse,f11,8
33,9230.3076171875,Pulse,f11,8
34,9167.568359375,Pulse,f11,8
35,9110.6015625,Pulse,f11,8
36,9058.978515625,Pulse,f11,8
37,9025.7333984375,Pulse,f11,8
38,8961.2431640625,Pulse,f11,8
39,8882.1953125,Pulse,f11,8
40,8794.763671875,Pulse,f11,8
41,8737.111328125,Pulse,f11,8
42,8690.794921875,Pulse,f11,8
43,8617.404296875,Pulse,f11,8
44,8605.7568359375,Pulse,f11,8
45,8516.98046875,Pulse,f11,8
46,8402.72265625,Pulse,f11,8
47,8347.0498046875,Pulse,f11,8
48,8329.375,Pulse,f11,8
49,8249.494140625,Pulse,f11,8
50,8219.0703125,Pulse,f11,8
51,8178.2841796875,Pulse,f11,8
52,8100.94384765625,Pulse,f11,8
53,8016.5810546875,Pulse,f11,8
54,7986.5361328125,Pulse,f11,8
55,7874.47900390625,Pulse,f11,8
56,7827.42431640625,Pulse,f11,8
57,7749.49560546875,Pulse,f11,8
58,7644.25439453125,Pulse,f11,8
59,7593.86376953125,Pulse,f11,8
60,7479.998046875,Pulse,f11,8
61,7411.97265625,Pulse,f11,8
62,7319.4248046875,Pulse,f11,8
63,7288.77392578125,Pulse,f11,8
64,7253.45361328125,Pulse,f11,8
65,7121.65625,Pulse,f11,8
66,7048.0263671875,Pulse,f11,8
67,6985.73583984375,Pulse,f11,8
68,6916.01904296875,Pulse,f11,8
69,6882.60791015625,Pulse,f11,8
70,6786.57666015625,Pulse,f11,8
71,6719.42578125,Pulse,f11,8
72,6685.5322265625,Pulse,f11,8
73,6598.9384765625,Pulse,f11,8
74,6492.32421875,Pulse,f11,8
75,6427.20068359375,Pulse,f11,8
76,6321.50146484375,Pulse,f11,8
77,6206.78271484375,Pulse,f11,8
78,6143.2607421875,Pulse,f11,8
79,6043.49658203125,Pulse,f11,8
80,5961.9091796875,Pulse,f11,8
81,5835.3916015625,Pulse,f11,8
82,5765.78369140625,Pulse,f11,8
83,5649.46435546875,Pulse,f11,8
84,5599.36328125,Pulse,f11,8
85,5581.2666015625,Pulse,f11,8
86,5458.3642578125,Pulse,f11,8
87,5414.3603515625,Pulse,f11,8
88,5337.0859375,Pulse,f11,8
89,5297.9912109375,Pulse,f11,8
90,5202.83984375,Pulse,f11,8
91,5160.70068359375,Pulse,f11,8
92,5093.0283203125,Pulse,f11,8
93,5019.5625,Pulse,f11,8
94,4980.03125,Pulse,f11,8
95,4932.8388671875,Pulse,f11,8
96,4903.787109375,Pulse,f11,8
97,4788.1474609375,Pulse,f11,8
98,4687.138671875,Pulse,f11,8
99,4642.82373046875,Pulse,f11,8
100,4642.82373046875,Pulse,f11,8
101,4571.5703125,Pulse,f11,8
102,4491.181640625,Pulse,f11,8
103,4444.89306640625,Pulse,f11,8
104,4367.73828125,Pulse,f11,8
105,4294.16259765625,Pulse,f11,8
106,4294.16259765625,Pulse,f11,8
107,4278.58837890625,Pulse,f11,8
108,4209.6962890625,Pulse,f11,8
109,4141.4736328125,Pulse,f11,8
110,4049.63720703125,Pulse,f11,8
111,4049.63720703125,Pulse,f11,8
112,4016.94970703125,Pulse,f11,8
113,3965.050048828125,Pulse,f11,8
114,3949.41357421875,Pulse,f11,8
115,3930.767578125,Pulse,f11,8
116,3928.13818359375,Pulse,f11,8
117,3928.13818359375,Pulse,f11,8
118,3928.13818359375,Pulse,f11,8
119,3928.0107421875,Pulse,f11,8
120,3927.89501953125,Pulse,f11,8
121,3927.73828125,Pulse,f11,8
122,3927.58447265625,Pulse,f11,8
123,3927.58447265625,Pulse,f11,8
124,3927.58447265625,Pulse,f11,8
125,3927.584228515625,Pulse,f11,8
126,3927.584228515625,Pulse,f11,8
127,3927.583740234375,Pulse,f11,8
128,3927.582763671875,Pulse,f11,8
129,3927.582763671875,Pulse,f11,8
130,3927.582275390625,Pulse,f11,8
131,3927.58203125,Pulse,f11,8
132,3927.58203125,Pulse,f11,8
133,3927.581787109375,Pulse,f11,8
134,3927.581787109375,Pulse,f11,8
135,3927.581787109375,Pulse,f11,8
136,3927.581787109375,Pulse,f11,8
137,3927.581787109375,Pulse,f11,8
138,3927.581787109375,Pulse,f11,8
139,3927.58154296875,Pulse,f11,8
140,3927.58154296875,Pulse,f11,8
141,3927.58154296875,Pulse,f11,8
142,3927.58154296875,Pulse,f11,8
143,3927.58154296875,Pulse,f11,8
144,3927.58154296875,Pulse,f11,8
145,3927.581298828125,Pulse,f11,8
146,3927.5810546875,Pulse,f11,8
147,3927.5810546875,Pulse,f11,8
148,3927.5810546875,Pulse,f11,8
149,3927.5810546875,Pulse,f11,8
150,3927.5810546875,Pulse,f11,8
151,3927.580810546875,Pulse,f11,8
152,3927.580810546875,Pulse,f11,8
153,3927.580810546875,Pulse,f11,8
154,3927.580810546875,Pulse,f11,8
155,3927.580810546875,Pulse,f11,8
156,3927.580810546875,Pulse,f11,8
157,3927.580810546875,Pulse,f11,8
158,3927.58056640625,Pulse,f11,8
159,3927.58056640625,Pulse,f11,8
160,3918.76123046875,Pulse,f11,8
161,3918.76123046875,Pulse,f11,8
162,3918.76123046875,Pulse,f11,8
163,3885.925537109375,Pulse,f11,8
164,3872.365966796875,Pulse,f11,8
165,3845.583984375,Pulse,f11,8
166,3836.94970703125,Pulse,f11,8
167,3820.09375,Pulse,f11,8
168,3778.24267578125,Pulse,f11,8
169,3729.116455078125,Pulse,f11,8
170,3705.5126953125,Pulse,f11,8
171,3669.201171875,Pulse,f11,8
172,3669.201171875,Pulse,f11,8
173,3651.28564453125,Pulse,f11,8
174,3639.1337890625,Pulse,f11,8
175,3614.5703125,Pulse,f11,8
176,3596.494140625,Pulse,f11,8
177,3588.490966796875,Pulse,f11,8
178,3565.824462890625,Pulse,f11,8
179,3539.482421875,Pulse,f11,8
180,3527.0439453125,Pulse,f11,8
181,3515.44384765625,Pulse,f11,8
182,3510.881591796875,Pulse,f11,8
183,3487.73193359375,Pulse,f11,8
184,3468.237548828125,Pulse,f11,8
185,3457.547607421875,Pulse,f11,8
186,3430.221923828125,Pulse,f11,8
187,3414.6298828125,Pulse,f11,8
188,3401.095703125,Pulse,f11,8
189,3397.96630859375,Pulse,f11,8
190,3378.6669921875,Pulse,f11,8
191,3376.89794921875,Pulse,f11,8
192,3348.003662109375,Pulse,f11,8
193,3340.682861328125,Pulse,f11,8
194,3328.426025390625,Pulse,f11,8
195,3312.86279296875,Pulse,f11,8
196,3293.287109375,Pulse,f11,8
197,3283.11279296875,Pulse,f11,8
198,3268.39599609375,Pulse,f11,8
199,3259.53955078125,Pulse,f11,8
200,3251.36865234375,Pulse,f11,8
201,3239.8740234375,Pulse,f11,8
202,3223.98779296875,Pulse,f11,8
203,3223.599609375,Pulse,f11,8
204,3212.582763671875,Pulse,f11,8
205,3206.432373046875,Pulse,f11,8
206,3193.615478515625,Pulse,f11,8
207,3185.01513671875,Pulse,f11,8
208,3173.979736328125,Pulse,f11,8
209,3168.797607421875,Pulse,f11,8
210,3168.797607421875,Pulse,f11,8
211,3154.951416015625,Pulse,f11,8
212,3143.1435546875,Pulse,f11,8
213,3136.32861328125,Pulse,f11,8
214,3133.97802734375,Pulse,f11,8
215,3125.67138671875,Pulse,f11,8
216,3120.82666015625,Pulse,f11,8
217,3114.54150390625,Pulse,f11,8
218,3103.21630859375,Pulse,f11,8
219,3100.55419921875,Pulse,f11,8
220,3084.390380859375,Pulse,f11,8
221,3075.49560546875,Pulse,f11,8
222,3075.49560546875,Pulse,f11,8
223,3069.775390625,Pulse,f11,8
224,3069.67236328125,Pulse,f11,8
225,3061.4658203125,Pulse,f11,8
226,3057.73779296875,Pulse,f11,8
227,3057.73779296875,Pulse,f11,8
228,3054.276611328125,Pulse,f11,8
229,3054.276611328125,Pulse,f11,8
230,3046.6884765625,Pulse,f11,8
231,3046.6884765625,Pulse,f11,8
232,3044.036376953125,Pulse,f11,8
233,3039.1279296875,Pulse,f11,8
234,3036.993408203125,Pulse,f11,8
235,3036.993408203125,Pulse,f11,8
236,3035.878662109375,Pulse,f11,8
237,3034.118408203125,Pulse,f11,8
238,3030.47216796875,Pulse,f11,8
239,3030.47216796875,Pulse,f11,8
240,3028.97265625,Pulse,f11,8
241,3027.5478515625,Pulse,f11,8
242,3025.810546875,Pulse,f11,8
243,3025.810546875,Pulse,f11,8
244,3022.770263671875,Pulse,f11,8
245,3020.02978515625,Pulse,f11,8
246,3019.52001953125,Pulse,f11,8
247,3019.28271484375,Pulse,f11,8
248,3019.28271484375,Pulse,f11,8
249,3017.251708984375,Pulse,f11,8
250,3017.251708984375,Pulse,f11,8
251,3016.7958984375,Pulse,f11,8
252,3016.7958984375,Pulse,f11,8
253,3015.60986328125,Pulse,f11,8
254,3015.507568359375,Pulse,f11,8
