generation,elite_fitness,algorithm,function,seed
0,95765.5,Pulse_real,f1,14
1,39507.75390625,Pulse_real,f1,14
2,29718.544921875,Pulse_real,f1,14
3,29718.544921875,Pulse_real,f1,14
4,29718.544921875,Pulse_real,f1,14
5,29718.544921875,Pulse_real,f1,14
6,29718.544921875,Pulse_real,f1,14
7,29718.544921875,Pulse_real,f1,14
8,29718.544921875,Pulse_real,f1,14
9,29718.544921875,Pulse_real,f1,14
10,29718.544921875,Pulse_real,f1,14
11,29718.544921875,Pulse_real,f1,14
12,29718.544921875,Pulse_real,f1,14
13,29718.544921875,Pulse_real,f1,14
14,29718.544921875,Pulse_real,f1,14
15,29718.544921875,Pulse_real,f1,14
16,29718.544921875,Pulse_real,f1,14
17,29718.544921875,Pulse_real,f1,14
18,29718.544921875,Pulse_real,f1,14
19,29718.544921875,Pulse_real,f1,14
20,29718.544921875,Pulse_real,f1,14
21,29718.544921875,Pulse_real,f1,14
22,29718.544921875,Pulse_real,f1,14
23,29718.544921875,Pulse_real,f1,14
24,29718.544921875,Pulse_real,f1,14
25,29718.544921875,Pulse_real,f1,14
26,29718.544921875,Pulse_real,f1,14
27,29718.544921875,Pulse_real,f1,14
28,29718.544921875,Pulse_real,f1,14
29,29718.544921875,Pulse_real,f1,14
30,29718.544921875,Pulse_real,f1,14
31,29718.544921875,Pulse_real,f1,14
32,29718.544921875,Pulse_real,f1,14
33,29718.544921875,Pulse_real,f1,14
34,29718.544921875,Pulse_real,f1,14
35,29718.544921875,Pulse_real,f1,14
36,29718.544921875,Pulse_real,f1,14
37,29718.544921875,Pulse_real,f1,14
38,29718.544921875,Pulse_real,f1,14
39,29718.544921875,Pulse_real,f1,14
40,29718.544921875,Pulse_real,f1,14
41,29718.544921875,Pulse_real,f1,14
42,29718.544921875,Pulse_real,f1,14
43,29718.544921875,Pulse_real,f1,14
44,29718.544921875,Pulse_real,f1,14
45,29718.544921875,Pulse_real,f1,14
46,29718.544921875,Pulse_real,f1,14
47,29718.544921875,Pulse_real,f1,14
48,29718.544921875,Pulse_real,f1,14
49,29718.544921875,Pulse_real,f1,14
50,29718.544921875,Pulse_real,f1,14
51,29718.544921875,Pulse_real,f1,14
52,29718.544921875,Pulse_real,f1,14
53,29718.544921875,Pulse_real,f1,14
54,29718.544921875,Pulse_real,f1,14
55,29718.544921875,Pulse_real,f1,14
56,29718.544921875,Pulse_real,f1,14
57,29718.544921875,Pulse_real,f1,14
58,29718.544921875,Pulse_real,f1,14
59,29718.544921875,Pulse_real,f1,14
60,29718.544921875,Pulse_real,f1,14
61,29718.544921875,Pulse_real,f1,14
62,29718.544921875,Pulse_real,f1,14
63,29718.544921875,Pulse_real,f1,14
64,29718.544921875,Pulse_real,f1,14
65,29718.544921875,Pulse_real,f1,14
66,29718.544921875,Pulse_real,f1,14
67,29718.544921875,Pulse_real,f1,14
68,29718.544921875,Pulse_real,f1,14
69,29718.544921875,Pulse_real,f1,14
70,29718.544921875,Pulse_real,f1,14
71,29718.544921875,Pulse_real,f1,14
72,29718.544921875,Pulse_real,f1,14
73,29718.544921875,Pulse_real,f1,14
74,29718.544921875,Pulse_real,f1,14
75,29718.544921875,Pulse_real,f1,14
76,29718.544921875,Pulse_real,f1,14
77,29718.544921875,Pulse_real,f1,14
78,29718.544921875,Pulse_real,f1,14
79,29718.544921875,Pulse_real,f1,14
80,29718.544921875,Pulse_real,f1,14
81,29718.544921875,Pulse_real,f1,14
82,29718.544921875,Pulse_real,f1,14
83,29718.544921875,Pulse_real,f1,14
84,29718.544921875,Pulse_real,f1,14
85,29718.544921875,Pulse_real,f1,14
86,29718.544921875,Pulse_real,f1,14
87,29718.544921875,Pulse_real,f1,14
88,29718.544921875,Pulse_real,f1,14
89,29718.544921875,Pulse_real,f1,14
90,29718.544921875,Pulse_real,f1,14
91,29718.544921875,Pulse_real,f1,14
92,29718.544921875,Pulse_real,f1,14
93,29718.544921875,Pulse_real,f1,14
94,29718.544921875,Pulse_real,f1,14
95,29718.544921875,Pulse_real,f1,14
96,29718.544921875,Pulse_real,f1,14
97,29718.544921875,Pulse_real,f1,14
98,29718.544921875,Pulse_real,f1,14
99,29718.544921875,Pulse_real,f1,14
100,29718.544921875,Pulse_real,f1,14
101,29718.544921875,Pulse_real,f1,14
102,29718.544921875,Pulse_real,f1,14
103,29718.544921875,Pulse_real,f1,14
104,29718.544921875,Pulse_real,f1,14
105,29718.544921875,Pulse_real,f1,14
106,29718.544921875,Pulse_real,f1,14
107,29718.544921875,Pulse_real,f1,14
108,29718.544921875,Pulse_real,f1,14
109,29718.544921875,Pulse_real,f1,14
110,29718.544921875,Pulse_real,f1,14
111,29718.544921875,Pulse_real,f1,14
112,29718.544921875,Pulse_real,f1,14
113,29718.544921875,Pulse_real,f1,14
114,29718.544921875,Pulse_real,f1,14
115,29718.544921875,Pulse_real,f1,14
116,29718.544921875,Pulse_real,f1,14
117,29718.544921875,Pulse_real,f1,14
118,29718.544921875,Pulse_real,f1,14
119,29718.544921875,Pulse_real,f1,14
120,29718.544921875,Pulse_real,f1,14
121,29718.544921875,Pulse_real,f1,14
122,29718.544921875,Pulse_real,f1,14
123,29718.544921875,Pulse_real,f1,14
124,29718.544921875,Pulse_real,f1,14
125,29718.544921875,Pulse_real,f1,14
126,29718.544921875,Pulse_real,f1,14
127,29718.544921875,Pulse_real,f1,14
128,29718.544921875,Pulse_real,f1,14
129,29718.544921875,Pulse_real,f1,14
130,29718.544921875,Pulse_real,f1,14
131,29718.544921875,Pulse_real,f1,14
132,29718.544921875,Pulse_real,f1,14
133,29718.544921875,Pulse_real,f1,14
134,29718.544921875,Pulse_real,f1,14
135,29718.544921875,Pulse_real,f1,14
136,29718.544921875,Pulse_real,f1,14
137,29718.544921875,Pulse_real,f1,14
138,29718.544921875,Pulse_real,f1,14
139,29718.544921875,Pulse_real,f1,14
140,29718.544921875,Pulse_real,f1,14
141,29718.544921875,Pulse_real,f1,14
142,29718.544921875,Pulse_real,f1,14
143,29718.544921875,Pulse_real,f1,14
144,29718.544921875,Pulse_real,f1,14
145,29718.544921875,Pulse_real,f1,14
146,29718.544921875,Pulse_real,f1,14
147,29718.544921875,Pulse_real,f1,14
148,29718.544921875,Pulse_real,f1,14
149,29718.544921875,Pulse_real,f1,14
150,29718.544921875,Pulse_real,f1,14
151,29718.544921875,Pulse_real,f1,14
152,29718.544921875,Pulse_real,f1,14
153,29718.544921875,Pulse_real,f1,14
154,29718.544921875,Pulse_real,f1,14
155,29718.544921875,Pulse_real,f1,14
156,29718.544921875,Pulse_real,f1,14
157,29718.544921875,Pulse_real,f1,14
158,29718.544921875,Pulse_real,f1,14
159,29718.544921875,Pulse_real,f1,14
160,29718.544921875,Pulse_real,f1,14
161,29718.544921875,Pulse_real,f1,14
162,29718.544921875,Pulse_real,f1,14
163,29718.544921875,Pulse_real,f1,14
164,29718.544921875,Pulse_real,f1,14
165,29718.544921875,Pulse_real,f1,14
166,29718.544921875,Pulse_real,f1,14
167,29718.544921875,Pulse_real,f1,14
168,29718.544921875,Pulse_real,f1,14
169,29718.544921875,Pulse_real,f1,14
170,29718.544921875,Pulse_real,f1,14
171,29718.544921875,Pulse_real,f1,14
172,29718.544921875,Pulse_real,f1,14
173,29718.544921875,Pulse_real,f1,14
174,29718.544921875,Pulse_real,f1,14
175,29718.544921875,Pulse_real,f1,14
176,29718.544921875,Pulse_real,f1,14
177,29718.544921875,Pulse_real,f1,14
178,29718.544921875,Pulse_real,f1,14
179,29718.544921875,Pulse_real,f1,14
180,29718.544921875,Pulse_real,f1,14
181,29718.544921875,Pulse_real,f1,14
182,29718.544921875,Pulse_real,f1,14
183,29718.544921875,Pulse_real,f1,14
184,29718.544921875,Pulse_real,f1,14
185,29718.544921875,Pulse_real,f1,14
186,29718.544921875,Pulse_real,f1,14
187,29718.544921875,Pulse_real,f1,14
188,29718.544921875,Pulse_real,f1,14
189,29718.544921875,Pulse_real,f1,14
190,29718.544921875,Pulse_real,f1,14
191,29718.544921875,Pulse_real,f1,14
192,29718.544921875,Pulse_real,f1,14
193,29718.544921875,Pulse_real,f1,14
194,29718.544921875,Pulse_real,f1,14
195,29718.544921875,Pulse_real,f1,14
196,29718.544921875,Pulse_real,f1,14
197,29718.544921875,Pulse_real,f1,14
198,29718.544921875,Pulse_real,f1,14
199,29718.544921875,Pulse_real,f1,14
200,29718.544921875,Pulse_real,f1,14
201,29718.544921875,Pulse_real,f1,14
202,29718.544921875,Pulse_real,f1,14
203,29718.544921875,Pulse_real,f1,14
204,29718.544921875,Pulse_real,f1,14
205,29718.544921875,Pulse_real,f1,14
206,29718.544921875,Pulse_real,f1,14
207,29718.544921875,Pulse_real,f1,14
208,29718.544921875,Pulse_real,f1,14
209,29718.544921875,Pulse_real,f1,14
210,29718.544921875,Pulse_real,f1,14
211,29718.544921875,Pulse_real,f1,14
212,29718.544921875,Pulse_real,f1,14
213,29718.544921875,Pulse_real,f1,14
214,29718.544921875,Pulse_real,f1,14
215,29718.544921875,Pulse_real,f1,14
216,29718.544921875,Pulse_real,f1,14
217,29718.544921875,Pulse_real,f1,14
218,29718.544921875,Pulse_real,f1,14
219,29718.544921875,Pulse_real,f1,14
220,29718.544921875,Pulse_real,f1,14
221,29718.544921875,Pulse_real,f1,14
222,29718.544921875,Pulse_real,f1,14
223,29718.544921875,Pulse_real,f1,14
224,29718.544921875,Pulse_real,f1,14
225,29718.544921875,Pulse_real,f1,14
226,29718.544921875,Pulse_real,f1,14
227,29718.544921875,Pulse_real,f1,14
228,29718.544921875,Pulse_real,f1,14
229,29718.544921875,Pulse_real,f1,14
230,29718.544921875,Pulse_real,f1,14
231,29718.544921875,Pulse_real,f1,14
232,29718.544921875,Pulse_real,f1,14
233,29718.544921875,Pulse_real,f1,14
234,29718.544921875,Pulse_real,f1,14
235,29718.544921875,Pulse_real,f1,14
236,29718.544921875,Pulse_real,f1,14
237,29718.544921875,Pulse_real,f1,14
238,27868.482421875,Pulse_real,f1,14
239,27868.482421875,Pulse_real,f1,14
240,27868.482421875,Pulse_real,f1,14
241,27868.482421875,Pulse_real,f1,14
242,27868.482421875,Pulse_real,f1,14
243,27868.482421875,Pulse_real,f1,14
244,27868.482421875,Pulse_real,f1,14
245,27868.482421875,Pulse_real,f1,14
246,27868.482421875,Pulse_real,f1,14
247,27868.482421875,Pulse_real,f1,14
248,27868.482421875,Pulse_real,f1,14
249,27868.482421875,Pulse_real,f1,14
250,27868.482421875,Pulse_real,f1,14
251,27868.482421875,Pulse_real,f1,14
252,27868.482421875,Pulse_real,f1,14
253,27868.482421875,Pulse_real,f1,14
254,27868.482421875,Pulse_real,f1,14
255,27868.482421875,Pulse_real,f1,14
256,27868.482421875,Pulse_real,f1,14
257,27868.482421875,Pulse_real,f1,14
258,27868.482421875,Pulse_real,f1,14
259,27868.482421875,Pulse_real,f1,14
260,27868.482421875,Pulse_real,f1,14
261,27868.482421875,Pulse_real,f1,14
262,27868.482421875,Pulse_real,f1,14
263,27868.482421875,Pulse_real,f1,14
264,27868.482421875,Pulse_real,f1,14
265,27868.482421875,Pulse_real,f1,14
266,27868.482421875,Pulse_real,f1,14
267,27868.482421875,Pulse_real,f1,14
