generation,elite_fitness,algorithm,function,seed
0,104230.0,Pulse_real_glued,f1,19
1,68774.796875,Pulse_real_glued,f1,19
2,55513.515625,Pulse_real_glued,f1,19
3,55513.515625,Pulse_real_glued,f1,19
4,55513.515625,Pulse_real_glued,f1,19
5,40022.73828125,Pulse_real_glued,f1,19
6,40022.73828125,Pulse_real_glued,f1,19
7,40022.73828125,Pulse_real_glued,f1,19
8,40022.73828125,Pulse_real_glued,f1,19
9,40022.73828125,Pulse_real_glued,f1,19
10,40022.73828125,Pulse_real_glued,f1,19
11,40022.73828125,Pulse_real_glued,f1,19
12,40022.73828125,Pulse_real_glued,f1,19
13,40022.73828125,Pulse_real_glued,f1,19
14,40022.73828125,Pulse_real_glued,f1,19
15,40022.73828125,Pulse_real_glued,f1,19
16,40022.73828125,Pulse_real_glued,f1,19
17,40022.73828125,Pulse_real_glued,f1,19
18,40022.73828125,Pulse_real_glued,f1,19
19,40022.73828125,Pulse_real_glued,f1,19
20,40022.73828125,Pulse_real_glued,f1,19
21,40022.73828125,Pulse_real_glued,f1,19
22,40022.73828125,Pulse_real_glued,f1,19
23,40022.73828125,Pulse_real_glued,f1,19
24,40022.73828125,Pulse_real_glued,f1,19
25,40022.73828125,Pulse_real_glued,f1,19
26,40022.73828125,Pulse_real_glued,f1,19
27,40022.73828125,Pulse_real_glued,f1,19
28,40022.73828125,Pulse_real_glued,f1,19
29,40022.73828125,Pulse_real_glued,f1,19
30,40022.73828125,Pulse_real_glued,f1,19
31,40022.73828125,Pulse_real_glued,f1,19
32,40022.73828125,Pulse_real_glued,f1,19
33,40022.73828125,Pulse_real_glued,f1,19
34,40022.73828125,Pulse_real_glued,f1,19
35,40022.73828125,Pulse_real_glued,f1,19
36,40022.73828125,Pulse_real_glued,f1,19
37,40022.73828125,Pulse_real_glued,f1,19
38,40022.73828125,Pulse_real_glued,f1,19
39,40022.73828125,Pulse_real_glued,f1,19
40,40022.73828125,Pulse_real_glued,f1,19
41,40022.73828125,Pulse_real_glued,f1,19
42,40022.73828125,Pulse_real_glued,f1,19
43,40022.73828125,Pulse_real_glued,f1,19
44,40022.73828125,Pulse_real_glued,f1,19
45,40022.73828125,Pulse_real_glued,f1,19
46,40022.73828125,Pulse_real_glued,f1,19
47,40022.73828125,Pulse_real_glued,f1,19
48,40022.73828125,Pulse_real_glued,f1,19
49,40022.73828125,Pulse_real_glued,f1,19
50,40022.73828125,Pulse_real_glued,f1,19
51,40022.73828125,Pulse_real_glued,f1,19
52,40022.73828125,Pulse_real_glued,f1,19
53,40022.73828125,Pulse_real_glued,f1,19
54,40022.73828125,Pulse_real_glued,f1,19
55,40022.73828125,Pulse_real_glued,f1,19
56,40022.73828125,Pulse_real_glued,f1,19
57,40022.73828125,Pulse_real_glued,f1,19
58,40022.73828125,Pulse_real_glued,f1,19
59,40022.73828125,Pulse_real_glued,f1,19
60,40022.73828125,Pulse_real_glued,f1,19
61,40022.73828125,Pulse_real_glued,f1,19
62,40022.73828125,Pulse_real_glued,f1,19
63,40022.73828125,Pulse_real_glued,f1,19
64,40022.73828125,Pulse_real_glued,f1,19
65,40022.73828125,Pulse_real_glued,f1,19
66,40022.73828125,Pulse_real_glued,f1,19
67,40022.73828125,Pulse_real_glued,f1,19
68,40022.73828125,Pulse_real_glued,f1,19
69,40022.73828125,Pulse_real_glued,f1,19
70,40022.73828125,Pulse_real_glued,f1,19
71,40022.73828125,Pulse_real_glued,f1,19
72,40022.73828125,Pulse_real_glued,f1,19
73,40022.73828125,Pulse_real_glued,f1,19
74,40022.73828125,Pulse_real_glued,f1,19
75,38406.33984375,Pulse_real_glued,f1,19
76,38406.33984375,Pulse_real_glued,f1,19
77,38406.33984375,Pulse_real_glued,f1,19
78,38406.33984375,Pulse_real_glued,f1,19
79,38406.33984375,Pulse_real_glued,f1,19
80,38406.33984375,Pulse_real_glued,f1,19
81,38406.33984375,Pulse_real_glued,f1,19
82,38406.33984375,Pulse_real_glued,f1,19
83,38406.33984375,Pulse_real_glued,f1,19
84,38406.33984375,Pulse_real_glued,f1,19
85,38406.33984375,Pulse_real_glued,f1,19
86,38406.33984375,Pulse_real_glued,f1,19
87,38406.33984375,Pulse_real_glued,f1,19
88,38406.33984375,Pulse_real_glued,f1,19
89,28745.271484375,Pulse_real_glued,f1,19
90,28745.271484375,Pulse_real_glued,f1,19
91,28745.271484375,Pulse_real_glued,f1,19
92,28745.271484375,Pulse_real_glued,f1,19
