Seed,PSO,DE,PulseGreedy
Seed 1,8071.93017578125,1818.643798828125,1820.2158203125
Seed 2,25111.775390625,1824.437744140625,1863.33740234375
Seed 3,9053.4375,1828.23046875,1813.7264404296875
Seed 4,16458.1328125,1829.0269775390625,1826.4658203125
Seed 5,5652.23095703125,1824.0294189453125,1833.29443359375
Seed 6,25009.9609375,1816.4765625,1816.723876953125
Seed 7,20532.509765625,1830.635009765625,1808.4490966796875
Seed 8,20420.29296875,1824.650634765625,1836.116455078125
Seed 9,2105.19677734375,1825.1024169921875,1815.8099365234375
Seed 10,25021.697265625,1826.1087646484375,1844.0130615234375
Seed 11,8360.55078125,1822.29150390625,1840.18359375
Seed 12,2995.26171875,1829.000732421875,1829.240478515625
Seed 13,25072.25,1830.022705078125,1833.4324951171875
Seed 14,25104.384765625,1825.090087890625,1864.340087890625
Seed 15,20390.4296875,1827.153076171875,1831.9111328125
