generation,elite_fitness,algorithm,function,seed
0,1101.7540283203125,DE,f4,16
1,1061.182861328125,DE,f4,16
2,1043.015625,DE,f4,16
3,1043.015625,DE,f4,16
4,1043.015625,DE,f4,16
5,1032.4400634765625,DE,f4,16
6,1032.4400634765625,DE,f4,16
7,1032.4400634765625,DE,f4,16
8,1032.4400634765625,DE,f4,16
9,1010.5203857421875,DE,f4,16
10,1010.5203857421875,DE,f4,16
11,1004.49169921875,DE,f4,16
12,1004.49169921875,DE,f4,16
13,1004.49169921875,DE,f4,16
14,1004.49169921875,DE,f4,16
15,973.8017578125,DE,f4,16
16,973.8017578125,DE,f4,16
17,973.8017578125,DE,f4,16
18,973.8017578125,DE,f4,16
19,973.8017578125,DE,f4,16
20,973.8017578125,DE,f4,16
21,973.8017578125,DE,f4,16
22,973.8017578125,DE,f4,16
23,973.8017578125,DE,f4,16
24,973.8017578125,DE,f4,16
25,973.8017578125,DE,f4,16
26,973.8017578125,DE,f4,16
27,973.8017578125,DE,f4,16
28,973.8017578125,DE,f4,16
29,973.8017578125,DE,f4,16
30,973.8017578125,DE,f4,16
31,973.8017578125,DE,f4,16
32,973.8017578125,DE,f4,16
33,973.8017578125,DE,f4,16
34,973.8017578125,DE,f4,16
35,973.8017578125,DE,f4,16
36,973.8017578125,DE,f4,16
37,968.0816040039062,DE,f4,16
38,968.0816040039062,DE,f4,16
39,968.0816040039062,DE,f4,16
40,966.1910400390625,DE,f4,16
41,966.1910400390625,DE,f4,16
42,966.1910400390625,DE,f4,16
43,961.4417114257812,DE,f4,16
44,961.4417114257812,DE,f4,16
45,950.2218017578125,DE,f4,16
46,950.2218017578125,DE,f4,16
47,929.2420654296875,DE,f4,16
48,929.2420654296875,DE,f4,16
49,929.2420654296875,DE,f4,16
50,929.2420654296875,DE,f4,16
51,929.2420654296875,DE,f4,16
52,929.2420654296875,DE,f4,16
53,929.2420654296875,DE,f4,16
54,929.2420654296875,DE,f4,16
55,929.2420654296875,DE,f4,16
56,929.2420654296875,DE,f4,16
57,929.2420654296875,DE,f4,16
58,929.2420654296875,DE,f4,16
59,929.2420654296875,DE,f4,16
60,929.2420654296875,DE,f4,16
61,929.2420654296875,DE,f4,16
62,929.2420654296875,DE,f4,16
63,929.2420654296875,DE,f4,16
64,929.2420654296875,DE,f4,16
65,929.2420654296875,DE,f4,16
66,929.2420654296875,DE,f4,16
67,929.2420654296875,DE,f4,16
68,929.2420654296875,DE,f4,16
69,929.2420654296875,DE,f4,16
70,929.2420654296875,DE,f4,16
71,929.2420654296875,DE,f4,16
72,929.2420654296875,DE,f4,16
73,929.2420654296875,DE,f4,16
74,929.2420654296875,DE,f4,16
75,929.2420654296875,DE,f4,16
76,929.2420654296875,DE,f4,16
77,929.2420654296875,DE,f4,16
78,929.2420654296875,DE,f4,16
79,929.2420654296875,DE,f4,16
80,929.2420654296875,DE,f4,16
81,929.2420654296875,DE,f4,16
82,929.2420654296875,DE,f4,16
83,929.2420654296875,DE,f4,16
84,929.2420654296875,DE,f4,16
85,929.2420654296875,DE,f4,16
86,929.2420654296875,DE,f4,16
87,929.2420654296875,DE,f4,16
88,929.2420654296875,DE,f4,16
89,929.2420654296875,DE,f4,16
90,929.2420654296875,DE,f4,16
91,929.2420654296875,DE,f4,16
92,929.2420654296875,DE,f4,16
93,929.2420654296875,DE,f4,16
94,929.2420654296875,DE,f4,16
95,929.2420654296875,DE,f4,16
96,929.2420654296875,DE,f4,16
97,929.2420654296875,DE,f4,16
98,929.2420654296875,DE,f4,16
99,929.2420654296875,DE,f4,16
100,929.2420654296875,DE,f4,16
101,929.2420654296875,DE,f4,16
102,929.2420654296875,DE,f4,16
103,929.2420654296875,DE,f4,16
104,929.2420654296875,DE,f4,16
105,929.2420654296875,DE,f4,16
106,929.2420654296875,DE,f4,16
107,929.2420654296875,DE,f4,16
108,929.2420654296875,DE,f4,16
109,929.2420654296875,DE,f4,16
110,929.2420654296875,DE,f4,16
111,929.2420654296875,DE,f4,16
112,929.2420654296875,DE,f4,16
113,929.2420654296875,DE,f4,16
114,929.2420654296875,DE,f4,16
115,929.2420654296875,DE,f4,16
116,929.2420654296875,DE,f4,16
117,929.2420654296875,DE,f4,16
118,929.2420654296875,DE,f4,16
119,929.2420654296875,DE,f4,16
120,929.2420654296875,DE,f4,16
121,929.2420654296875,DE,f4,16
122,929.2420654296875,DE,f4,16
123,929.2420654296875,DE,f4,16
124,929.2420654296875,DE,f4,16
125,929.2420654296875,DE,f4,16
126,929.2420654296875,DE,f4,16
127,929.2420654296875,DE,f4,16
128,929.2420654296875,DE,f4,16
129,922.0435180664062,DE,f4,16
130,922.0435180664062,DE,f4,16
131,922.0435180664062,DE,f4,16
132,922.0435180664062,DE,f4,16
133,922.0435180664062,DE,f4,16
134,922.0435180664062,DE,f4,16
135,922.0435180664062,DE,f4,16
136,922.0435180664062,DE,f4,16
137,922.0435180664062,DE,f4,16
138,922.0435180664062,DE,f4,16
139,922.0435180664062,DE,f4,16
140,922.0435180664062,DE,f4,16
141,922.0435180664062,DE,f4,16
142,922.0435180664062,DE,f4,16
143,922.0435180664062,DE,f4,16
144,922.0435180664062,DE,f4,16
145,922.0435180664062,DE,f4,16
146,922.0435180664062,DE,f4,16
147,922.0435180664062,DE,f4,16
148,922.0435180664062,DE,f4,16
149,922.0435180664062,DE,f4,16
150,922.0435180664062,DE,f4,16
151,922.0435180664062,DE,f4,16
152,922.0435180664062,DE,f4,16
153,922.0435180664062,DE,f4,16
154,922.0435180664062,DE,f4,16
155,922.0435180664062,DE,f4,16
156,922.0435180664062,DE,f4,16
157,922.0435180664062,DE,f4,16
158,922.0435180664062,DE,f4,16
159,922.0435180664062,DE,f4,16
160,922.0435180664062,DE,f4,16
161,922.0435180664062,DE,f4,16
162,922.0435180664062,DE,f4,16
163,922.0435180664062,DE,f4,16
