generation,elite_fitness,algorithm,function,seed
0,9537.822265625,P7Fixed,f5,3
1,7891.0810546875,P7Fixed,f5,3
2,7121.064453125,P7Fixed,f5,3
3,7121.064453125,P7Fixed,f5,3
4,6254.15673828125,P7Fixed,f5,3
5,6254.15673828125,P7Fixed,f5,3
6,6141.33935546875,P7Fixed,f5,3
7,4732.4375,P7Fixed,f5,3
8,4732.4375,P7Fixed,f5,3
9,4732.4375,P7Fixed,f5,3
10,4732.4375,P7Fixed,f5,3
11,4732.4375,P7Fixed,f5,3
12,4732.4375,P7Fixed,f5,3
13,4732.4375,P7Fixed,f5,3
14,4732.4375,P7Fixed,f5,3
15,3397.40087890625,P7Fixed,f5,3
16,3397.40087890625,P7Fixed,f5,3
17,3397.40087890625,P7Fixed,f5,3
18,3397.40087890625,P7Fixed,f5,3
19,3397.40087890625,P7Fixed,f5,3
20,3397.40087890625,P7Fixed,f5,3
21,3383.8798828125,P7Fixed,f5,3
22,3383.8798828125,P7Fixed,f5,3
23,3148.3251953125,P7Fixed,f5,3
24,3148.3251953125,P7Fixed,f5,3
25,3148.3251953125,P7Fixed,f5,3
26,2214.740234375,P7Fixed,f5,3
27,2214.740234375,P7Fixed,f5,3
28,2179.212890625,P7Fixed,f5,3
29,2179.212890625,P7Fixed,f5,3
30,2179.212890625,P7Fixed,f5,3
31,2179.212890625,P7Fixed,f5,3
32,2179.212890625,P7Fixed,f5,3
33,2179.212890625,P7Fixed,f5,3
34,2179.212890625,P7Fixed,f5,3
35,2179.212890625,P7Fixed,f5,3
36,2179.212890625,P7Fixed,f5,3
37,2179.212890625,P7Fixed,f5,3
38,2179.212890625,P7Fixed,f5,3
39,2179.212890625,P7Fixed,f5,3
40,2127.587890625,P7Fixed,f5,3
41,2127.587890625,P7Fixed,f5,3
42,2127.587890625,P7Fixed,f5,3
43,2127.587890625,P7Fixed,f5,3
44,2127.587890625,P7Fixed,f5,3
45,2127.587890625,P7Fixed,f5,3
46,2127.587890625,P7Fixed,f5,3
47,2127.587890625,P7Fixed,f5,3
48,2127.587890625,P7Fixed,f5,3
49,2127.587890625,P7Fixed,f5,3
50,2041.1854248046875,P7Fixed,f5,3
51,2041.1854248046875,P7Fixed,f5,3
52,2041.1854248046875,P7Fixed,f5,3
53,2041.1854248046875,P7Fixed,f5,3
54,2041.1854248046875,P7Fixed,f5,3
55,2041.1854248046875,P7Fixed,f5,3
56,2041.1854248046875,P7Fixed,f5,3
57,2041.1854248046875,P7Fixed,f5,3
58,2041.1854248046875,P7Fixed,f5,3
59,2041.1854248046875,P7Fixed,f5,3
60,2041.1854248046875,P7Fixed,f5,3
61,2041.1854248046875,P7Fixed,f5,3
