generation,elite_fitness,algorithm,function,seed
0,11812.53515625,PSO,f5,26
1,11812.53515625,PSO,f5,26
2,11812.53515625,PSO,f5,26
3,11812.53515625,PSO,f5,26
4,10962.662109375,PSO,f5,26
5,9197.068359375,PSO,f5,26
6,8463.544921875,PSO,f5,26
7,5923.103515625,PSO,f5,26
8,5923.103515625,PSO,f5,26
9,4669.52783203125,PSO,f5,26
10,4168.8095703125,PSO,f5,26
11,3237.924072265625,PSO,f5,26
12,3206.839111328125,PSO,f5,26
13,2635.09375,PSO,f5,26
14,1959.819580078125,PSO,f5,26
15,1959.819580078125,PSO,f5,26
16,1554.5989990234375,PSO,f5,26
17,1554.5989990234375,PSO,f5,26
18,1554.5989990234375,PSO,f5,26
19,1505.328857421875,PSO,f5,26
20,1407.9658203125,PSO,f5,26
21,1182.68212890625,PSO,f5,26
22,1182.68212890625,PSO,f5,26
23,1182.68212890625,PSO,f5,26
24,1135.247802734375,PSO,f5,26
25,1135.247802734375,PSO,f5,26
26,1106.3770751953125,PSO,f5,26
27,1106.3770751953125,PSO,f5,26
28,1104.079345703125,PSO,f5,26
29,1039.7301025390625,PSO,f5,26
30,1039.7301025390625,PSO,f5,26
31,1039.7301025390625,PSO,f5,26
32,1039.7301025390625,PSO,f5,26
33,1029.446533203125,PSO,f5,26
34,1005.7272338867188,PSO,f5,26
35,1000.9835205078125,PSO,f5,26
36,984.9080200195312,PSO,f5,26
37,949.0071411132812,PSO,f5,26
38,949.0071411132812,PSO,f5,26
39,949.0071411132812,PSO,f5,26
40,948.4560546875,PSO,f5,26
41,948.4560546875,PSO,f5,26
42,944.6448364257812,PSO,f5,26
43,930.3729858398438,PSO,f5,26
44,930.3729858398438,PSO,f5,26
45,919.7159423828125,PSO,f5,26
46,914.905517578125,PSO,f5,26
47,914.905517578125,PSO,f5,26
48,914.905517578125,PSO,f5,26
49,914.905517578125,PSO,f5,26
50,914.905517578125,PSO,f5,26
51,914.905517578125,PSO,f5,26
52,914.905517578125,PSO,f5,26
53,914.905517578125,PSO,f5,26
54,914.905517578125,PSO,f5,26
55,914.905517578125,PSO,f5,26
56,914.5927124023438,PSO,f5,26
57,913.4864501953125,PSO,f5,26
58,913.4366455078125,PSO,f5,26
59,913.4366455078125,PSO,f5,26
60,912.4031982421875,PSO,f5,26
61,911.79052734375,PSO,f5,26
62,911.4541625976562,PSO,f5,26
63,910.8507080078125,PSO,f5,26
64,910.5445556640625,PSO,f5,26
65,910.48681640625,PSO,f5,26
66,910.3104858398438,PSO,f5,26
67,910.1527709960938,PSO,f5,26
68,910.0735473632812,PSO,f5,26
69,909.839111328125,PSO,f5,26
70,909.8181762695312,PSO,f5,26
71,909.7822875976562,PSO,f5,26
72,909.7380981445312,PSO,f5,26
73,909.6780395507812,PSO,f5,26
74,909.636474609375,PSO,f5,26
