generation,elite_fitness,algorithm,function,seed
0,2576.537353515625,PulseConvexRayGA,f8,1
1,2576.537353515625,PulseConvexRayGA,f8,1
2,2515.34912109375,PulseConvexRayGA,f8,1
3,2515.34912109375,PulseConvexRayGA,f8,1
4,2339.28857421875,PulseConvexRayGA,f8,1
5,2339.28857421875,PulseConvexRayGA,f8,1
6,2316.818603515625,PulseConvexRayGA,f8,1
7,2297.736572265625,PulseConvexRayGA,f8,1
8,2297.736572265625,PulseConvexRayGA,f8,1
9,2277.490234375,PulseConvexRayGA,f8,1
10,2259.027587890625,PulseConvexRayGA,f8,1
11,2246.655029296875,PulseConvexRayGA,f8,1
12,2246.655029296875,PulseConvexRayGA,f8,1
13,2243.50927734375,PulseConvexRayGA,f8,1
14,2238.407958984375,PulseConvexRayGA,f8,1
15,2238.407958984375,PulseConvexRayGA,f8,1
16,2238.407958984375,PulseConvexRayGA,f8,1
17,2234.877685546875,PulseConvexRayGA,f8,1
18,2234.877685546875,PulseConvexRayGA,f8,1
19,2233.468994140625,PulseConvexRayGA,f8,1
20,2233.468994140625,PulseConvexRayGA,f8,1
21,2233.468994140625,PulseConvexRayGA,f8,1
22,2233.468994140625,PulseConvexRayGA,f8,1
23,2232.444580078125,PulseConvexRayGA,f8,1
24,2232.444580078125,PulseConvexRayGA,f8,1
25,2232.444580078125,PulseConvexRayGA,f8,1
26,2232.444580078125,PulseConvexRayGA,f8,1
27,2231.777587890625,PulseConvexRayGA,f8,1
28,2231.777587890625,PulseConvexRayGA,f8,1
29,2231.33642578125,PulseConvexRayGA,f8,1
30,2231.33642578125,PulseConvexRayGA,f8,1
31,2231.2373046875,PulseConvexRayGA,f8,1
32,2231.2373046875,PulseConvexRayGA,f8,1
33,2231.116943359375,PulseConvexRayGA,f8,1
34,2231.091064453125,PulseConvexRayGA,f8,1
35,2231.091064453125,PulseConvexRayGA,f8,1
36,2230.814208984375,PulseConvexRayGA,f8,1
37,2230.814208984375,PulseConvexRayGA,f8,1
38,2230.794189453125,PulseConvexRayGA,f8,1
39,2230.7021484375,PulseConvexRayGA,f8,1
40,2230.688720703125,PulseConvexRayGA,f8,1
41,2230.688720703125,PulseConvexRayGA,f8,1
42,2230.54931640625,PulseConvexRayGA,f8,1
43,2230.54736328125,PulseConvexRayGA,f8,1
44,2230.455322265625,PulseConvexRayGA,f8,1
45,2230.369140625,PulseConvexRayGA,f8,1
46,2230.369140625,PulseConvexRayGA,f8,1
47,2230.3544921875,PulseConvexRayGA,f8,1
48,2230.3544921875,PulseConvexRayGA,f8,1
49,2230.347412109375,PulseConvexRayGA,f8,1
50,2230.308349609375,PulseConvexRayGA,f8,1
51,2230.185791015625,PulseConvexRayGA,f8,1
52,2230.185791015625,PulseConvexRayGA,f8,1
53,2230.185791015625,PulseConvexRayGA,f8,1
54,2230.119140625,PulseConvexRayGA,f8,1
55,2230.094970703125,PulseConvexRayGA,f8,1
56,2230.01220703125,PulseConvexRayGA,f8,1
57,2229.972900390625,PulseConvexRayGA,f8,1
58,2229.972900390625,PulseConvexRayGA,f8,1
59,2229.90576171875,PulseConvexRayGA,f8,1
60,2229.90576171875,PulseConvexRayGA,f8,1
61,2229.860107421875,PulseConvexRayGA,f8,1
62,2229.786376953125,PulseConvexRayGA,f8,1
63,2229.786376953125,PulseConvexRayGA,f8,1
64,2229.735107421875,PulseConvexRayGA,f8,1
65,2229.7041015625,PulseConvexRayGA,f8,1
66,2229.701416015625,PulseConvexRayGA,f8,1
67,2229.685546875,PulseConvexRayGA,f8,1
68,2229.635009765625,PulseConvexRayGA,f8,1
69,2229.635009765625,PulseConvexRayGA,f8,1
70,2229.623046875,PulseConvexRayGA,f8,1
71,2229.623046875,PulseConvexRayGA,f8,1
72,2229.59814453125,PulseConvexRayGA,f8,1
73,2229.5908203125,PulseConvexRayGA,f8,1
74,2229.57861328125,PulseConvexRayGA,f8,1
75,2229.523193359375,PulseConvexRayGA,f8,1
76,2229.52197265625,PulseConvexRayGA,f8,1
77,2229.52197265625,PulseConvexRayGA,f8,1
78,2229.488525390625,PulseConvexRayGA,f8,1
79,2229.4853515625,PulseConvexRayGA,f8,1
80,2229.4404296875,PulseConvexRayGA,f8,1
81,2229.4404296875,PulseConvexRayGA,f8,1
82,2229.41650390625,PulseConvexRayGA,f8,1
83,2229.392822265625,PulseConvexRayGA,f8,1
84,2229.383056640625,PulseConvexRayGA,f8,1
85,2229.36962890625,PulseConvexRayGA,f8,1
86,2229.363037109375,PulseConvexRayGA,f8,1
87,2229.345947265625,PulseConvexRayGA,f8,1
88,2229.337890625,PulseConvexRayGA,f8,1
89,2229.337890625,PulseConvexRayGA,f8,1
90,2229.332275390625,PulseConvexRayGA,f8,1
91,2229.329833984375,PulseConvexRayGA,f8,1
92,2229.31884765625,PulseConvexRayGA,f8,1
93,2229.31884765625,PulseConvexRayGA,f8,1
94,2229.30712890625,PulseConvexRayGA,f8,1
95,2229.304443359375,PulseConvexRayGA,f8,1
96,2229.304443359375,PulseConvexRayGA,f8,1
97,2229.301513671875,PulseConvexRayGA,f8,1
98,2229.29833984375,PulseConvexRayGA,f8,1
99,2229.29833984375,PulseConvexRayGA,f8,1
100,2229.296142578125,PulseConvexRayGA,f8,1
101,2229.296142578125,PulseConvexRayGA,f8,1
102,2229.294921875,PulseConvexRayGA,f8,1
103,2229.294189453125,PulseConvexRayGA,f8,1
104,2229.294189453125,PulseConvexRayGA,f8,1
105,2229.294189453125,PulseConvexRayGA,f8,1
106,2229.294189453125,PulseConvexRayGA,f8,1
107,2229.294189453125,PulseConvexRayGA,f8,1
108,2229.2939453125,PulseConvexRayGA,f8,1
109,2229.293701171875,PulseConvexRayGA,f8,1
110,2229.29345703125,PulseConvexRayGA,f8,1
111,2229.29296875,PulseConvexRayGA,f8,1
112,2229.2919921875,PulseConvexRayGA,f8,1
113,2229.28955078125,PulseConvexRayGA,f8,1
114,2229.2822265625,PulseConvexRayGA,f8,1
115,2229.280517578125,PulseConvexRayGA,f8,1
116,2229.2685546875,PulseConvexRayGA,f8,1
117,2229.2685546875,PulseConvexRayGA,f8,1
118,2229.258544921875,PulseConvexRayGA,f8,1
119,2229.257080078125,PulseConvexRayGA,f8,1
120,2229.253662109375,PulseConvexRayGA,f8,1
121,2229.243896484375,PulseConvexRayGA,f8,1
122,2229.243896484375,PulseConvexRayGA,f8,1
123,2229.2412109375,PulseConvexRayGA,f8,1
124,2229.236328125,PulseConvexRayGA,f8,1
125,2229.23583984375,PulseConvexRayGA,f8,1
126,2229.23193359375,PulseConvexRayGA,f8,1
127,2229.22705078125,PulseConvexRayGA,f8,1
128,2229.2138671875,PulseConvexRayGA,f8,1
129,2229.20263671875,PulseConvexRayGA,f8,1
130,2229.200439453125,PulseConvexRayGA,f8,1
131,2229.197021484375,PulseConvexRayGA,f8,1
132,2229.190673828125,PulseConvexRayGA,f8,1
133,2229.186767578125,PulseConvexRayGA,f8,1
134,2229.1689453125,PulseConvexRayGA,f8,1
135,2229.16796875,PulseConvexRayGA,f8,1
136,2229.16796875,PulseConvexRayGA,f8,1
137,2229.16552734375,PulseConvexRayGA,f8,1
138,2229.163818359375,PulseConvexRayGA,f8,1
139,2229.15625,PulseConvexRayGA,f8,1
140,2229.156005859375,PulseConvexRayGA,f8,1
141,2229.1533203125,PulseConvexRayGA,f8,1
142,2229.14697265625,PulseConvexRayGA,f8,1
143,2229.14599609375,PulseConvexRayGA,f8,1
144,2229.14453125,PulseConvexRayGA,f8,1
145,2229.14208984375,PulseConvexRayGA,f8,1
146,2229.1396484375,PulseConvexRayGA,f8,1
147,2229.13427734375,PulseConvexRayGA,f8,1
148,2229.128662109375,PulseConvexRayGA,f8,1
149,2229.128662109375,PulseConvexRayGA,f8,1
150,2229.116455078125,PulseConvexRayGA,f8,1
151,2229.113525390625,PulseConvexRayGA,f8,1
152,2229.11181640625,PulseConvexRayGA,f8,1
153,2229.10791015625,PulseConvexRayGA,f8,1
154,2229.10546875,PulseConvexRayGA,f8,1
155,2229.099365234375,PulseConvexRayGA,f8,1
156,2229.093505859375,PulseConvexRayGA,f8,1
157,2229.091552734375,PulseConvexRayGA,f8,1
158,2229.085205078125,PulseConvexRayGA,f8,1
159,2229.0849609375,PulseConvexRayGA,f8,1
160,2229.0810546875,PulseConvexRayGA,f8,1
161,2229.0634765625,PulseConvexRayGA,f8,1
162,2229.0634765625,PulseConvexRayGA,f8,1
163,2229.048828125,PulseConvexRayGA,f8,1
164,2229.048828125,PulseConvexRayGA,f8,1
165,2229.048583984375,PulseConvexRayGA,f8,1
166,2229.02880859375,PulseConvexRayGA,f8,1
167,2229.02685546875,PulseConvexRayGA,f8,1
168,2229.02685546875,PulseConvexRayGA,f8,1
169,2229.015869140625,PulseConvexRayGA,f8,1
170,2229.015625,PulseConvexRayGA,f8,1
171,2229.0078125,PulseConvexRayGA,f8,1
172,2229.00244140625,PulseConvexRayGA,f8,1
173,2228.988525390625,PulseConvexRayGA,f8,1
174,2228.980712890625,PulseConvexRayGA,f8,1
175,2228.96337890625,PulseConvexRayGA,f8,1
176,2228.962158203125,PulseConvexRayGA,f8,1
177,2228.944091796875,PulseConvexRayGA,f8,1
178,2228.94189453125,PulseConvexRayGA,f8,1
179,2228.906982421875,PulseConvexRayGA,f8,1
180,2228.869873046875,PulseConvexRayGA,f8,1
181,2228.85302734375,PulseConvexRayGA,f8,1
182,2228.829345703125,PulseConvexRayGA,f8,1
183,2228.82763671875,PulseConvexRayGA,f8,1
184,2228.8125,PulseConvexRayGA,f8,1
185,2228.809814453125,PulseConvexRayGA,f8,1
186,2228.809814453125,PulseConvexRayGA,f8,1
187,2228.80078125,PulseConvexRayGA,f8,1
188,2228.799072265625,PulseConvexRayGA,f8,1
189,2228.794189453125,PulseConvexRayGA,f8,1
190,2228.789794921875,PulseConvexRayGA,f8,1
191,2228.7890625,PulseConvexRayGA,f8,1
192,2228.7861328125,PulseConvexRayGA,f8,1
193,2228.78466796875,PulseConvexRayGA,f8,1
194,2228.779296875,PulseConvexRayGA,f8,1
195,2228.779296875,PulseConvexRayGA,f8,1
196,2228.779296875,PulseConvexRayGA,f8,1
197,2228.777099609375,PulseConvexRayGA,f8,1
198,2228.77685546875,PulseConvexRayGA,f8,1
199,2228.776123046875,PulseConvexRayGA,f8,1
200,2228.775390625,PulseConvexRayGA,f8,1
201,2228.7744140625,PulseConvexRayGA,f8,1
202,2228.7724609375,PulseConvexRayGA,f8,1
203,2228.771728515625,PulseConvexRayGA,f8,1
204,2228.77001953125,PulseConvexRayGA,f8,1
205,2228.76904296875,PulseConvexRayGA,f8,1
206,2228.768310546875,PulseConvexRayGA,f8,1
207,2228.7646484375,PulseConvexRayGA,f8,1
208,2228.763671875,PulseConvexRayGA,f8,1
209,2228.759765625,PulseConvexRayGA,f8,1
210,2228.759765625,PulseConvexRayGA,f8,1
211,2228.759765625,PulseConvexRayGA,f8,1
212,2228.758544921875,PulseConvexRayGA,f8,1
213,2228.758544921875,PulseConvexRayGA,f8,1
214,2228.7568359375,PulseConvexRayGA,f8,1
215,2228.755859375,PulseConvexRayGA,f8,1
216,2228.755859375,PulseConvexRayGA,f8,1
217,2228.75439453125,PulseConvexRayGA,f8,1
218,2228.75439453125,PulseConvexRayGA,f8,1
219,2228.754150390625,PulseConvexRayGA,f8,1
220,2228.75,PulseConvexRayGA,f8,1
221,2228.74853515625,PulseConvexRayGA,f8,1
222,2228.748046875,PulseConvexRayGA,f8,1
223,2228.74755859375,PulseConvexRayGA,f8,1
224,2228.74755859375,PulseConvexRayGA,f8,1
225,2228.74755859375,PulseConvexRayGA,f8,1
226,2228.74609375,PulseConvexRayGA,f8,1
227,2228.74609375,PulseConvexRayGA,f8,1
228,2228.745361328125,PulseConvexRayGA,f8,1
229,2228.745361328125,PulseConvexRayGA,f8,1
230,2228.74462890625,PulseConvexRayGA,f8,1
231,2228.74365234375,PulseConvexRayGA,f8,1
232,2228.74365234375,PulseConvexRayGA,f8,1
233,2228.7431640625,PulseConvexRayGA,f8,1
234,2228.741943359375,PulseConvexRayGA,f8,1
235,2228.741943359375,PulseConvexRayGA,f8,1
236,2228.74169921875,PulseConvexRayGA,f8,1
237,2228.740478515625,PulseConvexRayGA,f8,1
238,2228.740478515625,PulseConvexRayGA,f8,1
239,2228.740478515625,PulseConvexRayGA,f8,1
240,2228.740234375,PulseConvexRayGA,f8,1
241,2228.73974609375,PulseConvexRayGA,f8,1
242,2228.7392578125,PulseConvexRayGA,f8,1
243,2228.73876953125,PulseConvexRayGA,f8,1
244,2228.737548828125,PulseConvexRayGA,f8,1
245,2228.7373046875,PulseConvexRayGA,f8,1
246,2228.736083984375,PulseConvexRayGA,f8,1
247,2228.736083984375,PulseConvexRayGA,f8,1
248,2228.73486328125,PulseConvexRayGA,f8,1
249,2228.734375,PulseConvexRayGA,f8,1
250,2228.733642578125,PulseConvexRayGA,f8,1
251,2228.733154296875,PulseConvexRayGA,f8,1
252,2228.732177734375,PulseConvexRayGA,f8,1
253,2228.73193359375,PulseConvexRayGA,f8,1
254,2228.731201171875,PulseConvexRayGA,f8,1
255,2228.72998046875,PulseConvexRayGA,f8,1
256,2228.72998046875,PulseConvexRayGA,f8,1
257,2228.728759765625,PulseConvexRayGA,f8,1
258,2228.728271484375,PulseConvexRayGA,f8,1
259,2228.727294921875,PulseConvexRayGA,f8,1
260,2228.727294921875,PulseConvexRayGA,f8,1
261,2228.72607421875,PulseConvexRayGA,f8,1
262,2228.725341796875,PulseConvexRayGA,f8,1
263,2228.72314453125,PulseConvexRayGA,f8,1
264,2228.72216796875,PulseConvexRayGA,f8,1
265,2228.721435546875,PulseConvexRayGA,f8,1
266,2228.72119140625,PulseConvexRayGA,f8,1
267,2228.72119140625,PulseConvexRayGA,f8,1
268,2228.720458984375,PulseConvexRayGA,f8,1
269,2228.720458984375,PulseConvexRayGA,f8,1
270,2228.71875,PulseConvexRayGA,f8,1
271,2228.71875,PulseConvexRayGA,f8,1
272,2228.718505859375,PulseConvexRayGA,f8,1
273,2228.718017578125,PulseConvexRayGA,f8,1
274,2228.7177734375,PulseConvexRayGA,f8,1
275,2228.717041015625,PulseConvexRayGA,f8,1
276,2228.717041015625,PulseConvexRayGA,f8,1
277,2228.716064453125,PulseConvexRayGA,f8,1
278,2228.715576171875,PulseConvexRayGA,f8,1
279,2228.715576171875,PulseConvexRayGA,f8,1
280,2228.71533203125,PulseConvexRayGA,f8,1
281,2228.71533203125,PulseConvexRayGA,f8,1
282,2228.714599609375,PulseConvexRayGA,f8,1
283,2228.714599609375,PulseConvexRayGA,f8,1
284,2228.71435546875,PulseConvexRayGA,f8,1
285,2228.714111328125,PulseConvexRayGA,f8,1
286,2228.713134765625,PulseConvexRayGA,f8,1
287,2228.712890625,PulseConvexRayGA,f8,1
288,2228.712158203125,PulseConvexRayGA,f8,1
289,2228.71142578125,PulseConvexRayGA,f8,1
290,2228.71044921875,PulseConvexRayGA,f8,1
291,2228.710205078125,PulseConvexRayGA,f8,1
292,2228.7099609375,PulseConvexRayGA,f8,1
293,2228.708740234375,PulseConvexRayGA,f8,1
294,2228.708251953125,PulseConvexRayGA,f8,1
295,2228.708251953125,PulseConvexRayGA,f8,1
296,2228.706298828125,PulseConvexRayGA,f8,1
