generation,elite_fitness,algorithm,function,seed
0,78663.765625,PulseCovarianceGA,f1,3
1,53528.95703125,PulseCovarianceGA,f1,3
2,33230.33203125,PulseCovarianceGA,f1,3
3,27678.083984375,PulseCovarianceGA,f1,3
4,25868.095703125,PulseCovarianceGA,f1,3
5,21532.205078125,PulseCovarianceGA,f1,3
6,20396.197265625,PulseCovarianceGA,f1,3
7,19231.2890625,PulseCovarianceGA,f1,3
8,18690.634765625,PulseCovarianceGA,f1,3
9,18342.552734375,PulseCovarianceGA,f1,3
10,18342.552734375,PulseCovarianceGA,f1,3
11,18236.28515625,PulseCovarianceGA,f1,3
12,18204.12890625,PulseCovarianceGA,f1,3
13,18189.701171875,PulseCovarianceGA,f1,3
14,18189.701171875,PulseCovarianceGA,f1,3
15,18189.701171875,PulseCovarianceGA,f1,3
16,18186.978515625,PulseCovarianceGA,f1,3
17,18182.470703125,PulseCovarianceGA,f1,3
18,18182.470703125,PulseCovarianceGA,f1,3
19,18180.58203125,PulseCovarianceGA,f1,3
20,18177.23046875,PulseCovarianceGA,f1,3
21,18177.23046875,PulseCovarianceGA,f1,3
22,18176.21484375,PulseCovarianceGA,f1,3
23,18176.21484375,PulseCovarianceGA,f1,3
24,18175.125,PulseCovarianceGA,f1,3
25,18174.521484375,PulseCovarianceGA,f1,3
26,18173.80078125,PulseCovarianceGA,f1,3
27,18173.673828125,PulseCovarianceGA,f1,3
28,18173.5859375,PulseCovarianceGA,f1,3
29,18172.587890625,PulseCovarianceGA,f1,3
30,18172.46484375,PulseCovarianceGA,f1,3
31,18172.28125,PulseCovarianceGA,f1,3
32,18172.140625,PulseCovarianceGA,f1,3
33,18172.08203125,PulseCovarianceGA,f1,3
34,18171.857421875,PulseCovarianceGA,f1,3
35,18171.689453125,PulseCovarianceGA,f1,3
36,18171.580078125,PulseCovarianceGA,f1,3
37,18171.529296875,PulseCovarianceGA,f1,3
38,18171.47265625,PulseCovarianceGA,f1,3
39,18171.44921875,PulseCovarianceGA,f1,3
40,18171.412109375,PulseCovarianceGA,f1,3
41,18171.38671875,PulseCovarianceGA,f1,3
42,18171.376953125,PulseCovarianceGA,f1,3
43,18171.34375,PulseCovarianceGA,f1,3
44,18171.3125,PulseCovarianceGA,f1,3
45,18171.30078125,PulseCovarianceGA,f1,3
46,18171.283203125,PulseCovarianceGA,f1,3
47,18171.283203125,PulseCovarianceGA,f1,3
48,18171.279296875,PulseCovarianceGA,f1,3
49,18171.27734375,PulseCovarianceGA,f1,3
50,18171.2734375,PulseCovarianceGA,f1,3
51,18171.2734375,PulseCovarianceGA,f1,3
52,18171.2734375,PulseCovarianceGA,f1,3
53,18171.267578125,PulseCovarianceGA,f1,3
54,18171.267578125,PulseCovarianceGA,f1,3
55,18171.267578125,PulseCovarianceGA,f1,3
56,18171.263671875,PulseCovarianceGA,f1,3
57,18171.263671875,PulseCovarianceGA,f1,3
58,18171.263671875,PulseCovarianceGA,f1,3
59,18171.26171875,PulseCovarianceGA,f1,3
60,18171.259765625,PulseCovarianceGA,f1,3
61,18171.259765625,PulseCovarianceGA,f1,3
62,18171.259765625,PulseCovarianceGA,f1,3
63,18171.2578125,PulseCovarianceGA,f1,3
64,18171.2578125,PulseCovarianceGA,f1,3
65,18171.2578125,PulseCovarianceGA,f1,3
66,18171.255859375,PulseCovarianceGA,f1,3
67,18171.255859375,PulseCovarianceGA,f1,3
68,18171.25390625,PulseCovarianceGA,f1,3
69,18171.25390625,PulseCovarianceGA,f1,3
70,18171.251953125,PulseCovarianceGA,f1,3
71,18171.251953125,PulseCovarianceGA,f1,3
72,18171.251953125,PulseCovarianceGA,f1,3
73,18171.248046875,PulseCovarianceGA,f1,3
74,18171.248046875,PulseCovarianceGA,f1,3
75,18171.248046875,PulseCovarianceGA,f1,3
76,18171.24609375,PulseCovarianceGA,f1,3
77,18171.24609375,PulseCovarianceGA,f1,3
78,18171.24609375,PulseCovarianceGA,f1,3
79,18171.244140625,PulseCovarianceGA,f1,3
80,18171.244140625,PulseCovarianceGA,f1,3
81,18171.244140625,PulseCovarianceGA,f1,3
82,18171.2421875,PulseCovarianceGA,f1,3
83,18171.240234375,PulseCovarianceGA,f1,3
84,18171.240234375,PulseCovarianceGA,f1,3
85,18171.240234375,PulseCovarianceGA,f1,3
86,18171.240234375,PulseCovarianceGA,f1,3
87,18171.240234375,PulseCovarianceGA,f1,3
88,18171.23828125,PulseCovarianceGA,f1,3
89,18171.236328125,PulseCovarianceGA,f1,3
90,18171.236328125,PulseCovarianceGA,f1,3
91,18171.236328125,PulseCovarianceGA,f1,3
92,18171.234375,PulseCovarianceGA,f1,3
93,18171.232421875,PulseCovarianceGA,f1,3
94,18171.232421875,PulseCovarianceGA,f1,3
95,18171.232421875,PulseCovarianceGA,f1,3
96,18171.232421875,PulseCovarianceGA,f1,3
