generation,elite_fitness,algorithm,function,seed
0,5398.671875,PulseFailureRepair,f10,10
1,4750.9716796875,PulseFailureRepair,f10,10
2,4282.291015625,PulseFailureRepair,f10,10
3,3694.122802734375,PulseFailureRepair,f10,10
4,3694.122802734375,PulseFailureRepair,f10,10
5,3694.122802734375,PulseFailureRepair,f10,10
6,3694.122802734375,PulseFailureRepair,f10,10
7,3694.122802734375,PulseFailureRepair,f10,10
8,3694.122802734375,PulseFailureRepair,f10,10
9,3694.122802734375,PulseFailureRepair,f10,10
10,3694.122802734375,PulseFailureRepair,f10,10
11,3694.122802734375,PulseFailureRepair,f10,10
12,3694.122802734375,PulseFailureRepair,f10,10
13,3694.122802734375,PulseFailureRepair,f10,10
14,3694.122802734375,PulseFailureRepair,f10,10
15,3694.122802734375,PulseFailureRepair,f10,10
16,3694.122802734375,PulseFailureRepair,f10,10
17,3694.122802734375,PulseFailureRepair,f10,10
18,3694.122802734375,PulseFailureRepair,f10,10
19,3694.122802734375,PulseFailureRepair,f10,10
20,3694.122802734375,PulseFailureRepair,f10,10
21,3694.122802734375,PulseFailureRepair,f10,10
22,3694.122802734375,PulseFailureRepair,f10,10
23,3694.122802734375,PulseFailureRepair,f10,10
24,3694.122802734375,PulseFailureRepair,f10,10
25,3694.122802734375,PulseFailureRepair,f10,10
26,3694.122802734375,PulseFailureRepair,f10,10
27,3694.122802734375,PulseFailureRepair,f10,10
28,3694.122802734375,PulseFailureRepair,f10,10
29,3694.122802734375,PulseFailureRepair,f10,10
30,3694.122802734375,PulseFailureRepair,f10,10
31,3694.122802734375,PulseFailureRepair,f10,10
32,3694.122802734375,PulseFailureRepair,f10,10
33,3694.122802734375,PulseFailureRepair,f10,10
34,3694.122802734375,PulseFailureRepair,f10,10
35,3694.122802734375,PulseFailureRepair,f10,10
36,3694.122802734375,PulseFailureRepair,f10,10
37,3694.122802734375,PulseFailureRepair,f10,10
38,3607.0546875,PulseFailureRepair,f10,10
39,3607.0546875,PulseFailureRepair,f10,10
40,3607.0546875,PulseFailureRepair,f10,10
41,3607.0546875,PulseFailureRepair,f10,10
42,3426.853515625,PulseFailureRepair,f10,10
43,3426.853515625,PulseFailureRepair,f10,10
44,3426.853515625,PulseFailureRepair,f10,10
45,3426.853515625,PulseFailureRepair,f10,10
46,3426.853515625,PulseFailureRepair,f10,10
47,3426.853515625,PulseFailureRepair,f10,10
48,3426.853515625,PulseFailureRepair,f10,10
49,3426.853515625,PulseFailureRepair,f10,10
50,3426.853515625,PulseFailureRepair,f10,10
51,3426.853515625,PulseFailureRepair,f10,10
52,3426.853515625,PulseFailureRepair,f10,10
53,3426.853515625,PulseFailureRepair,f10,10
54,3426.853515625,PulseFailureRepair,f10,10
55,3185.61767578125,PulseFailureRepair,f10,10
56,3185.61767578125,PulseFailureRepair,f10,10
57,3185.61767578125,PulseFailureRepair,f10,10
58,3185.61767578125,PulseFailureRepair,f10,10
59,3185.61767578125,PulseFailureRepair,f10,10
60,3185.61767578125,PulseFailureRepair,f10,10
61,3185.61767578125,PulseFailureRepair,f10,10
62,3185.61767578125,PulseFailureRepair,f10,10
63,3185.61767578125,PulseFailureRepair,f10,10
64,3185.61767578125,PulseFailureRepair,f10,10
65,3185.61767578125,PulseFailureRepair,f10,10
66,3185.61767578125,PulseFailureRepair,f10,10
67,3185.61767578125,PulseFailureRepair,f10,10
68,3185.61767578125,PulseFailureRepair,f10,10
69,3185.61767578125,PulseFailureRepair,f10,10
70,3185.61767578125,PulseFailureRepair,f10,10
71,3185.61767578125,PulseFailureRepair,f10,10
72,3185.61767578125,PulseFailureRepair,f10,10
73,3185.61767578125,PulseFailureRepair,f10,10
74,3185.61767578125,PulseFailureRepair,f10,10
75,3185.61767578125,PulseFailureRepair,f10,10
76,3185.61767578125,PulseFailureRepair,f10,10
77,3185.61767578125,PulseFailureRepair,f10,10
78,3185.61767578125,PulseFailureRepair,f10,10
79,2765.6357421875,PulseFailureRepair,f10,10
80,2765.6357421875,PulseFailureRepair,f10,10
81,2765.6357421875,PulseFailureRepair,f10,10
82,2765.6357421875,PulseFailureRepair,f10,10
83,2765.6357421875,PulseFailureRepair,f10,10
84,2765.6357421875,PulseFailureRepair,f10,10
85,2765.6357421875,PulseFailureRepair,f10,10
86,2765.6357421875,PulseFailureRepair,f10,10
87,2765.6357421875,PulseFailureRepair,f10,10
88,2765.6357421875,PulseFailureRepair,f10,10
89,2765.6357421875,PulseFailureRepair,f10,10
90,2765.6357421875,PulseFailureRepair,f10,10
