generation,elite_fitness,algorithm,function,seed
0,2003916160.0,PulseGreedy,f6,1
1,2003916160.0,PulseGreedy,f6,1
2,2003916160.0,PulseGreedy,f6,1
3,1897042816.0,PulseGreedy,f6,1
4,1897042816.0,PulseGreedy,f6,1
5,1897042816.0,PulseGreedy,f6,1
6,1897042816.0,PulseGreedy,f6,1
7,1547674880.0,PulseGreedy,f6,1
8,1519096448.0,PulseGreedy,f6,1
9,1519096448.0,PulseGreedy,f6,1
10,1228836864.0,PulseGreedy,f6,1
11,1228836864.0,PulseGreedy,f6,1
12,893888576.0,PulseGreedy,f6,1
13,893888576.0,PulseGreedy,f6,1
14,893888576.0,PulseGreedy,f6,1
15,893888576.0,PulseGreedy,f6,1
16,459193088.0,PulseGreedy,f6,1
17,458505664.0,PulseGreedy,f6,1
18,458505664.0,PulseGreedy,f6,1
19,458505664.0,PulseGreedy,f6,1
20,458505664.0,PulseGreedy,f6,1
21,458505536.0,PulseGreedy,f6,1
22,458505536.0,PulseGreedy,f6,1
23,334713024.0,PulseGreedy,f6,1
24,155362016.0,PulseGreedy,f6,1
25,155362016.0,PulseGreedy,f6,1
26,155176672.0,PulseGreedy,f6,1
27,155176672.0,PulseGreedy,f6,1
28,155176672.0,PulseGreedy,f6,1
29,155176672.0,PulseGreedy,f6,1
30,155176672.0,PulseGreedy,f6,1
31,148759776.0,PulseGreedy,f6,1
32,148759776.0,PulseGreedy,f6,1
33,148759776.0,PulseGreedy,f6,1
34,148759776.0,PulseGreedy,f6,1
35,148759776.0,PulseGreedy,f6,1
36,148759776.0,PulseGreedy,f6,1
37,148759776.0,PulseGreedy,f6,1
38,130048896.0,PulseGreedy,f6,1
39,130048896.0,PulseGreedy,f6,1
40,130048896.0,PulseGreedy,f6,1
41,130048896.0,PulseGreedy,f6,1
42,121259792.0,PulseGreedy,f6,1
43,121259792.0,PulseGreedy,f6,1
44,121259792.0,PulseGreedy,f6,1
45,107597832.0,PulseGreedy,f6,1
46,81201360.0,PulseGreedy,f6,1
47,80995928.0,PulseGreedy,f6,1
48,80995928.0,PulseGreedy,f6,1
49,80995928.0,PulseGreedy,f6,1
50,80995928.0,PulseGreedy,f6,1
51,65975532.0,PulseGreedy,f6,1
52,65975532.0,PulseGreedy,f6,1
53,57912824.0,PulseGreedy,f6,1
54,57912824.0,PulseGreedy,f6,1
55,57864428.0,PulseGreedy,f6,1
56,57864428.0,PulseGreedy,f6,1
57,48419576.0,PulseGreedy,f6,1
58,48419576.0,PulseGreedy,f6,1
59,35219848.0,PulseGreedy,f6,1
60,32071076.0,PulseGreedy,f6,1
61,23015448.0,PulseGreedy,f6,1
62,21715228.0,PulseGreedy,f6,1
63,21715228.0,PulseGreedy,f6,1
64,21715228.0,PulseGreedy,f6,1
65,7586988.5,PulseGreedy,f6,1
66,5972941.0,PulseGreedy,f6,1
67,5972941.0,PulseGreedy,f6,1
68,5972941.0,PulseGreedy,f6,1
69,5972941.0,PulseGreedy,f6,1
70,2782923.75,PulseGreedy,f6,1
71,2782923.75,PulseGreedy,f6,1
72,2782923.75,PulseGreedy,f6,1
73,2782923.75,PulseGreedy,f6,1
74,2782923.75,PulseGreedy,f6,1
75,2566629.75,PulseGreedy,f6,1
76,2558820.75,PulseGreedy,f6,1
77,2558820.75,PulseGreedy,f6,1
78,2224975.0,PulseGreedy,f6,1
79,2224975.0,PulseGreedy,f6,1
80,2224975.0,PulseGreedy,f6,1
81,2224975.0,PulseGreedy,f6,1
82,2224975.0,PulseGreedy,f6,1
83,2104064.25,PulseGreedy,f6,1
84,2104064.25,PulseGreedy,f6,1
85,2104064.25,PulseGreedy,f6,1
86,2104064.25,PulseGreedy,f6,1
87,2104064.25,PulseGreedy,f6,1
88,2104064.25,PulseGreedy,f6,1
89,2075364.375,PulseGreedy,f6,1
90,800734.0,PulseGreedy,f6,1
91,800734.0,PulseGreedy,f6,1
92,800734.0,PulseGreedy,f6,1
93,800734.0,PulseGreedy,f6,1
94,800734.0,PulseGreedy,f6,1
95,800734.0,PulseGreedy,f6,1
96,800079.8125,PulseGreedy,f6,1
97,596693.875,PulseGreedy,f6,1
98,596693.875,PulseGreedy,f6,1
99,596693.875,PulseGreedy,f6,1
100,596693.875,PulseGreedy,f6,1
101,596693.875,PulseGreedy,f6,1
102,436855.09375,PulseGreedy,f6,1
103,292323.6875,PulseGreedy,f6,1
104,292323.6875,PulseGreedy,f6,1
105,292323.6875,PulseGreedy,f6,1
106,292323.6875,PulseGreedy,f6,1
107,292323.6875,PulseGreedy,f6,1
108,292323.6875,PulseGreedy,f6,1
109,292323.6875,PulseGreedy,f6,1
110,261873.8125,PulseGreedy,f6,1
111,261873.8125,PulseGreedy,f6,1
112,135751.0,PulseGreedy,f6,1
113,135751.0,PulseGreedy,f6,1
114,135751.0,PulseGreedy,f6,1
115,135751.0,PulseGreedy,f6,1
116,123371.359375,PulseGreedy,f6,1
117,123371.359375,PulseGreedy,f6,1
118,95325.7421875,PulseGreedy,f6,1
119,76051.1640625,PulseGreedy,f6,1
120,76051.1640625,PulseGreedy,f6,1
121,76051.1640625,PulseGreedy,f6,1
122,38898.25,PulseGreedy,f6,1
123,38898.25,PulseGreedy,f6,1
124,38898.25,PulseGreedy,f6,1
125,38898.25,PulseGreedy,f6,1
