generation,elite_fitness,algorithm,function,seed
0,2404.955078125,PulseProgressGA,f7,8
1,2394.9501953125,PulseProgressGA,f7,8
2,2267.25146484375,PulseProgressGA,f7,8
3,2267.25146484375,PulseProgressGA,f7,8
4,2139.764892578125,PulseProgressGA,f7,8
5,2139.764892578125,PulseProgressGA,f7,8
6,2139.764892578125,PulseProgressGA,f7,8
7,2139.764892578125,PulseProgressGA,f7,8
8,2130.3779296875,PulseProgressGA,f7,8
9,2130.3779296875,PulseProgressGA,f7,8
10,2130.3779296875,PulseProgressGA,f7,8
11,2124.14697265625,PulseProgressGA,f7,8
12,2117.669189453125,PulseProgressGA,f7,8
13,2117.669189453125,PulseProgressGA,f7,8
14,2117.669189453125,PulseProgressGA,f7,8
15,2111.622802734375,PulseProgressGA,f7,8
16,2100.59375,PulseProgressGA,f7,8
17,2099.600830078125,PulseProgressGA,f7,8
18,2099.600830078125,PulseProgressGA,f7,8
19,2099.600830078125,PulseProgressGA,f7,8
20,2099.08251953125,PulseProgressGA,f7,8
21,2098.83349609375,PulseProgressGA,f7,8
22,2097.873046875,PulseProgressGA,f7,8
23,2097.8232421875,PulseProgressGA,f7,8
24,2095.91357421875,PulseProgressGA,f7,8
25,2095.91357421875,PulseProgressGA,f7,8
26,2095.6376953125,PulseProgressGA,f7,8
27,2095.54248046875,PulseProgressGA,f7,8
28,2095.35400390625,PulseProgressGA,f7,8
29,2095.279296875,PulseProgressGA,f7,8
30,2093.5234375,PulseProgressGA,f7,8
31,2093.5234375,PulseProgressGA,f7,8
32,2093.5234375,PulseProgressGA,f7,8
33,2093.5234375,PulseProgressGA,f7,8
34,2093.5234375,PulseProgressGA,f7,8
35,2092.67236328125,PulseProgressGA,f7,8
36,2092.579833984375,PulseProgressGA,f7,8
37,2092.579833984375,PulseProgressGA,f7,8
38,2091.890625,PulseProgressGA,f7,8
39,2091.8291015625,PulseProgressGA,f7,8
40,2091.661865234375,PulseProgressGA,f7,8
41,2091.549072265625,PulseProgressGA,f7,8
42,2091.549072265625,PulseProgressGA,f7,8
43,2091.444091796875,PulseProgressGA,f7,8
44,2091.4033203125,PulseProgressGA,f7,8
45,2091.295166015625,PulseProgressGA,f7,8
46,2091.040771484375,PulseProgressGA,f7,8
47,2090.92138671875,PulseProgressGA,f7,8
48,2090.503662109375,PulseProgressGA,f7,8
49,2090.5009765625,PulseProgressGA,f7,8
50,2090.3095703125,PulseProgressGA,f7,8
51,2090.3095703125,PulseProgressGA,f7,8
52,2090.029541015625,PulseProgressGA,f7,8
53,2090.029541015625,PulseProgressGA,f7,8
54,2090.029541015625,PulseProgressGA,f7,8
55,2090.029541015625,PulseProgressGA,f7,8
56,2089.99609375,PulseProgressGA,f7,8
57,2089.76416015625,PulseProgressGA,f7,8
58,2089.502197265625,PulseProgressGA,f7,8
59,2089.453857421875,PulseProgressGA,f7,8
60,2089.444091796875,PulseProgressGA,f7,8
61,2089.429443359375,PulseProgressGA,f7,8
62,2089.402587890625,PulseProgressGA,f7,8
63,2089.402587890625,PulseProgressGA,f7,8
64,2089.3984375,PulseProgressGA,f7,8
65,2089.3212890625,PulseProgressGA,f7,8
66,2089.280517578125,PulseProgressGA,f7,8
67,2089.27392578125,PulseProgressGA,f7,8
68,2089.256591796875,PulseProgressGA,f7,8
69,2089.210205078125,PulseProgressGA,f7,8
70,2089.10791015625,PulseProgressGA,f7,8
71,2089.0556640625,PulseProgressGA,f7,8
72,2088.971435546875,PulseProgressGA,f7,8
73,2088.772216796875,PulseProgressGA,f7,8
74,2088.7470703125,PulseProgressGA,f7,8
75,2088.732421875,PulseProgressGA,f7,8
76,2088.5439453125,PulseProgressGA,f7,8
77,2088.52294921875,PulseProgressGA,f7,8
78,2088.462890625,PulseProgressGA,f7,8
79,2088.4287109375,PulseProgressGA,f7,8
80,2088.4052734375,PulseProgressGA,f7,8
81,2088.400390625,PulseProgressGA,f7,8
82,2088.188720703125,PulseProgressGA,f7,8
83,2088.188720703125,PulseProgressGA,f7,8
84,2088.188720703125,PulseProgressGA,f7,8
85,2088.188720703125,PulseProgressGA,f7,8
86,2088.188720703125,PulseProgressGA,f7,8
87,2088.178466796875,PulseProgressGA,f7,8
88,2088.178466796875,PulseProgressGA,f7,8
89,2088.178466796875,PulseProgressGA,f7,8
90,2088.17724609375,PulseProgressGA,f7,8
91,2088.05126953125,PulseProgressGA,f7,8
92,2087.996826171875,PulseProgressGA,f7,8
93,2087.962646484375,PulseProgressGA,f7,8
94,2087.962646484375,PulseProgressGA,f7,8
95,2087.962646484375,PulseProgressGA,f7,8
96,2087.943603515625,PulseProgressGA,f7,8
97,2087.943603515625,PulseProgressGA,f7,8
98,2087.931396484375,PulseProgressGA,f7,8
99,2087.92529296875,PulseProgressGA,f7,8
100,2087.92529296875,PulseProgressGA,f7,8
101,2087.891845703125,PulseProgressGA,f7,8
102,2087.88916015625,PulseProgressGA,f7,8
103,2087.88525390625,PulseProgressGA,f7,8
104,2087.8828125,PulseProgressGA,f7,8
105,2087.882080078125,PulseProgressGA,f7,8
106,2087.876220703125,PulseProgressGA,f7,8
107,2087.8759765625,PulseProgressGA,f7,8
108,2087.875244140625,PulseProgressGA,f7,8
109,2087.875,PulseProgressGA,f7,8
110,2087.873779296875,PulseProgressGA,f7,8
111,2087.873779296875,PulseProgressGA,f7,8
112,2087.873779296875,PulseProgressGA,f7,8
113,2087.87353515625,PulseProgressGA,f7,8
114,2087.87353515625,PulseProgressGA,f7,8
115,2087.873046875,PulseProgressGA,f7,8
116,2087.873046875,PulseProgressGA,f7,8
117,2087.873046875,PulseProgressGA,f7,8
118,2087.873046875,PulseProgressGA,f7,8
119,2087.873046875,PulseProgressGA,f7,8
120,2087.870361328125,PulseProgressGA,f7,8
121,2087.854736328125,PulseProgressGA,f7,8
122,2087.8544921875,PulseProgressGA,f7,8
123,2087.8544921875,PulseProgressGA,f7,8
124,2087.8515625,PulseProgressGA,f7,8
125,2087.85009765625,PulseProgressGA,f7,8
126,2087.84521484375,PulseProgressGA,f7,8
127,2087.84423828125,PulseProgressGA,f7,8
128,2087.84423828125,PulseProgressGA,f7,8
129,2087.84375,PulseProgressGA,f7,8
130,2087.8427734375,PulseProgressGA,f7,8
131,2087.8427734375,PulseProgressGA,f7,8
132,2087.8427734375,PulseProgressGA,f7,8
133,2087.8427734375,PulseProgressGA,f7,8
134,2087.8427734375,PulseProgressGA,f7,8
135,2087.8427734375,PulseProgressGA,f7,8
136,2087.842529296875,PulseProgressGA,f7,8
137,2087.83056640625,PulseProgressGA,f7,8
138,2087.83056640625,PulseProgressGA,f7,8
139,2087.83056640625,PulseProgressGA,f7,8
140,2087.83056640625,PulseProgressGA,f7,8
141,2087.83056640625,PulseProgressGA,f7,8
142,2087.82421875,PulseProgressGA,f7,8
143,2087.823974609375,PulseProgressGA,f7,8
144,2087.81982421875,PulseProgressGA,f7,8
145,2087.819580078125,PulseProgressGA,f7,8
146,2087.81787109375,PulseProgressGA,f7,8
147,2087.81787109375,PulseProgressGA,f7,8
148,2087.817626953125,PulseProgressGA,f7,8
149,2087.810791015625,PulseProgressGA,f7,8
150,2087.81005859375,PulseProgressGA,f7,8
151,2087.80419921875,PulseProgressGA,f7,8
152,2087.80419921875,PulseProgressGA,f7,8
153,2087.80078125,PulseProgressGA,f7,8
154,2087.790771484375,PulseProgressGA,f7,8
155,2087.790771484375,PulseProgressGA,f7,8
156,2087.7900390625,PulseProgressGA,f7,8
157,2087.777099609375,PulseProgressGA,f7,8
158,2087.777099609375,PulseProgressGA,f7,8
159,2087.777099609375,PulseProgressGA,f7,8
160,2087.777099609375,PulseProgressGA,f7,8
161,2087.777099609375,PulseProgressGA,f7,8
162,2087.777099609375,PulseProgressGA,f7,8
163,2087.7763671875,PulseProgressGA,f7,8
164,2087.7763671875,PulseProgressGA,f7,8
165,2087.77294921875,PulseProgressGA,f7,8
166,2087.7666015625,PulseProgressGA,f7,8
167,2087.766357421875,PulseProgressGA,f7,8
168,2087.766357421875,PulseProgressGA,f7,8
169,2087.766357421875,PulseProgressGA,f7,8
170,2087.76611328125,PulseProgressGA,f7,8
171,2087.76611328125,PulseProgressGA,f7,8
172,2087.763671875,PulseProgressGA,f7,8
173,2087.763427734375,PulseProgressGA,f7,8
174,2087.7626953125,PulseProgressGA,f7,8
175,2087.7626953125,PulseProgressGA,f7,8
176,2087.761962890625,PulseProgressGA,f7,8
177,2087.760986328125,PulseProgressGA,f7,8
178,2087.760986328125,PulseProgressGA,f7,8
179,2087.7587890625,PulseProgressGA,f7,8
180,2087.75830078125,PulseProgressGA,f7,8
181,2087.758056640625,PulseProgressGA,f7,8
182,2087.758056640625,PulseProgressGA,f7,8
183,2087.758056640625,PulseProgressGA,f7,8
184,2087.7578125,PulseProgressGA,f7,8
185,2087.7578125,PulseProgressGA,f7,8
186,2087.7578125,PulseProgressGA,f7,8
187,2087.7578125,PulseProgressGA,f7,8
188,2087.7578125,PulseProgressGA,f7,8
189,2087.7578125,PulseProgressGA,f7,8
190,2087.75732421875,PulseProgressGA,f7,8
191,2087.75732421875,PulseProgressGA,f7,8
192,2087.75732421875,PulseProgressGA,f7,8
193,2087.75732421875,PulseProgressGA,f7,8
194,2087.75732421875,PulseProgressGA,f7,8
195,2087.75732421875,PulseProgressGA,f7,8
196,2087.75732421875,PulseProgressGA,f7,8
197,2087.75732421875,PulseProgressGA,f7,8
198,2087.75732421875,PulseProgressGA,f7,8
199,2087.757080078125,PulseProgressGA,f7,8
200,2087.756103515625,PulseProgressGA,f7,8
201,2087.756103515625,PulseProgressGA,f7,8
202,2087.755859375,PulseProgressGA,f7,8
203,2087.75537109375,PulseProgressGA,f7,8
204,2087.75537109375,PulseProgressGA,f7,8
205,2087.75537109375,PulseProgressGA,f7,8
206,2087.755126953125,PulseProgressGA,f7,8
207,2087.7548828125,PulseProgressGA,f7,8
208,2087.7548828125,PulseProgressGA,f7,8
209,2087.753662109375,PulseProgressGA,f7,8
