generation,elite_fitness,algorithm,function,seed
0,3572.31494140625,Pulse,f9,23
1,3388.680419921875,Pulse,f9,23
2,3384.16845703125,Pulse,f9,23
3,3376.060546875,Pulse,f9,23
4,3363.68408203125,Pulse,f9,23
5,3359.57568359375,Pulse,f9,23
6,3346.520263671875,Pulse,f9,23
7,3333.74658203125,Pulse,f9,23
8,3325.380859375,Pulse,f9,23
9,3315.9248046875,Pulse,f9,23
10,3303.01611328125,Pulse,f9,23
11,3289.600341796875,Pulse,f9,23
12,3289.600341796875,Pulse,f9,23
13,3277.296630859375,Pulse,f9,23
14,3270.2255859375,Pulse,f9,23
15,3255.48974609375,Pulse,f9,23
16,3241.428466796875,Pulse,f9,23
17,3236.45361328125,Pulse,f9,23
18,3225.73486328125,Pulse,f9,23
19,3210.7783203125,Pulse,f9,23
20,3202.2607421875,Pulse,f9,23
21,3182.629638671875,Pulse,f9,23
22,3168.395263671875,Pulse,f9,23
23,3151.97705078125,Pulse,f9,23
24,3151.97705078125,Pulse,f9,23
25,3141.2021484375,Pulse,f9,23
26,3129.681640625,Pulse,f9,23
27,3120.2705078125,Pulse,f9,23
28,3107.901123046875,Pulse,f9,23
29,3099.55615234375,Pulse,f9,23
30,3090.01416015625,Pulse,f9,23
31,3077.32177734375,Pulse,f9,23
32,3065.4990234375,Pulse,f9,23
33,3060.56591796875,Pulse,f9,23
34,3042.8271484375,Pulse,f9,23
35,3032.859619140625,Pulse,f9,23
36,3026.521728515625,Pulse,f9,23
37,3020.6513671875,Pulse,f9,23
38,3011.497802734375,Pulse,f9,23
39,2995.181884765625,Pulse,f9,23
40,2994.1640625,Pulse,f9,23
41,2986.124267578125,Pulse,f9,23
42,2974.079833984375,Pulse,f9,23
43,2968.9912109375,Pulse,f9,23
44,2964.52001953125,Pulse,f9,23
45,2959.009521484375,Pulse,f9,23
46,2950.516357421875,Pulse,f9,23
47,2945.748291015625,Pulse,f9,23
48,2940.429443359375,Pulse,f9,23
49,2932.06201171875,Pulse,f9,23
50,2927.143798828125,Pulse,f9,23
51,2922.6044921875,Pulse,f9,23
52,2915.369140625,Pulse,f9,23
53,2912.13134765625,Pulse,f9,23
54,2856.45361328125,Pulse,f9,23
55,2856.45361328125,Pulse,f9,23
56,2854.13916015625,Pulse,f9,23
57,2846.12646484375,Pulse,f9,23
58,2844.669677734375,Pulse,f9,23
59,2839.764892578125,Pulse,f9,23
60,2836.40869140625,Pulse,f9,23
61,2831.213134765625,Pulse,f9,23
62,2830.003173828125,Pulse,f9,23
63,2825.06689453125,Pulse,f9,23
64,2821.353515625,Pulse,f9,23
65,2816.716552734375,Pulse,f9,23
66,2812.37890625,Pulse,f9,23
67,2806.90478515625,Pulse,f9,23
68,2799.12890625,Pulse,f9,23
69,2793.6123046875,Pulse,f9,23
70,2787.729248046875,Pulse,f9,23
71,2775.430908203125,Pulse,f9,23
72,2774.04248046875,Pulse,f9,23
73,2771.35205078125,Pulse,f9,23
74,2768.701904296875,Pulse,f9,23
75,2763.8154296875,Pulse,f9,23
76,2748.65771484375,Pulse,f9,23
77,2738.8837890625,Pulse,f9,23
78,2732.572021484375,Pulse,f9,23
79,2731.12060546875,Pulse,f9,23
80,2727.728759765625,Pulse,f9,23
81,2722.218505859375,Pulse,f9,23
82,2712.37890625,Pulse,f9,23
83,2710.728515625,Pulse,f9,23
84,2706.009765625,Pulse,f9,23
85,2702.3134765625,Pulse,f9,23
86,2698.322265625,Pulse,f9,23
87,2695.858642578125,Pulse,f9,23
88,2693.253662109375,Pulse,f9,23
89,2688.457763671875,Pulse,f9,23
90,2685.435546875,Pulse,f9,23
91,2684.08056640625,Pulse,f9,23
92,2682.708984375,Pulse,f9,23
93,2677.622802734375,Pulse,f9,23
94,2675.557373046875,Pulse,f9,23
95,2671.864990234375,Pulse,f9,23
96,2668.115478515625,Pulse,f9,23
97,2663.810302734375,Pulse,f9,23
98,2663.16455078125,Pulse,f9,23
99,2658.65625,Pulse,f9,23
100,2655.15380859375,Pulse,f9,23
101,2652.8623046875,Pulse,f9,23
102,2651.8037109375,Pulse,f9,23
103,2647.942138671875,Pulse,f9,23
104,2645.302490234375,Pulse,f9,23
105,2643.113525390625,Pulse,f9,23
106,2639.7255859375,Pulse,f9,23
107,2638.251220703125,Pulse,f9,23
108,2634.67333984375,Pulse,f9,23
109,2633.927734375,Pulse,f9,23
110,2632.21875,Pulse,f9,23
111,2630.667724609375,Pulse,f9,23
112,2627.57275390625,Pulse,f9,23
113,2625.235595703125,Pulse,f9,23
114,2620.156982421875,Pulse,f9,23
115,2619.564208984375,Pulse,f9,23
116,2617.108154296875,Pulse,f9,23
117,2615.5078125,Pulse,f9,23
118,2613.4140625,Pulse,f9,23
119,2612.311279296875,Pulse,f9,23
120,2608.550048828125,Pulse,f9,23
121,2607.73095703125,Pulse,f9,23
122,2604.403564453125,Pulse,f9,23
123,2602.31689453125,Pulse,f9,23
124,2599.06005859375,Pulse,f9,23
125,2597.993896484375,Pulse,f9,23
126,2595.34130859375,Pulse,f9,23
127,2592.9521484375,Pulse,f9,23
128,2592.9521484375,Pulse,f9,23
129,2591.121826171875,Pulse,f9,23
130,2587.936767578125,Pulse,f9,23
131,2586.42724609375,Pulse,f9,23
132,2584.533935546875,Pulse,f9,23
133,2584.37841796875,Pulse,f9,23
134,2582.58251953125,Pulse,f9,23
135,2580.51220703125,Pulse,f9,23
136,2578.490234375,Pulse,f9,23
137,2578.46337890625,Pulse,f9,23
138,2576.040283203125,Pulse,f9,23
139,2573.203857421875,Pulse,f9,23
140,2571.65771484375,Pulse,f9,23
141,2570.013427734375,Pulse,f9,23
142,2570.013427734375,Pulse,f9,23
143,2569.84375,Pulse,f9,23
144,2568.997314453125,Pulse,f9,23
145,2567.5546875,Pulse,f9,23
146,2566.78125,Pulse,f9,23
147,2565.2705078125,Pulse,f9,23
148,2562.795654296875,Pulse,f9,23
149,2560.393798828125,Pulse,f9,23
150,2560.393798828125,Pulse,f9,23
151,2560.00390625,Pulse,f9,23
152,2559.42431640625,Pulse,f9,23
153,2558.8154296875,Pulse,f9,23
154,2557.473388671875,Pulse,f9,23
155,2556.413330078125,Pulse,f9,23
156,2555.2958984375,Pulse,f9,23
157,2554.174072265625,Pulse,f9,23
158,2552.4580078125,Pulse,f9,23
159,2551.830322265625,Pulse,f9,23
160,2549.76953125,Pulse,f9,23
161,2549.309326171875,Pulse,f9,23
162,2549.309326171875,Pulse,f9,23
163,2547.682373046875,Pulse,f9,23
164,2546.406005859375,Pulse,f9,23
165,2546.406005859375,Pulse,f9,23
166,2545.478759765625,Pulse,f9,23
167,2544.760009765625,Pulse,f9,23
168,2543.588623046875,Pulse,f9,23
169,2541.939208984375,Pulse,f9,23
170,2540.915283203125,Pulse,f9,23
171,2540.567138671875,Pulse,f9,23
172,2539.440673828125,Pulse,f9,23
173,2538.5400390625,Pulse,f9,23
174,2538.5400390625,Pulse,f9,23
175,2537.83642578125,Pulse,f9,23
176,2537.08447265625,Pulse,f9,23
177,2536.668212890625,Pulse,f9,23
178,2536.6201171875,Pulse,f9,23
179,2535.7470703125,Pulse,f9,23
180,2534.5615234375,Pulse,f9,23
181,2534.16796875,Pulse,f9,23
182,2533.85107421875,Pulse,f9,23
183,2532.954833984375,Pulse,f9,23
184,2532.3642578125,Pulse,f9,23
185,2531.37548828125,Pulse,f9,23
186,2530.38037109375,Pulse,f9,23
