generation,elite_fitness,algorithm,function,seed
0,1076.132080078125,Pulse_real,f4,29
1,1012.08642578125,Pulse_real,f4,29
2,1012.08642578125,Pulse_real,f4,29
3,1012.08642578125,Pulse_real,f4,29
4,1012.08642578125,Pulse_real,f4,29
5,1012.08642578125,Pulse_real,f4,29
6,1012.08642578125,Pulse_real,f4,29
7,1012.08642578125,Pulse_real,f4,29
8,1012.08642578125,Pulse_real,f4,29
9,1012.08642578125,Pulse_real,f4,29
10,1012.08642578125,Pulse_real,f4,29
11,1012.08642578125,Pulse_real,f4,29
12,1012.08642578125,Pulse_real,f4,29
13,1012.08642578125,Pulse_real,f4,29
14,1005.6734008789062,Pulse_real,f4,29
15,1002.040771484375,Pulse_real,f4,29
16,1002.040771484375,Pulse_real,f4,29
17,979.960693359375,Pulse_real,f4,29
18,979.960693359375,Pulse_real,f4,29
19,979.960693359375,Pulse_real,f4,29
20,979.960693359375,Pulse_real,f4,29
21,979.960693359375,Pulse_real,f4,29
22,979.960693359375,Pulse_real,f4,29
23,979.960693359375,Pulse_real,f4,29
24,979.960693359375,Pulse_real,f4,29
25,979.960693359375,Pulse_real,f4,29
26,979.960693359375,Pulse_real,f4,29
27,979.960693359375,Pulse_real,f4,29
28,979.6716918945312,Pulse_real,f4,29
29,979.6716918945312,Pulse_real,f4,29
30,979.6716918945312,Pulse_real,f4,29
31,979.6716918945312,Pulse_real,f4,29
32,979.6716918945312,Pulse_real,f4,29
33,979.6716918945312,Pulse_real,f4,29
34,979.6716918945312,Pulse_real,f4,29
35,979.6716918945312,Pulse_real,f4,29
36,979.6716918945312,Pulse_real,f4,29
37,979.6716918945312,Pulse_real,f4,29
38,979.6716918945312,Pulse_real,f4,29
39,979.6716918945312,Pulse_real,f4,29
40,979.6716918945312,Pulse_real,f4,29
41,979.6716918945312,Pulse_real,f4,29
42,979.6716918945312,Pulse_real,f4,29
43,979.6716918945312,Pulse_real,f4,29
44,979.6716918945312,Pulse_real,f4,29
45,979.6716918945312,Pulse_real,f4,29
46,979.6716918945312,Pulse_real,f4,29
47,979.6716918945312,Pulse_real,f4,29
48,979.6716918945312,Pulse_real,f4,29
49,979.6716918945312,Pulse_real,f4,29
50,979.6716918945312,Pulse_real,f4,29
51,979.6716918945312,Pulse_real,f4,29
52,979.6716918945312,Pulse_real,f4,29
53,979.6716918945312,Pulse_real,f4,29
54,979.6716918945312,Pulse_real,f4,29
55,979.6716918945312,Pulse_real,f4,29
56,979.6716918945312,Pulse_real,f4,29
57,979.6716918945312,Pulse_real,f4,29
58,979.6716918945312,Pulse_real,f4,29
59,979.6716918945312,Pulse_real,f4,29
60,979.6716918945312,Pulse_real,f4,29
61,979.6716918945312,Pulse_real,f4,29
62,979.6716918945312,Pulse_real,f4,29
63,979.6716918945312,Pulse_real,f4,29
64,979.6716918945312,Pulse_real,f4,29
65,979.6716918945312,Pulse_real,f4,29
66,979.6716918945312,Pulse_real,f4,29
67,979.6716918945312,Pulse_real,f4,29
68,979.6716918945312,Pulse_real,f4,29
69,979.6716918945312,Pulse_real,f4,29
70,979.6716918945312,Pulse_real,f4,29
71,979.6716918945312,Pulse_real,f4,29
72,979.6716918945312,Pulse_real,f4,29
73,979.6716918945312,Pulse_real,f4,29
74,979.6716918945312,Pulse_real,f4,29
75,979.6716918945312,Pulse_real,f4,29
76,979.6716918945312,Pulse_real,f4,29
77,979.6716918945312,Pulse_real,f4,29
78,979.6716918945312,Pulse_real,f4,29
79,979.6716918945312,Pulse_real,f4,29
80,979.6716918945312,Pulse_real,f4,29
81,979.6716918945312,Pulse_real,f4,29
82,979.6716918945312,Pulse_real,f4,29
83,979.6716918945312,Pulse_real,f4,29
84,979.6716918945312,Pulse_real,f4,29
85,979.6716918945312,Pulse_real,f4,29
86,979.6716918945312,Pulse_real,f4,29
87,979.6716918945312,Pulse_real,f4,29
88,979.6716918945312,Pulse_real,f4,29
89,979.6716918945312,Pulse_real,f4,29
90,979.6716918945312,Pulse_real,f4,29
91,979.6716918945312,Pulse_real,f4,29
92,979.6716918945312,Pulse_real,f4,29
93,979.6716918945312,Pulse_real,f4,29
94,979.6716918945312,Pulse_real,f4,29
95,979.6716918945312,Pulse_real,f4,29
96,979.6716918945312,Pulse_real,f4,29
97,979.6716918945312,Pulse_real,f4,29
98,979.6716918945312,Pulse_real,f4,29
99,979.6716918945312,Pulse_real,f4,29
100,979.6716918945312,Pulse_real,f4,29
101,979.6716918945312,Pulse_real,f4,29
102,979.6716918945312,Pulse_real,f4,29
103,979.6716918945312,Pulse_real,f4,29
104,979.6716918945312,Pulse_real,f4,29
105,979.6716918945312,Pulse_real,f4,29
106,979.6716918945312,Pulse_real,f4,29
107,979.6716918945312,Pulse_real,f4,29
108,979.6716918945312,Pulse_real,f4,29
109,979.6716918945312,Pulse_real,f4,29
110,979.6716918945312,Pulse_real,f4,29
111,979.6716918945312,Pulse_real,f4,29
112,979.6716918945312,Pulse_real,f4,29
113,979.6716918945312,Pulse_real,f4,29
114,979.6716918945312,Pulse_real,f4,29
115,979.6716918945312,Pulse_real,f4,29
116,979.6716918945312,Pulse_real,f4,29
117,979.6716918945312,Pulse_real,f4,29
118,979.6716918945312,Pulse_real,f4,29
119,979.6716918945312,Pulse_real,f4,29
120,979.6716918945312,Pulse_real,f4,29
121,979.6716918945312,Pulse_real,f4,29
122,979.6716918945312,Pulse_real,f4,29
123,979.6716918945312,Pulse_real,f4,29
124,979.6716918945312,Pulse_real,f4,29
125,979.6716918945312,Pulse_real,f4,29
126,979.6716918945312,Pulse_real,f4,29
127,979.6716918945312,Pulse_real,f4,29
128,979.6716918945312,Pulse_real,f4,29
129,979.6716918945312,Pulse_real,f4,29
