generation,elite_fitness,algorithm,function,seed
0,3638.43115234375,Pulse_real_glued,f9,21
1,3291.18701171875,Pulse_real_glued,f9,21
2,3291.18701171875,Pulse_real_glued,f9,21
3,3291.18701171875,Pulse_real_glued,f9,21
4,3094.97802734375,Pulse_real_glued,f9,21
5,3094.97802734375,Pulse_real_glued,f9,21
6,2934.2412109375,Pulse_real_glued,f9,21
7,2934.2412109375,Pulse_real_glued,f9,21
8,2934.2412109375,Pulse_real_glued,f9,21
9,2934.2412109375,Pulse_real_glued,f9,21
10,2934.2412109375,Pulse_real_glued,f9,21
11,2934.2412109375,Pulse_real_glued,f9,21
12,2934.2412109375,Pulse_real_glued,f9,21
13,2934.2412109375,Pulse_real_glued,f9,21
14,2934.2412109375,Pulse_real_glued,f9,21
15,2934.2412109375,Pulse_real_glued,f9,21
16,2934.2412109375,Pulse_real_glued,f9,21
17,2934.2412109375,Pulse_real_glued,f9,21
18,2934.2412109375,Pulse_real_glued,f9,21
19,2934.2412109375,Pulse_real_glued,f9,21
20,2934.2412109375,Pulse_real_glued,f9,21
21,2934.2412109375,Pulse_real_glued,f9,21
22,2934.2412109375,Pulse_real_glued,f9,21
23,2934.2412109375,Pulse_real_glued,f9,21
24,2934.2412109375,Pulse_real_glued,f9,21
25,2934.2412109375,Pulse_real_glued,f9,21
26,2934.2412109375,Pulse_real_glued,f9,21
27,2934.2412109375,Pulse_real_glued,f9,21
28,2934.2412109375,Pulse_real_glued,f9,21
29,2934.2412109375,Pulse_real_glued,f9,21
30,2934.2412109375,Pulse_real_glued,f9,21
31,2934.2412109375,Pulse_real_glued,f9,21
32,2934.2412109375,Pulse_real_glued,f9,21
33,2934.2412109375,Pulse_real_glued,f9,21
34,2934.2412109375,Pulse_real_glued,f9,21
35,2934.2412109375,Pulse_real_glued,f9,21
36,2934.2412109375,Pulse_real_glued,f9,21
37,2934.2412109375,Pulse_real_glued,f9,21
38,2934.2412109375,Pulse_real_glued,f9,21
39,2934.2412109375,Pulse_real_glued,f9,21
40,2934.2412109375,Pulse_real_glued,f9,21
41,2934.2412109375,Pulse_real_glued,f9,21
42,2934.2412109375,Pulse_real_glued,f9,21
43,2934.2412109375,Pulse_real_glued,f9,21
44,2934.2412109375,Pulse_real_glued,f9,21
45,2934.2412109375,Pulse_real_glued,f9,21
46,2931.616943359375,Pulse_real_glued,f9,21
47,2931.616943359375,Pulse_real_glued,f9,21
48,2931.616943359375,Pulse_real_glued,f9,21
49,2931.616943359375,Pulse_real_glued,f9,21
50,2931.616943359375,Pulse_real_glued,f9,21
51,2931.616943359375,Pulse_real_glued,f9,21
52,2931.616943359375,Pulse_real_glued,f9,21
53,2931.616943359375,Pulse_real_glued,f9,21
54,2931.616943359375,Pulse_real_glued,f9,21
55,2931.616943359375,Pulse_real_glued,f9,21
56,2931.616943359375,Pulse_real_glued,f9,21
57,2931.616943359375,Pulse_real_glued,f9,21
58,2931.616943359375,Pulse_real_glued,f9,21
59,2931.616943359375,Pulse_real_glued,f9,21
60,2931.616943359375,Pulse_real_glued,f9,21
61,2931.616943359375,Pulse_real_glued,f9,21
62,2931.616943359375,Pulse_real_glued,f9,21
63,2931.616943359375,Pulse_real_glued,f9,21
64,2931.616943359375,Pulse_real_glued,f9,21
65,2931.616943359375,Pulse_real_glued,f9,21
66,2931.616943359375,Pulse_real_glued,f9,21
67,2931.616943359375,Pulse_real_glued,f9,21
68,2931.616943359375,Pulse_real_glued,f9,21
69,2931.616943359375,Pulse_real_glued,f9,21
70,2931.616943359375,Pulse_real_glued,f9,21
71,2931.616943359375,Pulse_real_glued,f9,21
72,2931.616943359375,Pulse_real_glued,f9,21
73,2931.616943359375,Pulse_real_glued,f9,21
74,2931.616943359375,Pulse_real_glued,f9,21
75,2931.616943359375,Pulse_real_glued,f9,21
76,2931.616943359375,Pulse_real_glued,f9,21
77,2931.616943359375,Pulse_real_glued,f9,21
78,2931.616943359375,Pulse_real_glued,f9,21
79,2919.19873046875,Pulse_real_glued,f9,21
80,2919.19873046875,Pulse_real_glued,f9,21
81,2919.19873046875,Pulse_real_glued,f9,21
82,2919.19873046875,Pulse_real_glued,f9,21
83,2919.19873046875,Pulse_real_glued,f9,21
84,2919.19873046875,Pulse_real_glued,f9,21
85,2919.19873046875,Pulse_real_glued,f9,21
86,2919.19873046875,Pulse_real_glued,f9,21
87,2919.19873046875,Pulse_real_glued,f9,21
88,2919.19873046875,Pulse_real_glued,f9,21
89,2919.19873046875,Pulse_real_glued,f9,21
90,2919.19873046875,Pulse_real_glued,f9,21
91,2919.19873046875,Pulse_real_glued,f9,21
92,2919.19873046875,Pulse_real_glued,f9,21
93,2919.19873046875,Pulse_real_glued,f9,21
94,2919.19873046875,Pulse_real_glued,f9,21
95,2919.19873046875,Pulse_real_glued,f9,21
96,2919.19873046875,Pulse_real_glued,f9,21
97,2919.19873046875,Pulse_real_glued,f9,21
98,2919.19873046875,Pulse_real_glued,f9,21
99,2919.19873046875,Pulse_real_glued,f9,21
100,2919.19873046875,Pulse_real_glued,f9,21
101,2919.19873046875,Pulse_real_glued,f9,21
102,2919.19873046875,Pulse_real_glued,f9,21
103,2919.19873046875,Pulse_real_glued,f9,21
104,2919.19873046875,Pulse_real_glued,f9,21
105,2919.19873046875,Pulse_real_glued,f9,21
106,2919.19873046875,Pulse_real_glued,f9,21
107,2919.19873046875,Pulse_real_glued,f9,21
108,2919.19873046875,Pulse_real_glued,f9,21
109,2919.19873046875,Pulse_real_glued,f9,21
110,2919.19873046875,Pulse_real_glued,f9,21
111,2919.19873046875,Pulse_real_glued,f9,21
112,2919.19873046875,Pulse_real_glued,f9,21
113,2919.19873046875,Pulse_real_glued,f9,21
114,2919.19873046875,Pulse_real_glued,f9,21
115,2919.19873046875,Pulse_real_glued,f9,21
116,2919.19873046875,Pulse_real_glued,f9,21
117,2919.19873046875,Pulse_real_glued,f9,21
118,2919.19873046875,Pulse_real_glued,f9,21
119,2919.19873046875,Pulse_real_glued,f9,21
120,2919.19873046875,Pulse_real_glued,f9,21
121,2919.19873046875,Pulse_real_glued,f9,21
122,2919.19873046875,Pulse_real_glued,f9,21
123,2919.19873046875,Pulse_real_glued,f9,21
124,2919.19873046875,Pulse_real_glued,f9,21
125,2919.19873046875,Pulse_real_glued,f9,21
126,2919.19873046875,Pulse_real_glued,f9,21
