generation,elite_fitness,algorithm,function,seed
0,3381.472412109375,P7Fixed,f8,2
1,2592.728515625,P7Fixed,f8,2
2,2592.728515625,P7Fixed,f8,2
3,2592.728515625,P7Fixed,f8,2
4,2592.728515625,P7Fixed,f8,2
5,2592.728515625,P7Fixed,f8,2
6,2592.728515625,P7Fixed,f8,2
7,2583.75927734375,P7Fixed,f8,2
8,2583.75927734375,P7Fixed,f8,2
9,2583.75927734375,P7Fixed,f8,2
10,2583.75927734375,P7Fixed,f8,2
11,2557.245849609375,P7Fixed,f8,2
12,2557.245849609375,P7Fixed,f8,2
13,2361.61669921875,P7Fixed,f8,2
14,2361.61669921875,P7Fixed,f8,2
15,2361.61669921875,P7Fixed,f8,2
16,2358.694091796875,P7Fixed,f8,2
17,2358.694091796875,P7Fixed,f8,2
18,2358.694091796875,P7Fixed,f8,2
19,2358.694091796875,P7Fixed,f8,2
20,2358.694091796875,P7Fixed,f8,2
21,2358.694091796875,P7Fixed,f8,2
22,2358.694091796875,P7Fixed,f8,2
23,2358.694091796875,P7Fixed,f8,2
24,2243.172607421875,P7Fixed,f8,2
25,2243.172607421875,P7Fixed,f8,2
26,2243.172607421875,P7Fixed,f8,2
27,2243.172607421875,P7Fixed,f8,2
28,2243.172607421875,P7Fixed,f8,2
29,2243.172607421875,P7Fixed,f8,2
30,2243.172607421875,P7Fixed,f8,2
31,2243.172607421875,P7Fixed,f8,2
32,2243.172607421875,P7Fixed,f8,2
33,2243.172607421875,P7Fixed,f8,2
34,2243.172607421875,P7Fixed,f8,2
35,2243.172607421875,P7Fixed,f8,2
36,2243.172607421875,P7Fixed,f8,2
37,2243.172607421875,P7Fixed,f8,2
38,2243.172607421875,P7Fixed,f8,2
39,2243.172607421875,P7Fixed,f8,2
40,2243.172607421875,P7Fixed,f8,2
41,2243.172607421875,P7Fixed,f8,2
42,2243.172607421875,P7Fixed,f8,2
43,2243.172607421875,P7Fixed,f8,2
44,2243.172607421875,P7Fixed,f8,2
45,2243.172607421875,P7Fixed,f8,2
46,2243.172607421875,P7Fixed,f8,2
47,2243.172607421875,P7Fixed,f8,2
48,2243.172607421875,P7Fixed,f8,2
49,2243.172607421875,P7Fixed,f8,2
50,2243.172607421875,P7Fixed,f8,2
51,2243.172607421875,P7Fixed,f8,2
52,2243.172607421875,P7Fixed,f8,2
53,2243.172607421875,P7Fixed,f8,2
54,2243.172607421875,P7Fixed,f8,2
55,2243.172607421875,P7Fixed,f8,2
56,2243.172607421875,P7Fixed,f8,2
57,2243.172607421875,P7Fixed,f8,2
58,2243.172607421875,P7Fixed,f8,2
59,2243.172607421875,P7Fixed,f8,2
60,2243.172607421875,P7Fixed,f8,2
61,2243.172607421875,P7Fixed,f8,2
62,2243.172607421875,P7Fixed,f8,2
63,2243.172607421875,P7Fixed,f8,2
64,2243.172607421875,P7Fixed,f8,2
65,2243.172607421875,P7Fixed,f8,2
66,2243.172607421875,P7Fixed,f8,2
67,2243.172607421875,P7Fixed,f8,2
68,2243.172607421875,P7Fixed,f8,2
69,2243.172607421875,P7Fixed,f8,2
70,2243.172607421875,P7Fixed,f8,2
71,2243.172607421875,P7Fixed,f8,2
72,2243.172607421875,P7Fixed,f8,2
73,2243.172607421875,P7Fixed,f8,2
74,2243.172607421875,P7Fixed,f8,2
75,2243.172607421875,P7Fixed,f8,2
76,2243.172607421875,P7Fixed,f8,2
77,2243.172607421875,P7Fixed,f8,2
78,2243.172607421875,P7Fixed,f8,2
79,2243.172607421875,P7Fixed,f8,2
80,2243.172607421875,P7Fixed,f8,2
81,2243.172607421875,P7Fixed,f8,2
82,2243.172607421875,P7Fixed,f8,2
83,2243.172607421875,P7Fixed,f8,2
84,2243.172607421875,P7Fixed,f8,2
85,2243.172607421875,P7Fixed,f8,2
86,2243.172607421875,P7Fixed,f8,2
87,2243.172607421875,P7Fixed,f8,2
88,2243.172607421875,P7Fixed,f8,2
89,2243.172607421875,P7Fixed,f8,2
90,2243.172607421875,P7Fixed,f8,2
91,2243.172607421875,P7Fixed,f8,2
92,2243.172607421875,P7Fixed,f8,2
93,2243.172607421875,P7Fixed,f8,2
94,2243.172607421875,P7Fixed,f8,2
95,2243.172607421875,P7Fixed,f8,2
96,2243.172607421875,P7Fixed,f8,2
97,2243.172607421875,P7Fixed,f8,2
98,2239.381591796875,P7Fixed,f8,2
99,2239.381591796875,P7Fixed,f8,2
100,2239.381591796875,P7Fixed,f8,2
101,2239.381591796875,P7Fixed,f8,2
102,2239.381591796875,P7Fixed,f8,2
103,2239.381591796875,P7Fixed,f8,2
104,2239.381591796875,P7Fixed,f8,2
105,2239.381591796875,P7Fixed,f8,2
106,2239.381591796875,P7Fixed,f8,2
107,2239.381591796875,P7Fixed,f8,2
108,2239.381591796875,P7Fixed,f8,2
109,2239.381591796875,P7Fixed,f8,2
110,2239.381591796875,P7Fixed,f8,2
111,2239.381591796875,P7Fixed,f8,2
112,2239.381591796875,P7Fixed,f8,2
113,2239.381591796875,P7Fixed,f8,2
114,2239.381591796875,P7Fixed,f8,2
115,2239.381591796875,P7Fixed,f8,2
116,2239.381591796875,P7Fixed,f8,2
117,2238.21435546875,P7Fixed,f8,2
118,2235.76220703125,P7Fixed,f8,2
119,2235.76220703125,P7Fixed,f8,2
120,2235.76220703125,P7Fixed,f8,2
121,2235.76220703125,P7Fixed,f8,2
122,2235.76220703125,P7Fixed,f8,2
123,2235.76220703125,P7Fixed,f8,2
124,2235.76220703125,P7Fixed,f8,2
125,2235.76220703125,P7Fixed,f8,2
126,2235.76220703125,P7Fixed,f8,2
127,2235.76220703125,P7Fixed,f8,2
128,2235.76220703125,P7Fixed,f8,2
129,2235.76220703125,P7Fixed,f8,2
130,2235.76220703125,P7Fixed,f8,2
131,2235.76220703125,P7Fixed,f8,2
132,2235.76220703125,P7Fixed,f8,2
133,2234.324951171875,P7Fixed,f8,2
134,2234.324951171875,P7Fixed,f8,2
135,2233.8310546875,P7Fixed,f8,2
136,2233.8310546875,P7Fixed,f8,2
137,2232.060302734375,P7Fixed,f8,2
138,2232.060302734375,P7Fixed,f8,2
139,2232.060302734375,P7Fixed,f8,2
140,2232.060302734375,P7Fixed,f8,2
141,2232.060302734375,P7Fixed,f8,2
142,2232.060302734375,P7Fixed,f8,2
143,2232.060302734375,P7Fixed,f8,2
144,2232.060302734375,P7Fixed,f8,2
145,2232.060302734375,P7Fixed,f8,2
146,2232.060302734375,P7Fixed,f8,2
147,2232.060302734375,P7Fixed,f8,2
148,2232.060302734375,P7Fixed,f8,2
149,2232.060302734375,P7Fixed,f8,2
150,2232.060302734375,P7Fixed,f8,2
