generation,elite_fitness,algorithm,function,seed
0,77924.5546875,PSO,f1,2
1,77924.5546875,PSO,f1,2
2,77924.5546875,PSO,f1,2
3,77924.5546875,PSO,f1,2
4,77924.5546875,PSO,f1,2
5,53113.01171875,PSO,f1,2
6,53113.01171875,PSO,f1,2
7,53113.01171875,PSO,f1,2
8,53113.01171875,PSO,f1,2
9,48921.07421875,PSO,f1,2
10,48921.07421875,PSO,f1,2
11,48374.08984375,PSO,f1,2
12,48374.08984375,PSO,f1,2
13,48374.08984375,PSO,f1,2
14,48374.08984375,PSO,f1,2
15,40780.9296875,PSO,f1,2
16,40780.9296875,PSO,f1,2
17,34575.1328125,PSO,f1,2
18,33745.3828125,PSO,f1,2
19,33745.3828125,PSO,f1,2
20,33745.3828125,PSO,f1,2
21,33745.3828125,PSO,f1,2
22,33745.3828125,PSO,f1,2
23,33745.3828125,PSO,f1,2
24,27595.03125,PSO,f1,2
25,24491.10546875,PSO,f1,2
26,24491.10546875,PSO,f1,2
27,24491.10546875,PSO,f1,2
28,24491.10546875,PSO,f1,2
29,24491.10546875,PSO,f1,2
30,24491.10546875,PSO,f1,2
31,24491.10546875,PSO,f1,2
32,24491.10546875,PSO,f1,2
33,19331.181640625,PSO,f1,2
34,19331.181640625,PSO,f1,2
35,19331.181640625,PSO,f1,2
36,19331.181640625,PSO,f1,2
37,19331.181640625,PSO,f1,2
38,19331.181640625,PSO,f1,2
39,19331.181640625,PSO,f1,2
40,19331.181640625,PSO,f1,2
41,15672.451171875,PSO,f1,2
42,15672.451171875,PSO,f1,2
43,15672.451171875,PSO,f1,2
44,15672.451171875,PSO,f1,2
45,15672.451171875,PSO,f1,2
46,15672.451171875,PSO,f1,2
47,15672.451171875,PSO,f1,2
48,15672.451171875,PSO,f1,2
49,15672.451171875,PSO,f1,2
50,15672.451171875,PSO,f1,2
51,15672.451171875,PSO,f1,2
52,15672.451171875,PSO,f1,2
53,15672.451171875,PSO,f1,2
54,15672.451171875,PSO,f1,2
55,13426.201171875,PSO,f1,2
56,11675.818359375,PSO,f1,2
57,11675.818359375,PSO,f1,2
58,11675.818359375,PSO,f1,2
59,11675.818359375,PSO,f1,2
60,11675.818359375,PSO,f1,2
61,11675.818359375,PSO,f1,2
62,11675.818359375,PSO,f1,2
63,11675.818359375,PSO,f1,2
64,11675.818359375,PSO,f1,2
65,11675.818359375,PSO,f1,2
66,11675.818359375,PSO,f1,2
67,11675.818359375,PSO,f1,2
68,11675.818359375,PSO,f1,2
69,11675.818359375,PSO,f1,2
70,11675.818359375,PSO,f1,2
71,11675.818359375,PSO,f1,2
72,11675.818359375,PSO,f1,2
73,11675.818359375,PSO,f1,2
74,11511.7841796875,PSO,f1,2
75,11511.7841796875,PSO,f1,2
76,11511.7841796875,PSO,f1,2
77,11303.40234375,PSO,f1,2
78,11303.40234375,PSO,f1,2
79,11303.40234375,PSO,f1,2
80,11303.40234375,PSO,f1,2
81,11303.40234375,PSO,f1,2
82,10157.021484375,PSO,f1,2
83,10157.021484375,PSO,f1,2
84,10157.021484375,PSO,f1,2
85,10157.021484375,PSO,f1,2
86,10157.021484375,PSO,f1,2
87,10157.021484375,PSO,f1,2
88,10157.021484375,PSO,f1,2
89,10157.021484375,PSO,f1,2
90,10120.75,PSO,f1,2
91,10120.75,PSO,f1,2
92,9345.6572265625,PSO,f1,2
93,9345.6572265625,PSO,f1,2
94,9345.6572265625,PSO,f1,2
95,9345.6572265625,PSO,f1,2
96,9345.6572265625,PSO,f1,2
97,9345.6572265625,PSO,f1,2
98,9345.6572265625,PSO,f1,2
99,9345.6572265625,PSO,f1,2
100,9345.6572265625,PSO,f1,2
101,9345.6572265625,PSO,f1,2
102,9345.6572265625,PSO,f1,2
103,9345.6572265625,PSO,f1,2
104,6298.384765625,PSO,f1,2
105,6298.384765625,PSO,f1,2
106,6298.384765625,PSO,f1,2
107,6298.384765625,PSO,f1,2
108,6298.384765625,PSO,f1,2
109,6298.384765625,PSO,f1,2
110,6298.384765625,PSO,f1,2
111,6298.384765625,PSO,f1,2
112,6298.384765625,PSO,f1,2
113,6298.384765625,PSO,f1,2
114,6298.384765625,PSO,f1,2
115,6298.384765625,PSO,f1,2
116,6298.384765625,PSO,f1,2
117,6298.384765625,PSO,f1,2
118,6298.384765625,PSO,f1,2
119,6298.384765625,PSO,f1,2
120,6298.384765625,PSO,f1,2
121,6298.384765625,PSO,f1,2
122,6298.384765625,PSO,f1,2
123,6298.384765625,PSO,f1,2
124,6298.384765625,PSO,f1,2
125,6298.384765625,PSO,f1,2
126,6298.384765625,PSO,f1,2
127,6298.384765625,PSO,f1,2
128,6298.384765625,PSO,f1,2
129,6298.384765625,PSO,f1,2
130,6298.384765625,PSO,f1,2
131,6298.384765625,PSO,f1,2
132,6298.384765625,PSO,f1,2
133,6298.384765625,PSO,f1,2
134,6298.384765625,PSO,f1,2
135,6298.384765625,PSO,f1,2
136,6298.384765625,PSO,f1,2
137,6298.384765625,PSO,f1,2
138,6298.384765625,PSO,f1,2
139,6298.384765625,PSO,f1,2
140,6298.384765625,PSO,f1,2
141,6298.384765625,PSO,f1,2
142,6298.384765625,PSO,f1,2
143,6298.384765625,PSO,f1,2
144,6274.3076171875,PSO,f1,2
145,6236.65478515625,PSO,f1,2
146,6220.48291015625,PSO,f1,2
147,6216.0390625,PSO,f1,2
148,6216.0390625,PSO,f1,2
149,6201.64208984375,PSO,f1,2
150,6201.64208984375,PSO,f1,2
151,6201.64208984375,PSO,f1,2
152,6201.08154296875,PSO,f1,2
153,6200.6416015625,PSO,f1,2
154,6200.6416015625,PSO,f1,2
155,6200.5048828125,PSO,f1,2
156,6200.42822265625,PSO,f1,2
157,6200.42822265625,PSO,f1,2
158,6200.42822265625,PSO,f1,2
159,6200.4267578125,PSO,f1,2
160,6200.4267578125,PSO,f1,2
161,6200.31103515625,PSO,f1,2
162,6200.23779296875,PSO,f1,2
163,6200.19384765625,PSO,f1,2
164,5852.0771484375,PSO,f1,2
165,5138.29052734375,PSO,f1,2
166,5138.29052734375,PSO,f1,2
167,5138.29052734375,PSO,f1,2
168,5138.29052734375,PSO,f1,2
169,5138.29052734375,PSO,f1,2
170,5138.29052734375,PSO,f1,2
171,4715.654296875,PSO,f1,2
172,4715.654296875,PSO,f1,2
173,4715.654296875,PSO,f1,2
174,4715.654296875,PSO,f1,2
175,4715.654296875,PSO,f1,2
176,4715.654296875,PSO,f1,2
177,4715.654296875,PSO,f1,2
178,4715.654296875,PSO,f1,2
179,4715.654296875,PSO,f1,2
180,4715.654296875,PSO,f1,2
181,4715.654296875,PSO,f1,2
182,4715.654296875,PSO,f1,2
183,4715.654296875,PSO,f1,2
184,4715.654296875,PSO,f1,2
185,4715.654296875,PSO,f1,2
186,4715.654296875,PSO,f1,2
187,4715.654296875,PSO,f1,2
188,4715.654296875,PSO,f1,2
189,4715.654296875,PSO,f1,2
190,4715.654296875,PSO,f1,2
191,4715.654296875,PSO,f1,2
192,4715.654296875,PSO,f1,2
193,4715.654296875,PSO,f1,2
194,4715.654296875,PSO,f1,2
195,4715.654296875,PSO,f1,2
196,4715.654296875,PSO,f1,2
197,4715.654296875,PSO,f1,2
198,4715.654296875,PSO,f1,2
199,4715.654296875,PSO,f1,2
200,4670.9365234375,PSO,f1,2
201,4670.9365234375,PSO,f1,2
202,4670.9365234375,PSO,f1,2
203,4670.9365234375,PSO,f1,2
204,4670.9365234375,PSO,f1,2
205,4665.869140625,PSO,f1,2
206,4665.869140625,PSO,f1,2
207,4665.869140625,PSO,f1,2
208,4665.869140625,PSO,f1,2
209,4665.869140625,PSO,f1,2
210,4665.869140625,PSO,f1,2
211,4665.869140625,PSO,f1,2
212,4665.869140625,PSO,f1,2
213,4665.869140625,PSO,f1,2
214,4665.869140625,PSO,f1,2
215,4665.869140625,PSO,f1,2
216,4665.869140625,PSO,f1,2
217,4665.869140625,PSO,f1,2
218,4665.869140625,PSO,f1,2
219,4665.869140625,PSO,f1,2
220,4364.85107421875,PSO,f1,2
221,4364.85107421875,PSO,f1,2
222,4364.85107421875,PSO,f1,2
223,4220.25537109375,PSO,f1,2
224,4220.25537109375,PSO,f1,2
225,4220.25537109375,PSO,f1,2
226,4165.33984375,PSO,f1,2
227,4165.33984375,PSO,f1,2
228,4126.33984375,PSO,f1,2
229,4126.33984375,PSO,f1,2
230,4126.33984375,PSO,f1,2
231,4126.33984375,PSO,f1,2
232,4126.33984375,PSO,f1,2
233,4126.33984375,PSO,f1,2
234,4126.33984375,PSO,f1,2
235,4105.9453125,PSO,f1,2
236,4105.9453125,PSO,f1,2
237,4105.9453125,PSO,f1,2
238,4086.7509765625,PSO,f1,2
239,3826.5751953125,PSO,f1,2
240,3826.5751953125,PSO,f1,2
241,3826.5751953125,PSO,f1,2
242,3823.438232421875,PSO,f1,2
