generation,elite_fitness,algorithm,function,seed
0,307018.375,PulseConvexRayGA,f1,12
1,105710.4375,PulseConvexRayGA,f1,12
2,67116.3203125,PulseConvexRayGA,f1,12
3,27837.013671875,PulseConvexRayGA,f1,12
4,22588.123046875,PulseConvexRayGA,f1,12
5,21562.271484375,PulseConvexRayGA,f1,12
6,19891.515625,PulseConvexRayGA,f1,12
7,17141.267578125,PulseConvexRayGA,f1,12
8,17012.2421875,PulseConvexRayGA,f1,12
9,16102.458984375,PulseConvexRayGA,f1,12
10,16062.216796875,PulseConvexRayGA,f1,12
11,15982.5986328125,PulseConvexRayGA,f1,12
12,15509.0576171875,PulseConvexRayGA,f1,12
13,15363.453125,PulseConvexRayGA,f1,12
14,15193.2548828125,PulseConvexRayGA,f1,12
15,14877.9736328125,PulseConvexRayGA,f1,12
16,14877.9736328125,PulseConvexRayGA,f1,12
17,14866.962890625,PulseConvexRayGA,f1,12
18,14641.0810546875,PulseConvexRayGA,f1,12
19,14639.7548828125,PulseConvexRayGA,f1,12
20,14565.033203125,PulseConvexRayGA,f1,12
21,14470.546875,PulseConvexRayGA,f1,12
22,14470.546875,PulseConvexRayGA,f1,12
23,14413.455078125,PulseConvexRayGA,f1,12
24,14411.6376953125,PulseConvexRayGA,f1,12
25,14411.08203125,PulseConvexRayGA,f1,12
26,14346.68359375,PulseConvexRayGA,f1,12
27,14346.68359375,PulseConvexRayGA,f1,12
28,14336.501953125,PulseConvexRayGA,f1,12
29,14312.2099609375,PulseConvexRayGA,f1,12
30,14254.7353515625,PulseConvexRayGA,f1,12
31,14254.7353515625,PulseConvexRayGA,f1,12
32,14254.7353515625,PulseConvexRayGA,f1,12
33,14237.7080078125,PulseConvexRayGA,f1,12
34,14226.5439453125,PulseConvexRayGA,f1,12
35,14219.306640625,PulseConvexRayGA,f1,12
36,14213.8349609375,PulseConvexRayGA,f1,12
37,14210.7705078125,PulseConvexRayGA,f1,12
38,14205.919921875,PulseConvexRayGA,f1,12
39,14199.9677734375,PulseConvexRayGA,f1,12
40,14183.4248046875,PulseConvexRayGA,f1,12
41,14179.140625,PulseConvexRayGA,f1,12
42,14172.3818359375,PulseConvexRayGA,f1,12
43,14171.6787109375,PulseConvexRayGA,f1,12
44,14169.416015625,PulseConvexRayGA,f1,12
45,14168.322265625,PulseConvexRayGA,f1,12
46,14159.533203125,PulseConvexRayGA,f1,12
47,14159.46875,PulseConvexRayGA,f1,12
48,14149.47265625,PulseConvexRayGA,f1,12
49,14149.47265625,PulseConvexRayGA,f1,12
50,14143.423828125,PulseConvexRayGA,f1,12
51,14143.33984375,PulseConvexRayGA,f1,12
52,14135.80078125,PulseConvexRayGA,f1,12
53,14134.2373046875,PulseConvexRayGA,f1,12
54,14127.533203125,PulseConvexRayGA,f1,12
55,14108.6875,PulseConvexRayGA,f1,12
56,14108.6875,PulseConvexRayGA,f1,12
57,14107.3837890625,PulseConvexRayGA,f1,12
58,14087.4541015625,PulseConvexRayGA,f1,12
59,14085.544921875,PulseConvexRayGA,f1,12
60,14080.5859375,PulseConvexRayGA,f1,12
61,14059.16796875,PulseConvexRayGA,f1,12
62,14042.646484375,PulseConvexRayGA,f1,12
63,14041.8984375,PulseConvexRayGA,f1,12
64,14038.779296875,PulseConvexRayGA,f1,12
65,14024.6201171875,PulseConvexRayGA,f1,12
66,14024.6201171875,PulseConvexRayGA,f1,12
67,14024.2490234375,PulseConvexRayGA,f1,12
68,14016.2685546875,PulseConvexRayGA,f1,12
69,14014.3076171875,PulseConvexRayGA,f1,12
70,14009.5859375,PulseConvexRayGA,f1,12
71,14006.2197265625,PulseConvexRayGA,f1,12
72,14002.1982421875,PulseConvexRayGA,f1,12
73,14002.1982421875,PulseConvexRayGA,f1,12
74,13999.53515625,PulseConvexRayGA,f1,12
75,13999.53515625,PulseConvexRayGA,f1,12
76,13997.966796875,PulseConvexRayGA,f1,12
77,13996.1640625,PulseConvexRayGA,f1,12
78,13994.6962890625,PulseConvexRayGA,f1,12
79,13993.7119140625,PulseConvexRayGA,f1,12
80,13993.7119140625,PulseConvexRayGA,f1,12
81,13991.0673828125,PulseConvexRayGA,f1,12
82,13991.0673828125,PulseConvexRayGA,f1,12
83,13990.59375,PulseConvexRayGA,f1,12
84,13990.59375,PulseConvexRayGA,f1,12
85,13990.3310546875,PulseConvexRayGA,f1,12
86,13990.18359375,PulseConvexRayGA,f1,12
87,13989.560546875,PulseConvexRayGA,f1,12
88,13989.4189453125,PulseConvexRayGA,f1,12
89,13989.3056640625,PulseConvexRayGA,f1,12
90,13989.0029296875,PulseConvexRayGA,f1,12
91,13988.853515625,PulseConvexRayGA,f1,12
92,13988.6044921875,PulseConvexRayGA,f1,12
93,13988.53125,PulseConvexRayGA,f1,12
94,13988.431640625,PulseConvexRayGA,f1,12
95,13988.2978515625,PulseConvexRayGA,f1,12
96,13988.25,PulseConvexRayGA,f1,12
97,13988.12109375,PulseConvexRayGA,f1,12
98,13988.1005859375,PulseConvexRayGA,f1,12
99,13988.033203125,PulseConvexRayGA,f1,12
100,13987.92578125,PulseConvexRayGA,f1,12
101,13987.7919921875,PulseConvexRayGA,f1,12
102,13987.76953125,PulseConvexRayGA,f1,12
103,13987.73828125,PulseConvexRayGA,f1,12
104,13987.7119140625,PulseConvexRayGA,f1,12
105,13987.4501953125,PulseConvexRayGA,f1,12
106,13987.4501953125,PulseConvexRayGA,f1,12
107,13987.2587890625,PulseConvexRayGA,f1,12
108,13987.2509765625,PulseConvexRayGA,f1,12
109,13987.03515625,PulseConvexRayGA,f1,12
110,13987.03515625,PulseConvexRayGA,f1,12
111,13986.9453125,PulseConvexRayGA,f1,12
112,13986.7412109375,PulseConvexRayGA,f1,12
113,13986.5810546875,PulseConvexRayGA,f1,12
114,13986.2001953125,PulseConvexRayGA,f1,12
115,13986.2001953125,PulseConvexRayGA,f1,12
116,13985.84375,PulseConvexRayGA,f1,12
117,13985.3798828125,PulseConvexRayGA,f1,12
118,13985.3798828125,PulseConvexRayGA,f1,12
119,13985.3291015625,PulseConvexRayGA,f1,12
120,13985.125,PulseConvexRayGA,f1,12
121,13984.6669921875,PulseConvexRayGA,f1,12
122,13984.6669921875,PulseConvexRayGA,f1,12
123,13984.3310546875,PulseConvexRayGA,f1,12
124,13983.9853515625,PulseConvexRayGA,f1,12
125,13983.9853515625,PulseConvexRayGA,f1,12
126,13983.955078125,PulseConvexRayGA,f1,12
127,13983.9443359375,PulseConvexRayGA,f1,12
128,13983.8818359375,PulseConvexRayGA,f1,12
129,13983.822265625,PulseConvexRayGA,f1,12
130,13983.7490234375,PulseConvexRayGA,f1,12
131,13983.5927734375,PulseConvexRayGA,f1,12
132,13983.515625,PulseConvexRayGA,f1,12
133,13983.4306640625,PulseConvexRayGA,f1,12
134,13983.29296875,PulseConvexRayGA,f1,12
135,13983.26171875,PulseConvexRayGA,f1,12
136,13983.2080078125,PulseConvexRayGA,f1,12
137,13983.02734375,PulseConvexRayGA,f1,12
138,13982.7890625,PulseConvexRayGA,f1,12
139,13982.3017578125,PulseConvexRayGA,f1,12
140,13982.28125,PulseConvexRayGA,f1,12
141,13982.126953125,PulseConvexRayGA,f1,12
142,13981.58984375,PulseConvexRayGA,f1,12
143,13980.8603515625,PulseConvexRayGA,f1,12
144,13979.2939453125,PulseConvexRayGA,f1,12
145,13978.2080078125,PulseConvexRayGA,f1,12
146,13977.4521484375,PulseConvexRayGA,f1,12
147,13976.5068359375,PulseConvexRayGA,f1,12
148,13974.6728515625,PulseConvexRayGA,f1,12
149,13974.4755859375,PulseConvexRayGA,f1,12
