generation,elite_fitness,algorithm,function,seed
0,1070.6732177734375,PulseCovarianceGA,f4,1
1,1000.36328125,PulseCovarianceGA,f4,1
2,979.9063720703125,PulseCovarianceGA,f4,1
3,925.657470703125,PulseCovarianceGA,f4,1
4,925.657470703125,PulseCovarianceGA,f4,1
5,925.2677612304688,PulseCovarianceGA,f4,1
6,915.069091796875,PulseCovarianceGA,f4,1
7,915.069091796875,PulseCovarianceGA,f4,1
8,915.069091796875,PulseCovarianceGA,f4,1
9,915.069091796875,PulseCovarianceGA,f4,1
10,915.069091796875,PulseCovarianceGA,f4,1
11,915.069091796875,PulseCovarianceGA,f4,1
12,910.635498046875,PulseCovarianceGA,f4,1
13,909.3241577148438,PulseCovarianceGA,f4,1
14,903.1397705078125,PulseCovarianceGA,f4,1
15,903.1397705078125,PulseCovarianceGA,f4,1
16,902.1765747070312,PulseCovarianceGA,f4,1
17,901.9188232421875,PulseCovarianceGA,f4,1
18,901.9188232421875,PulseCovarianceGA,f4,1
19,901.892578125,PulseCovarianceGA,f4,1
20,901.892578125,PulseCovarianceGA,f4,1
21,901.8666381835938,PulseCovarianceGA,f4,1
22,901.8521728515625,PulseCovarianceGA,f4,1
23,901.6524658203125,PulseCovarianceGA,f4,1
24,901.5543823242188,PulseCovarianceGA,f4,1
25,901.4805908203125,PulseCovarianceGA,f4,1
26,901.4805908203125,PulseCovarianceGA,f4,1
27,901.4649047851562,PulseCovarianceGA,f4,1
28,901.39599609375,PulseCovarianceGA,f4,1
29,901.39599609375,PulseCovarianceGA,f4,1
30,901.38232421875,PulseCovarianceGA,f4,1
31,901.3658447265625,PulseCovarianceGA,f4,1
32,901.3421020507812,PulseCovarianceGA,f4,1
33,901.3386840820312,PulseCovarianceGA,f4,1
34,901.3215942382812,PulseCovarianceGA,f4,1
35,901.3162841796875,PulseCovarianceGA,f4,1
36,901.3162841796875,PulseCovarianceGA,f4,1
37,901.3154296875,PulseCovarianceGA,f4,1
38,901.312255859375,PulseCovarianceGA,f4,1
39,901.3094482421875,PulseCovarianceGA,f4,1
40,901.3074951171875,PulseCovarianceGA,f4,1
41,901.3072509765625,PulseCovarianceGA,f4,1
42,901.3070068359375,PulseCovarianceGA,f4,1
43,901.3062744140625,PulseCovarianceGA,f4,1
44,901.3054809570312,PulseCovarianceGA,f4,1
45,901.3050537109375,PulseCovarianceGA,f4,1
46,901.3050537109375,PulseCovarianceGA,f4,1
47,901.3048095703125,PulseCovarianceGA,f4,1
48,901.3048095703125,PulseCovarianceGA,f4,1
49,901.3048095703125,PulseCovarianceGA,f4,1
50,901.3047485351562,PulseCovarianceGA,f4,1
51,901.3046875,PulseCovarianceGA,f4,1
52,901.3046875,PulseCovarianceGA,f4,1
53,901.3046264648438,PulseCovarianceGA,f4,1
54,901.3046264648438,PulseCovarianceGA,f4,1
55,901.3045654296875,PulseCovarianceGA,f4,1
56,901.3045654296875,PulseCovarianceGA,f4,1
57,901.3045654296875,PulseCovarianceGA,f4,1
58,901.3045654296875,PulseCovarianceGA,f4,1
59,901.3045043945312,PulseCovarianceGA,f4,1
60,901.304443359375,PulseCovarianceGA,f4,1
61,901.304443359375,PulseCovarianceGA,f4,1
62,901.3043823242188,PulseCovarianceGA,f4,1
63,901.3043823242188,PulseCovarianceGA,f4,1
64,901.3043823242188,PulseCovarianceGA,f4,1
65,901.3043212890625,PulseCovarianceGA,f4,1
66,901.3043212890625,PulseCovarianceGA,f4,1
67,901.3043212890625,PulseCovarianceGA,f4,1
68,901.3043212890625,PulseCovarianceGA,f4,1
69,901.3042602539062,PulseCovarianceGA,f4,1
70,901.3042602539062,PulseCovarianceGA,f4,1
71,901.30419921875,PulseCovarianceGA,f4,1
72,901.30419921875,PulseCovarianceGA,f4,1
73,901.30419921875,PulseCovarianceGA,f4,1
74,901.3041381835938,PulseCovarianceGA,f4,1
75,901.3041381835938,PulseCovarianceGA,f4,1
76,901.3040771484375,PulseCovarianceGA,f4,1
77,901.3040771484375,PulseCovarianceGA,f4,1
78,901.3040771484375,PulseCovarianceGA,f4,1
79,901.3040771484375,PulseCovarianceGA,f4,1
80,901.3040771484375,PulseCovarianceGA,f4,1
81,901.3040161132812,PulseCovarianceGA,f4,1
82,901.303955078125,PulseCovarianceGA,f4,1
83,901.303955078125,PulseCovarianceGA,f4,1
84,901.303955078125,PulseCovarianceGA,f4,1
85,901.303955078125,PulseCovarianceGA,f4,1
86,901.3038940429688,PulseCovarianceGA,f4,1
87,901.3038940429688,PulseCovarianceGA,f4,1
88,901.3038940429688,PulseCovarianceGA,f4,1
89,901.3038330078125,PulseCovarianceGA,f4,1
90,901.3038330078125,PulseCovarianceGA,f4,1
91,901.3038330078125,PulseCovarianceGA,f4,1
92,901.3038330078125,PulseCovarianceGA,f4,1
