generation,elite_fitness,algorithm,function,seed
0,684.9371337890625,PulseFailureRepair,f3,27
1,684.9371337890625,PulseFailureRepair,f3,27
2,684.9371337890625,PulseFailureRepair,f3,27
3,684.9371337890625,PulseFailureRepair,f3,27
4,684.9371337890625,PulseFailureRepair,f3,27
5,684.9371337890625,PulseFailureRepair,f3,27
6,684.9371337890625,PulseFailureRepair,f3,27
7,684.9371337890625,PulseFailureRepair,f3,27
8,684.9371337890625,PulseFailureRepair,f3,27
9,684.9371337890625,PulseFailureRepair,f3,27
10,684.9371337890625,PulseFailureRepair,f3,27
11,684.9371337890625,PulseFailureRepair,f3,27
12,684.9371337890625,PulseFailureRepair,f3,27
13,684.9371337890625,PulseFailureRepair,f3,27
14,684.9371337890625,PulseFailureRepair,f3,27
15,684.9371337890625,PulseFailureRepair,f3,27
16,684.9371337890625,PulseFailureRepair,f3,27
17,684.9371337890625,PulseFailureRepair,f3,27
18,684.9371337890625,PulseFailureRepair,f3,27
19,679.5808715820312,PulseFailureRepair,f3,27
20,678.60498046875,PulseFailureRepair,f3,27
21,676.3177490234375,PulseFailureRepair,f3,27
22,676.3177490234375,PulseFailureRepair,f3,27
23,676.3177490234375,PulseFailureRepair,f3,27
24,676.3177490234375,PulseFailureRepair,f3,27
25,676.3177490234375,PulseFailureRepair,f3,27
26,676.3177490234375,PulseFailureRepair,f3,27
27,676.3177490234375,PulseFailureRepair,f3,27
28,676.3177490234375,PulseFailureRepair,f3,27
29,676.3177490234375,PulseFailureRepair,f3,27
30,676.3177490234375,PulseFailureRepair,f3,27
31,676.3177490234375,PulseFailureRepair,f3,27
32,676.3177490234375,PulseFailureRepair,f3,27
33,676.3177490234375,PulseFailureRepair,f3,27
34,676.3177490234375,PulseFailureRepair,f3,27
35,676.3177490234375,PulseFailureRepair,f3,27
36,676.3177490234375,PulseFailureRepair,f3,27
37,676.3177490234375,PulseFailureRepair,f3,27
38,676.3177490234375,PulseFailureRepair,f3,27
39,676.3177490234375,PulseFailureRepair,f3,27
40,676.3177490234375,PulseFailureRepair,f3,27
41,676.3177490234375,PulseFailureRepair,f3,27
42,676.3177490234375,PulseFailureRepair,f3,27
43,676.3177490234375,PulseFailureRepair,f3,27
44,676.3177490234375,PulseFailureRepair,f3,27
45,676.3177490234375,PulseFailureRepair,f3,27
46,676.3177490234375,PulseFailureRepair,f3,27
47,676.3177490234375,PulseFailureRepair,f3,27
48,676.3177490234375,PulseFailureRepair,f3,27
49,676.3177490234375,PulseFailureRepair,f3,27
50,676.3177490234375,PulseFailureRepair,f3,27
51,676.3177490234375,PulseFailureRepair,f3,27
52,676.3177490234375,PulseFailureRepair,f3,27
53,676.3177490234375,PulseFailureRepair,f3,27
54,676.3177490234375,PulseFailureRepair,f3,27
55,676.3177490234375,PulseFailureRepair,f3,27
56,676.3177490234375,PulseFailureRepair,f3,27
57,676.3177490234375,PulseFailureRepair,f3,27
58,676.3177490234375,PulseFailureRepair,f3,27
59,676.3177490234375,PulseFailureRepair,f3,27
60,676.3177490234375,PulseFailureRepair,f3,27
61,676.3177490234375,PulseFailureRepair,f3,27
62,676.3177490234375,PulseFailureRepair,f3,27
63,676.3177490234375,PulseFailureRepair,f3,27
64,676.3177490234375,PulseFailureRepair,f3,27
65,676.3177490234375,PulseFailureRepair,f3,27
66,676.3177490234375,PulseFailureRepair,f3,27
67,676.3177490234375,PulseFailureRepair,f3,27
68,676.3177490234375,PulseFailureRepair,f3,27
69,676.3177490234375,PulseFailureRepair,f3,27
70,676.3177490234375,PulseFailureRepair,f3,27
71,676.3177490234375,PulseFailureRepair,f3,27
72,676.3177490234375,PulseFailureRepair,f3,27
73,676.3177490234375,PulseFailureRepair,f3,27
74,676.3177490234375,PulseFailureRepair,f3,27
75,676.3177490234375,PulseFailureRepair,f3,27
76,676.3177490234375,PulseFailureRepair,f3,27
77,676.3177490234375,PulseFailureRepair,f3,27
78,676.3177490234375,PulseFailureRepair,f3,27
79,676.3177490234375,PulseFailureRepair,f3,27
80,676.3177490234375,PulseFailureRepair,f3,27
