generation,elite_fitness,algorithm,function,seed
0,99776.109375,PulseGreedy,f1,10
1,59342.2890625,PulseGreedy,f1,10
2,59342.2890625,PulseGreedy,f1,10
3,59342.2890625,PulseGreedy,f1,10
4,48373.10546875,PulseGreedy,f1,10
5,48373.10546875,PulseGreedy,f1,10
6,48373.10546875,PulseGreedy,f1,10
7,48373.10546875,PulseGreedy,f1,10
8,48373.10546875,PulseGreedy,f1,10
9,48373.10546875,PulseGreedy,f1,10
10,48373.10546875,PulseGreedy,f1,10
11,48373.10546875,PulseGreedy,f1,10
12,48373.10546875,PulseGreedy,f1,10
13,48373.10546875,PulseGreedy,f1,10
14,48373.09765625,PulseGreedy,f1,10
15,48373.09765625,PulseGreedy,f1,10
16,44031.45703125,PulseGreedy,f1,10
17,44031.45703125,PulseGreedy,f1,10
18,44031.45703125,PulseGreedy,f1,10
19,44031.45703125,PulseGreedy,f1,10
20,44031.45703125,PulseGreedy,f1,10
21,37234.0703125,PulseGreedy,f1,10
22,37234.0703125,PulseGreedy,f1,10
23,37234.0703125,PulseGreedy,f1,10
24,37234.0703125,PulseGreedy,f1,10
25,27750.8984375,PulseGreedy,f1,10
26,27487.59765625,PulseGreedy,f1,10
27,27487.59765625,PulseGreedy,f1,10
28,27487.59765625,PulseGreedy,f1,10
29,27487.59765625,PulseGreedy,f1,10
30,27487.59765625,PulseGreedy,f1,10
31,27487.59765625,PulseGreedy,f1,10
32,27487.59765625,PulseGreedy,f1,10
33,27487.59765625,PulseGreedy,f1,10
34,26228.64453125,PulseGreedy,f1,10
35,25725.71875,PulseGreedy,f1,10
36,25725.71875,PulseGreedy,f1,10
37,25329.029296875,PulseGreedy,f1,10
38,25289.716796875,PulseGreedy,f1,10
39,25289.716796875,PulseGreedy,f1,10
40,25289.716796875,PulseGreedy,f1,10
41,25289.716796875,PulseGreedy,f1,10
42,25289.716796875,PulseGreedy,f1,10
43,25289.716796875,PulseGreedy,f1,10
44,25289.708984375,PulseGreedy,f1,10
45,25289.693359375,PulseGreedy,f1,10
46,25289.693359375,PulseGreedy,f1,10
47,23779.580078125,PulseGreedy,f1,10
48,23779.580078125,PulseGreedy,f1,10
49,23779.580078125,PulseGreedy,f1,10
50,16516.52734375,PulseGreedy,f1,10
51,16483.06640625,PulseGreedy,f1,10
52,16474.931640625,PulseGreedy,f1,10
53,16474.931640625,PulseGreedy,f1,10
54,16474.931640625,PulseGreedy,f1,10
55,16474.931640625,PulseGreedy,f1,10
56,16474.931640625,PulseGreedy,f1,10
57,16474.931640625,PulseGreedy,f1,10
58,16474.931640625,PulseGreedy,f1,10
59,16474.931640625,PulseGreedy,f1,10
60,16474.931640625,PulseGreedy,f1,10
61,16474.931640625,PulseGreedy,f1,10
62,16474.931640625,PulseGreedy,f1,10
63,16474.931640625,PulseGreedy,f1,10
64,16474.931640625,PulseGreedy,f1,10
65,16474.931640625,PulseGreedy,f1,10
66,16474.931640625,PulseGreedy,f1,10
67,16474.931640625,PulseGreedy,f1,10
68,16474.931640625,PulseGreedy,f1,10
69,15511.4248046875,PulseGreedy,f1,10
70,15511.4248046875,PulseGreedy,f1,10
71,15508.7646484375,PulseGreedy,f1,10
72,14640.9130859375,PulseGreedy,f1,10
73,14640.7509765625,PulseGreedy,f1,10
74,14115.6494140625,PulseGreedy,f1,10
75,14115.6494140625,PulseGreedy,f1,10
76,14115.6494140625,PulseGreedy,f1,10
77,13263.8251953125,PulseGreedy,f1,10
78,12860.2646484375,PulseGreedy,f1,10
79,12859.9345703125,PulseGreedy,f1,10
80,12859.732421875,PulseGreedy,f1,10
81,12859.732421875,PulseGreedy,f1,10
82,12859.732421875,PulseGreedy,f1,10
83,12859.732421875,PulseGreedy,f1,10
84,12859.732421875,PulseGreedy,f1,10
85,12859.732421875,PulseGreedy,f1,10
86,12315.5771484375,PulseGreedy,f1,10
87,12315.5771484375,PulseGreedy,f1,10
88,12315.5771484375,PulseGreedy,f1,10
89,12315.5771484375,PulseGreedy,f1,10
90,12315.5771484375,PulseGreedy,f1,10
91,10940.2158203125,PulseGreedy,f1,10
92,10901.361328125,PulseGreedy,f1,10
93,10901.361328125,PulseGreedy,f1,10
94,10901.361328125,PulseGreedy,f1,10
95,10901.3349609375,PulseGreedy,f1,10
96,10899.263671875,PulseGreedy,f1,10
97,10899.1611328125,PulseGreedy,f1,10
98,10270.7333984375,PulseGreedy,f1,10
99,10202.0751953125,PulseGreedy,f1,10
100,10202.0751953125,PulseGreedy,f1,10
101,10202.0751953125,PulseGreedy,f1,10
102,10202.0751953125,PulseGreedy,f1,10
103,10202.0751953125,PulseGreedy,f1,10
104,10202.0751953125,PulseGreedy,f1,10
105,10202.0751953125,PulseGreedy,f1,10
106,10202.0751953125,PulseGreedy,f1,10
107,8827.984375,PulseGreedy,f1,10
108,8789.4111328125,PulseGreedy,f1,10
109,8768.138671875,PulseGreedy,f1,10
110,8768.138671875,PulseGreedy,f1,10
111,8768.138671875,PulseGreedy,f1,10
112,8768.134765625,PulseGreedy,f1,10
113,8768.1083984375,PulseGreedy,f1,10
114,8756.787109375,PulseGreedy,f1,10
115,8756.787109375,PulseGreedy,f1,10
116,8756.787109375,PulseGreedy,f1,10
117,8406.6552734375,PulseGreedy,f1,10
118,8122.02880859375,PulseGreedy,f1,10
119,8072.02197265625,PulseGreedy,f1,10
120,8072.02197265625,PulseGreedy,f1,10
121,8072.02197265625,PulseGreedy,f1,10
122,8072.01904296875,PulseGreedy,f1,10
123,8072.01904296875,PulseGreedy,f1,10
124,8072.01904296875,PulseGreedy,f1,10
125,8072.01904296875,PulseGreedy,f1,10
126,8072.01513671875,PulseGreedy,f1,10
127,8072.01513671875,PulseGreedy,f1,10
128,8072.01513671875,PulseGreedy,f1,10
129,6815.521484375,PulseGreedy,f1,10
130,6815.521484375,PulseGreedy,f1,10
131,6815.521484375,PulseGreedy,f1,10
132,6815.521484375,PulseGreedy,f1,10
133,6815.521484375,PulseGreedy,f1,10
134,6815.521484375,PulseGreedy,f1,10
135,6815.521484375,PulseGreedy,f1,10
136,6709.77685546875,PulseGreedy,f1,10
137,6709.77685546875,PulseGreedy,f1,10
138,6709.77685546875,PulseGreedy,f1,10
139,6709.77685546875,PulseGreedy,f1,10
140,6709.77685546875,PulseGreedy,f1,10
141,6314.9169921875,PulseGreedy,f1,10
142,6084.88818359375,PulseGreedy,f1,10
