generation,elite_fitness,algorithm,function,seed
0,1038.4730224609375,PulseProgressGA,f4,3
1,1027.2041015625,PulseProgressGA,f4,3
2,985.435302734375,PulseProgressGA,f4,3
3,971.8893432617188,PulseProgressGA,f4,3
4,938.7571411132812,PulseProgressGA,f4,3
5,938.7571411132812,PulseProgressGA,f4,3
6,938.7571411132812,PulseProgressGA,f4,3
7,938.7571411132812,PulseProgressGA,f4,3
8,938.7571411132812,PulseProgressGA,f4,3
9,934.624755859375,PulseProgressGA,f4,3
10,934.624755859375,PulseProgressGA,f4,3
11,934.624755859375,PulseProgressGA,f4,3
12,921.8622436523438,PulseProgressGA,f4,3
13,921.8622436523438,PulseProgressGA,f4,3
14,921.8622436523438,PulseProgressGA,f4,3
15,921.8622436523438,PulseProgressGA,f4,3
16,921.8622436523438,PulseProgressGA,f4,3
17,921.8622436523438,PulseProgressGA,f4,3
18,921.8622436523438,PulseProgressGA,f4,3
19,916.6588745117188,PulseProgressGA,f4,3
20,916.6588745117188,PulseProgressGA,f4,3
21,916.6588745117188,PulseProgressGA,f4,3
22,916.6588745117188,PulseProgressGA,f4,3
23,914.2362670898438,PulseProgressGA,f4,3
24,914.2362670898438,PulseProgressGA,f4,3
25,914.2362670898438,PulseProgressGA,f4,3
26,907.0616455078125,PulseProgressGA,f4,3
27,907.0616455078125,PulseProgressGA,f4,3
28,907.0616455078125,PulseProgressGA,f4,3
29,907.0616455078125,PulseProgressGA,f4,3
30,907.0616455078125,PulseProgressGA,f4,3
31,907.0616455078125,PulseProgressGA,f4,3
32,901.0447998046875,PulseProgressGA,f4,3
33,901.0447998046875,PulseProgressGA,f4,3
34,901.0447998046875,PulseProgressGA,f4,3
35,901.0447998046875,PulseProgressGA,f4,3
36,901.0447998046875,PulseProgressGA,f4,3
37,901.0447998046875,PulseProgressGA,f4,3
38,895.2684326171875,PulseProgressGA,f4,3
39,895.2684326171875,PulseProgressGA,f4,3
40,895.2684326171875,PulseProgressGA,f4,3
41,895.2684326171875,PulseProgressGA,f4,3
42,895.2684326171875,PulseProgressGA,f4,3
43,895.2684326171875,PulseProgressGA,f4,3
44,891.3756103515625,PulseProgressGA,f4,3
45,891.3756103515625,PulseProgressGA,f4,3
46,891.3756103515625,PulseProgressGA,f4,3
47,891.3756103515625,PulseProgressGA,f4,3
48,891.3756103515625,PulseProgressGA,f4,3
49,891.3756103515625,PulseProgressGA,f4,3
50,888.2067260742188,PulseProgressGA,f4,3
51,888.2067260742188,PulseProgressGA,f4,3
52,888.2067260742188,PulseProgressGA,f4,3
53,888.2067260742188,PulseProgressGA,f4,3
54,888.2067260742188,PulseProgressGA,f4,3
55,888.2067260742188,PulseProgressGA,f4,3
