generation,elite_fitness,algorithm,function,seed
0,2944.23486328125,Pulse,f8,23
1,2752.4921875,Pulse,f8,23
2,2602.6845703125,Pulse,f8,23
3,2446.798095703125,Pulse,f8,23
4,2445.168701171875,Pulse,f8,23
5,2430.61865234375,Pulse,f8,23
6,2412.053955078125,Pulse,f8,23
7,2385.71533203125,Pulse,f8,23
8,2375.435791015625,Pulse,f8,23
9,2358.071044921875,Pulse,f8,23
10,2355.925537109375,Pulse,f8,23
11,2329.41357421875,Pulse,f8,23
12,2318.354736328125,Pulse,f8,23
13,2308.297119140625,Pulse,f8,23
14,2305.02392578125,Pulse,f8,23
15,2296.38134765625,Pulse,f8,23
16,2291.967041015625,Pulse,f8,23
17,2288.115478515625,Pulse,f8,23
18,2282.43798828125,Pulse,f8,23
19,2277.90087890625,Pulse,f8,23
20,2275.32861328125,Pulse,f8,23
21,2271.595703125,Pulse,f8,23
22,2268.201904296875,Pulse,f8,23
23,2268.201904296875,Pulse,f8,23
24,2263.8935546875,Pulse,f8,23
25,2261.118408203125,Pulse,f8,23
26,2259.68212890625,Pulse,f8,23
27,2258.08251953125,Pulse,f8,23
28,2256.36767578125,Pulse,f8,23
29,2254.305908203125,Pulse,f8,23
30,2254.305908203125,Pulse,f8,23
31,2253.824951171875,Pulse,f8,23
32,2252.63720703125,Pulse,f8,23
33,2250.53125,Pulse,f8,23
34,2250.53125,Pulse,f8,23
35,2249.81787109375,Pulse,f8,23
36,2249.81787109375,Pulse,f8,23
37,2249.001953125,Pulse,f8,23
38,2248.287841796875,Pulse,f8,23
39,2246.39892578125,Pulse,f8,23
40,2245.687255859375,Pulse,f8,23
41,2245.388427734375,Pulse,f8,23
42,2244.580810546875,Pulse,f8,23
43,2242.68359375,Pulse,f8,23
44,2242.68359375,Pulse,f8,23
45,2242.68359375,Pulse,f8,23
46,2241.75439453125,Pulse,f8,23
47,2241.314453125,Pulse,f8,23
48,2241.314453125,Pulse,f8,23
49,2241.314453125,Pulse,f8,23
50,2241.314453125,Pulse,f8,23
51,2240.47265625,Pulse,f8,23
52,2240.47265625,Pulse,f8,23
53,2240.014404296875,Pulse,f8,23
54,2240.014404296875,Pulse,f8,23
55,2239.92919921875,Pulse,f8,23
56,2239.92919921875,Pulse,f8,23
57,2239.92919921875,Pulse,f8,23
58,2238.76904296875,Pulse,f8,23
59,2238.76904296875,Pulse,f8,23
60,2238.76904296875,Pulse,f8,23
61,2238.534423828125,Pulse,f8,23
62,2237.80517578125,Pulse,f8,23
63,2237.80517578125,Pulse,f8,23
64,2237.80517578125,Pulse,f8,23
65,2237.80517578125,Pulse,f8,23
66,2237.80517578125,Pulse,f8,23
67,2237.80517578125,Pulse,f8,23
68,2237.80517578125,Pulse,f8,23
69,2237.580810546875,Pulse,f8,23
70,2237.032470703125,Pulse,f8,23
71,2237.032470703125,Pulse,f8,23
72,2237.032470703125,Pulse,f8,23
73,2237.0224609375,Pulse,f8,23
74,2237.0224609375,Pulse,f8,23
75,2237.0224609375,Pulse,f8,23
76,2236.6796875,Pulse,f8,23
77,2236.0849609375,Pulse,f8,23
78,2236.0849609375,Pulse,f8,23
79,2236.0849609375,Pulse,f8,23
80,2236.0849609375,Pulse,f8,23
81,2236.0849609375,Pulse,f8,23
82,2236.0849609375,Pulse,f8,23
83,2236.0849609375,Pulse,f8,23
84,2236.0849609375,Pulse,f8,23
85,2236.0849609375,Pulse,f8,23
86,2236.0849609375,Pulse,f8,23
87,2236.0849609375,Pulse,f8,23
88,2236.0849609375,Pulse,f8,23
89,2236.0849609375,Pulse,f8,23
90,2236.003662109375,Pulse,f8,23
91,2235.990478515625,Pulse,f8,23
