generation,elite_fitness,algorithm,function,seed
0,6589.4365234375,Pulse_real_glued,f10,24
1,6044.80224609375,Pulse_real_glued,f10,24
2,6044.80224609375,Pulse_real_glued,f10,24
3,6044.80224609375,Pulse_real_glued,f10,24
4,5042.486328125,Pulse_real_glued,f10,24
5,5042.486328125,Pulse_real_glued,f10,24
6,4274.603515625,Pulse_real_glued,f10,24
7,4274.603515625,Pulse_real_glued,f10,24
8,3925.6484375,Pulse_real_glued,f10,24
9,3925.6484375,Pulse_real_glued,f10,24
10,3925.6484375,Pulse_real_glued,f10,24
11,3925.6484375,Pulse_real_glued,f10,24
12,3925.6484375,Pulse_real_glued,f10,24
13,3925.6484375,Pulse_real_glued,f10,24
14,3925.6484375,Pulse_real_glued,f10,24
15,3690.852294921875,Pulse_real_glued,f10,24
16,3690.852294921875,Pulse_real_glued,f10,24
17,3690.852294921875,Pulse_real_glued,f10,24
18,3690.852294921875,Pulse_real_glued,f10,24
19,3690.852294921875,Pulse_real_glued,f10,24
20,3690.852294921875,Pulse_real_glued,f10,24
21,3690.852294921875,Pulse_real_glued,f10,24
22,3690.852294921875,Pulse_real_glued,f10,24
23,3690.852294921875,Pulse_real_glued,f10,24
24,3690.852294921875,Pulse_real_glued,f10,24
25,3690.852294921875,Pulse_real_glued,f10,24
26,3690.852294921875,Pulse_real_glued,f10,24
27,3690.852294921875,Pulse_real_glued,f10,24
28,3690.852294921875,Pulse_real_glued,f10,24
29,3690.852294921875,Pulse_real_glued,f10,24
30,3690.852294921875,Pulse_real_glued,f10,24
31,3690.852294921875,Pulse_real_glued,f10,24
32,3690.852294921875,Pulse_real_glued,f10,24
33,3622.349609375,Pulse_real_glued,f10,24
34,3564.068359375,Pulse_real_glued,f10,24
35,2856.574951171875,Pulse_real_glued,f10,24
36,2856.574951171875,Pulse_real_glued,f10,24
37,2856.574951171875,Pulse_real_glued,f10,24
38,2856.574951171875,Pulse_real_glued,f10,24
39,2856.574951171875,Pulse_real_glued,f10,24
40,2856.574951171875,Pulse_real_glued,f10,24
41,2856.574951171875,Pulse_real_glued,f10,24
42,2856.574951171875,Pulse_real_glued,f10,24
43,2856.574951171875,Pulse_real_glued,f10,24
44,2856.574951171875,Pulse_real_glued,f10,24
45,2856.574951171875,Pulse_real_glued,f10,24
46,2856.574951171875,Pulse_real_glued,f10,24
47,2856.574951171875,Pulse_real_glued,f10,24
48,2856.574951171875,Pulse_real_glued,f10,24
49,2856.574951171875,Pulse_real_glued,f10,24
50,2856.574951171875,Pulse_real_glued,f10,24
51,2856.574951171875,Pulse_real_glued,f10,24
52,2856.574951171875,Pulse_real_glued,f10,24
53,2856.574951171875,Pulse_real_glued,f10,24
54,2856.574951171875,Pulse_real_glued,f10,24
55,2856.574951171875,Pulse_real_glued,f10,24
56,2856.574951171875,Pulse_real_glued,f10,24
